t,i,a,n,dataset,method,time (ns)
1,1,1,2e16,hash-map,seq,649414
2,1,2,2e16,hash-map,rayon-1,1160224
3,1,3,2e16,hash-map,orx-1,305017
4,1,4,2e16,hash-map,orx-fixed-1,311200
5,1,5,2e16,hash-map,rayon-4,6893864
6,1,6,2e16,hash-map,orx-4,870602
7,1,7,2e16,hash-map,orx-fixed-4,814314
8,1,8,2e16,hash-map,rayon-16,12935882
9,1,9,2e16,hash-map,orx-16,4892003
10,1,10,2e16,hash-map,orx-fixed-16,3836592
11,2,1,2e16,hash-set,seq,746632
12,2,2,2e16,hash-set,rayon-1,1263604
13,2,3,2e16,hash-set,orx-1,318180
14,2,4,2e16,hash-set,orx-fixed-1,320361
15,2,5,2e16,hash-set,rayon-4,6994334
16,2,6,2e16,hash-set,orx-4,879716
17,2,7,2e16,hash-set,orx-fixed-4,887954
18,2,8,2e16,hash-set,rayon-16,13857063
19,2,9,2e16,hash-set,orx-16,4449691
20,2,10,2e16,hash-set,orx-fixed-16,3692765
21,3,1,2e20,hash-map,seq,13949180
22,3,2,2e20,hash-map,rayon-1,20152234
23,3,3,2e20,hash-map,orx-1,6666544
24,3,4,2e20,hash-map,orx-fixed-1,6604220
25,3,5,2e20,hash-map,rayon-4,121553461
26,3,6,2e20,hash-map,orx-4,12339509
27,3,7,2e20,hash-map,orx-fixed-4,11254263
28,3,8,2e20,hash-map,rayon-16,250377480
29,3,9,2e20,hash-map,orx-16,113719222
30,3,10,2e20,hash-map,orx-fixed-16,98707719
31,4,1,2e20,hash-set,seq,13006628
32,4,2,2e20,hash-set,rayon-1,18652948
33,4,3,2e20,hash-set,orx-1,5710408
34,4,4,2e20,hash-set,orx-fixed-1,5629414
35,4,5,2e20,hash-set,rayon-4,109260167
36,4,6,2e20,hash-set,orx-4,10592498
37,4,7,2e20,hash-set,orx-fixed-4,9853234
38,4,8,2e20,hash-set,rayon-16,242679240
39,4,9,2e20,hash-set,orx-16,93856603
40,4,10,2e20,hash-set,orx-fixed-16,77112186
