t,i,a,n,method,time (ns)
1,1,1,2e15,seq-vec,78406
2,1,2,2e15,rayon-vec-1,163526
3,1,3,2e15,rayon-veclist-1,157745
4,1,4,2e15,orx-vec-1,97670
5,1,5,2e15,orx-arb-vec-1,94769
6,1,6,2e15,orx-arb-vec2-1,89128
7,1,7,2e15,orx-vec-fixed-1,100583
8,1,8,2e15,rayon-vec-4,411173
9,1,9,2e15,rayon-veclist-4,427416
10,1,10,2e15,orx-vec-4,266958
11,1,11,2e15,orx-arb-vec-4,271744
12,1,12,2e15,orx-arb-vec2-4,285918
13,1,13,2e15,orx-vec-fixed-4,289970
14,1,14,2e15,rayon-vec-16,5876210
15,1,15,2e15,rayon-veclist-16,6075518
16,1,16,2e15,orx-vec-16,1033286
17,1,17,2e15,orx-arb-vec-16,970835
18,1,18,2e15,orx-arb-vec2-16,898343
19,1,19,2e15,orx-vec-fixed-16,951065
20,2,1,2e20,seq-vec,2911830
21,2,2,2e20,rayon-vec-1,4520841
22,2,3,2e20,rayon-veclist-1,3215480
23,2,4,2e20,orx-vec-1,3240118
24,2,5,2e20,orx-arb-vec-1,3212926
25,2,6,2e20,orx-arb-vec2-1,2861863
26,2,7,2e20,orx-vec-fixed-1,3301481
27,2,8,2e20,rayon-vec-4,2339084
28,2,9,2e20,rayon-veclist-4,1526215
29,2,10,2e20,orx-vec-4,2132037
30,2,11,2e20,orx-arb-vec-4,1945506
31,2,12,2e20,orx-arb-vec2-4,1430020
32,2,13,2e20,orx-vec-fixed-4,2099878
33,2,14,2e20,rayon-vec-16,8786425
34,2,15,2e20,rayon-veclist-16,8460106
35,2,16,2e20,orx-vec-16,2232896
36,2,17,2e20,orx-arb-vec-16,2387029
37,2,18,2e20,orx-arb-vec2-16,1989594
38,2,19,2e20,orx-vec-fixed-16,2292665
