t,i,a,n,method,time (ns)
1,1,1,2e15,seq-vec,7155
2,1,2,2e15,rayon-vec-1,83963
3,1,3,2e15,rayon-veclist-1,85444
4,1,4,2e15,orx-vec-1,48654
5,1,5,2e15,orx-arb-vec-1,54025
6,1,6,2e15,orx-arb-vec2-1,42015
7,1,7,2e15,orx-vec-fixed-1,62509
8,1,8,2e15,rayon-vec-4,422234
9,1,9,2e15,rayon-veclist-4,372863
10,1,10,2e15,orx-vec-4,214586
11,1,11,2e15,orx-arb-vec-4,208346
12,1,12,2e15,orx-arb-vec2-4,188750
13,1,13,2e15,orx-vec-fixed-4,217445
14,1,14,2e15,rayon-vec-16,5573277
15,1,15,2e15,rayon-veclist-16,5802155
16,1,16,2e15,orx-vec-16,664353
17,1,17,2e15,orx-arb-vec-16,686127
18,1,18,2e15,orx-arb-vec2-16,628508
19,1,19,2e15,orx-vec-fixed-16,666372
20,2,1,2e20,seq-vec,503549
21,2,2,2e20,rayon-vec-1,638634
22,2,3,2e20,rayon-veclist-1,658625
23,2,4,2e20,orx-vec-1,1722447
24,2,5,2e20,orx-arb-vec-1,1633171
25,2,6,2e20,orx-arb-vec2-1,1167348
26,2,7,2e20,orx-vec-fixed-1,1742300
27,2,8,2e20,rayon-vec-4,630410
28,2,9,2e20,rayon-veclist-4,638765
29,2,10,2e20,orx-vec-4,1269448
30,2,11,2e20,orx-arb-vec-4,1227712
31,2,12,2e20,orx-arb-vec2-4,533016
32,2,13,2e20,orx-vec-fixed-4,1224836
33,2,14,2e20,rayon-vec-16,7294681
34,2,15,2e20,rayon-veclist-16,6618368
35,2,16,2e20,orx-vec-16,2413719
36,2,17,2e20,orx-arb-vec-16,2219887
37,2,18,2e20,orx-arb-vec2-16,1315055
38,2,19,2e20,orx-vec-fixed-16,2222872
