t,i,a,n,task,method,time (ns)
1,1,1,2e15,light,seq-vec,263299
2,1,2,2e15,light,rayon-vec-1,617949
3,1,3,2e15,light,rayon-veclist-1,458111
4,1,4,2e15,light,orx-vec-1,369728
5,1,5,2e15,light,orx-arb-vec-1,356976
6,1,6,2e15,light,orx-arb-vec2-1,256062
7,1,7,2e15,light,orx-vec-fixed-1,354959
8,1,8,2e15,light,rayon-vec-4,619556
9,1,9,2e15,light,rayon-veclist-4,503307
10,1,10,2e15,light,orx-vec-4,397495
11,1,11,2e15,light,orx-arb-vec-4,380267
12,1,12,2e15,light,orx-arb-vec2-4,252681
13,1,13,2e15,light,orx-vec-fixed-4,405228
14,1,14,2e15,light,rayon-vec-16,6258708
15,1,15,2e15,light,rayon-veclist-16,6097858
16,1,16,2e15,light,orx-vec-16,1244670
17,1,17,2e15,light,orx-arb-vec-16,1192503
18,1,18,2e15,light,orx-arb-vec2-16,1062650
19,1,19,2e15,light,orx-vec-fixed-16,1547979
20,2,1,2e15,heavy,seq-vec,4242108
21,2,2,2e15,heavy,rayon-vec-1,4379710
22,2,3,2e15,heavy,rayon-veclist-1,4203785
23,2,4,2e15,heavy,orx-vec-1,3920643
24,2,5,2e15,heavy,orx-arb-vec-1,3900931
25,2,6,2e15,heavy,orx-arb-vec2-1,3779088
26,2,7,2e15,heavy,orx-vec-fixed-1,3834820
27,2,8,2e15,heavy,rayon-vec-4,1793708
28,2,9,2e15,heavy,rayon-veclist-4,1729216
29,2,10,2e15,heavy,orx-vec-4,1685035
30,2,11,2e15,heavy,orx-arb-vec-4,1687238
31,2,12,2e15,heavy,orx-arb-vec2-4,1543225
32,2,13,2e15,heavy,orx-vec-fixed-4,1736510
33,2,14,2e15,heavy,rayon-vec-16,4086930
34,2,15,2e15,heavy,rayon-veclist-16,5495914
35,2,16,2e15,heavy,orx-vec-16,1882710
36,2,17,2e15,heavy,orx-arb-vec-16,1956845
37,2,18,2e15,heavy,orx-arb-vec2-16,1832336
38,2,19,2e15,heavy,orx-vec-fixed-16,1810150
39,3,1,2e20,light,seq-vec,28345721
40,3,2,2e20,light,rayon-vec-1,46581587
41,3,3,2e20,light,rayon-veclist-1,29180625
42,3,4,2e20,light,orx-vec-1,55179176
43,3,5,2e20,light,orx-arb-vec-1,53969641
44,3,6,2e20,light,orx-arb-vec2-1,28855944
45,3,7,2e20,light,orx-vec-fixed-1,53345164
46,3,8,2e20,light,rayon-vec-4,30772895
47,3,9,2e20,light,rayon-veclist-4,4567640
48,3,10,2e20,light,orx-vec-4,31337315
49,3,11,2e20,light,orx-arb-vec-4,30403463
50,3,12,2e20,light,orx-arb-vec2-4,11183149
51,3,13,2e20,light,orx-vec-fixed-4,31158729
52,3,14,2e20,light,rayon-vec-16,43192060
53,3,15,2e20,light,rayon-veclist-16,9362617
54,3,16,2e20,light,orx-vec-16,32649770
55,3,17,2e20,light,orx-arb-vec-16,30044954
56,3,18,2e20,light,orx-arb-vec2-16,3212593
57,3,19,2e20,light,orx-vec-fixed-16,30852890
58,4,1,2e20,heavy,seq-vec,143337939
59,4,2,2e20,heavy,rayon-vec-1,156294033
60,4,3,2e20,heavy,rayon-veclist-1,143889628
61,4,4,2e20,heavy,orx-vec-1,161677905
62,4,5,2e20,heavy,orx-arb-vec-1,162741431
63,4,6,2e20,heavy,orx-arb-vec2-1,143216807
64,4,7,2e20,heavy,orx-vec-fixed-1,179257886
65,4,8,2e20,heavy,rayon-vec-4,69522777
66,4,9,2e20,heavy,rayon-veclist-4,38167310
67,4,10,2e20,heavy,orx-vec-4,66320187
68,4,11,2e20,heavy,orx-arb-vec-4,62902273
69,4,12,2e20,heavy,orx-arb-vec2-4,41302428
70,4,13,2e20,heavy,orx-vec-fixed-4,66220048
71,4,14,2e20,heavy,rayon-vec-16,59744341
72,4,15,2e20,heavy,rayon-veclist-16,22876312
73,4,16,2e20,heavy,orx-vec-16,51672118
74,4,17,2e20,heavy,orx-arb-vec-16,50683613
75,4,18,2e20,heavy,orx-arb-vec2-16,19318344
76,4,19,2e20,heavy,orx-vec-fixed-16,51024578
