t,i,a,n,task,method,time (ns)
1,1,1,2e15,light,seq-vec,17015
2,1,2,2e15,light,rayon-vec-1,92969
3,1,3,2e15,light,rayon-veclist-1,94390
4,1,4,2e15,light,orx-vec-1,49915
5,1,5,2e15,light,orx-arb-vec-1,52455
6,1,6,2e15,light,orx-arb-vec2-1,45334
7,1,7,2e15,light,orx-vec-fixed-1,60606
8,1,8,2e15,light,rayon-vec-4,327812
9,1,9,2e15,light,rayon-veclist-4,345688
10,1,10,2e15,light,orx-vec-4,199455
11,1,11,2e15,light,orx-arb-vec-4,211302
12,1,12,2e15,light,orx-arb-vec2-4,181586
13,1,13,2e15,light,orx-vec-fixed-4,219815
14,1,14,2e15,light,rayon-vec-16,5178531
15,1,15,2e15,light,rayon-veclist-16,5517702
16,1,16,2e15,light,orx-vec-16,699085
17,1,17,2e15,light,orx-arb-vec-16,667331
18,1,18,2e15,light,orx-arb-vec2-16,636164
19,1,19,2e15,light,orx-vec-fixed-16,680440
20,2,1,2e15,heavy,seq-vec,784995
21,2,2,2e15,heavy,rayon-vec-1,914061
22,2,3,2e15,heavy,rayon-veclist-1,935868
23,2,4,2e15,heavy,orx-vec-1,800511
24,2,5,2e15,heavy,orx-arb-vec-1,784583
25,2,6,2e15,heavy,orx-arb-vec2-1,759515
26,2,7,2e15,heavy,orx-vec-fixed-1,776050
27,2,8,2e15,heavy,rayon-vec-4,573492
28,2,9,2e15,heavy,rayon-veclist-4,602131
29,2,10,2e15,heavy,orx-vec-4,465174
30,2,11,2e15,heavy,orx-arb-vec-4,522089
31,2,12,2e15,heavy,orx-arb-vec2-4,437047
32,2,13,2e15,heavy,orx-vec-fixed-4,462116
33,2,14,2e15,heavy,rayon-vec-16,5196445
34,2,15,2e15,heavy,rayon-veclist-16,5602952
35,2,16,2e15,heavy,orx-vec-16,1281655
36,2,17,2e15,heavy,orx-arb-vec-16,1251913
37,2,18,2e15,heavy,orx-arb-vec2-16,1244215
38,2,19,2e15,heavy,orx-vec-fixed-16,1267464
39,3,1,2e20,light,seq-vec,709309
40,3,2,2e20,light,rayon-vec-1,954370
41,3,3,2e20,light,rayon-veclist-1,938438
42,3,4,2e20,light,orx-vec-1,2031452
43,3,5,2e20,light,orx-arb-vec-1,1776169
44,3,6,2e20,light,orx-arb-vec2-1,1324788
45,3,7,2e20,light,orx-vec-fixed-1,1943151
46,3,8,2e20,light,rayon-vec-4,727636
47,3,9,2e20,light,rayon-veclist-4,702480
48,3,10,2e20,light,orx-vec-4,1486948
49,3,11,2e20,light,orx-arb-vec-4,1311812
50,3,12,2e20,light,orx-arb-vec2-4,502852
51,3,13,2e20,light,orx-vec-fixed-4,1410103
52,3,14,2e20,light,rayon-vec-16,6820976
53,3,15,2e20,light,rayon-veclist-16,6463118
54,3,16,2e20,light,orx-vec-16,2389463
55,3,17,2e20,light,orx-arb-vec-16,2139852
56,3,18,2e20,light,orx-arb-vec2-16,1363442
57,3,19,2e20,light,orx-vec-fixed-16,2336885
58,4,1,2e20,heavy,seq-vec,26203170
59,4,2,2e20,heavy,rayon-vec-1,25167283
60,4,3,2e20,heavy,rayon-veclist-1,24697858
61,4,4,2e20,heavy,orx-vec-1,25559329
62,4,5,2e20,heavy,orx-arb-vec-1,25183207
63,4,6,2e20,heavy,orx-arb-vec2-1,24380679
64,4,7,2e20,heavy,orx-vec-fixed-1,24755496
65,4,8,2e20,heavy,rayon-vec-4,7677744
66,4,9,2e20,heavy,rayon-veclist-4,7810653
67,4,10,2e20,heavy,orx-vec-4,9053209
68,4,11,2e20,heavy,orx-arb-vec-4,8890931
69,4,12,2e20,heavy,orx-arb-vec2-4,7736560
70,4,13,2e20,heavy,orx-vec-fixed-4,8460713
71,4,14,2e20,heavy,rayon-vec-16,7101979
72,4,15,2e20,heavy,rayon-veclist-16,7974136
73,4,16,2e20,heavy,orx-vec-16,4880594
74,4,17,2e20,heavy,orx-arb-vec-16,4942898
75,4,18,2e20,heavy,orx-arb-vec2-16,4209300
76,4,19,2e20,heavy,orx-vec-fixed-16,4867035
