t,i,a,n,task,method,time (ns)
1,1,1,2e15,light,seq-vec,68107
2,1,2,2e15,light,rayon-vec-1,150316
3,1,3,2e15,light,rayon-veclist-1,147101
4,1,4,2e15,light,orx-vec-1,79812
5,1,5,2e15,light,orx-arb-vec-1,79035
6,1,6,2e15,light,orx-arb-vec2-1,72178
7,1,7,2e15,light,orx-vec-fixed-1,84341
8,1,8,2e15,light,rayon-vec-4,396593
9,1,9,2e15,light,rayon-veclist-4,412569
10,1,10,2e15,light,orx-vec-4,285504
11,1,11,2e15,light,orx-arb-vec-4,326236
12,1,12,2e15,light,orx-arb-vec2-4,248922
13,1,13,2e15,light,orx-vec-fixed-4,270854
14,1,14,2e15,light,rayon-vec-16,5817117
15,1,15,2e15,light,rayon-veclist-16,6033940
16,1,16,2e15,light,orx-vec-16,871342
17,1,17,2e15,light,orx-arb-vec-16,858883
18,1,18,2e15,light,orx-arb-vec2-16,856711
19,1,19,2e15,light,orx-vec-fixed-16,832846
20,2,1,2e15,heavy,seq-vec,865493
21,2,2,2e15,heavy,rayon-vec-1,949357
22,2,3,2e15,heavy,rayon-veclist-1,931310
23,2,4,2e15,heavy,orx-vec-1,841697
24,2,5,2e15,heavy,orx-arb-vec-1,818110
25,2,6,2e15,heavy,orx-arb-vec2-1,804956
26,2,7,2e15,heavy,orx-vec-fixed-1,814409
27,2,8,2e15,heavy,rayon-vec-4,639338
28,2,9,2e15,heavy,rayon-veclist-4,665505
29,2,10,2e15,heavy,orx-vec-4,485765
30,2,11,2e15,heavy,orx-arb-vec-4,463102
31,2,12,2e15,heavy,orx-arb-vec2-4,441753
32,2,13,2e15,heavy,orx-vec-fixed-4,506819
33,2,14,2e15,heavy,rayon-vec-16,5641668
34,2,15,2e15,heavy,rayon-veclist-16,6055296
35,2,16,2e15,heavy,orx-vec-16,1327035
36,2,17,2e15,heavy,orx-arb-vec-16,1314057
37,2,18,2e15,heavy,orx-arb-vec2-16,1286875
38,2,19,2e15,heavy,orx-vec-fixed-16,1278265
39,3,1,2e20,light,seq-vec,2680908
40,3,2,2e20,light,rayon-vec-1,4085331
41,3,3,2e20,light,rayon-veclist-1,2982571
42,3,4,2e20,light,orx-vec-1,3186700
43,3,5,2e20,light,orx-arb-vec-1,2959015
44,3,6,2e20,light,orx-arb-vec2-1,2533636
45,3,7,2e20,light,orx-vec-fixed-1,3015690
46,3,8,2e20,light,rayon-vec-4,2046718
47,3,9,2e20,light,rayon-veclist-4,1356636
48,3,10,2e20,light,orx-vec-4,1983200
49,3,11,2e20,light,orx-arb-vec-4,1903317
50,3,12,2e20,light,orx-arb-vec2-4,1227518
51,3,13,2e20,light,orx-vec-fixed-4,1886855
52,3,14,2e20,light,rayon-vec-16,8164310
53,3,15,2e20,light,rayon-veclist-16,8267577
54,3,16,2e20,light,orx-vec-16,2198472
55,3,17,2e20,light,orx-arb-vec-16,2328085
56,3,18,2e20,light,orx-arb-vec2-16,1844752
57,3,19,2e20,light,orx-vec-fixed-16,2140943
58,4,1,2e20,heavy,seq-vec,30529932
59,4,2,2e20,heavy,rayon-vec-1,27991141
60,4,3,2e20,heavy,rayon-veclist-1,26745026
61,4,4,2e20,heavy,orx-vec-1,27201168
62,4,5,2e20,heavy,orx-arb-vec-1,27549750
63,4,6,2e20,heavy,orx-arb-vec2-1,26610208
64,4,7,2e20,heavy,orx-vec-fixed-1,26794172
65,4,8,2e20,heavy,rayon-vec-4,8989650
66,4,9,2e20,heavy,rayon-veclist-4,8517672
67,4,10,2e20,heavy,orx-vec-4,9066618
68,4,11,2e20,heavy,orx-arb-vec-4,9094380
69,4,12,2e20,heavy,orx-arb-vec2-4,8356285
70,4,13,2e20,heavy,orx-vec-fixed-4,9061729
71,4,14,2e20,heavy,rayon-vec-16,9755322
72,4,15,2e20,heavy,rayon-veclist-16,10290986
73,4,16,2e20,heavy,orx-vec-16,5042469
74,4,17,2e20,heavy,orx-arb-vec-16,5021287
75,4,18,2e20,heavy,orx-arb-vec2-16,4648818
76,4,19,2e20,heavy,orx-vec-fixed-16,5128150
