t,i,a,n,task,method,time (ns)
1,1,1,2e15,light,seq-vec,74638
2,1,2,2e15,light,rayon-vec-1,280401
3,1,3,2e15,light,rayon-veclist-1,275070
4,1,4,2e15,light,orx-vec-1,89589
5,1,5,2e15,light,orx-arb-vec-1,84734
6,1,6,2e15,light,orx-arb-vec2-1,77713
7,1,7,2e15,light,orx-vec-fixed-1,90627
8,1,8,2e15,light,rayon-vec-4,443903
9,1,9,2e15,light,rayon-veclist-4,458076
10,1,10,2e15,light,orx-vec-4,260224
11,1,11,2e15,light,orx-arb-vec-4,243881
12,1,12,2e15,light,orx-arb-vec2-4,232961
13,1,13,2e15,light,orx-vec-fixed-4,251115
14,1,14,2e15,light,rayon-vec-16,5704725
15,1,15,2e15,light,rayon-veclist-16,5915635
16,1,16,2e15,light,orx-vec-16,925890
17,1,17,2e15,light,orx-arb-vec-16,878117
18,1,18,2e15,light,orx-arb-vec2-16,916830
19,1,19,2e15,light,orx-vec-fixed-16,953391
20,2,1,2e15,heavy,seq-vec,2289781
21,2,2,2e15,heavy,rayon-vec-1,2357841
22,2,3,2e15,heavy,rayon-veclist-1,2278317
23,2,4,2e15,heavy,orx-vec-1,2018997
24,2,5,2e15,heavy,orx-arb-vec-1,1952767
25,2,6,2e15,heavy,orx-arb-vec2-1,1914138
26,2,7,2e15,heavy,orx-vec-fixed-1,2062422
27,2,8,2e15,heavy,rayon-vec-4,1040789
28,2,9,2e15,heavy,rayon-veclist-4,1029070
29,2,10,2e15,heavy,orx-vec-4,862199
30,2,11,2e15,heavy,orx-arb-vec-4,886265
31,2,12,2e15,heavy,orx-arb-vec2-4,907500
32,2,13,2e15,heavy,orx-vec-fixed-4,923428
33,2,14,2e15,heavy,rayon-vec-16,5470469
34,2,15,2e15,heavy,rayon-veclist-16,5859174
35,2,16,2e15,heavy,orx-vec-16,1493087
36,2,17,2e15,heavy,orx-arb-vec-16,1500611
37,2,18,2e15,heavy,orx-arb-vec2-16,1474458
38,2,19,2e15,heavy,orx-vec-fixed-16,1496882
39,3,1,2e20,light,seq-vec,2885201
40,3,2,2e20,light,rayon-vec-1,8495391
41,3,3,2e20,light,rayon-veclist-1,6793660
42,3,4,2e20,light,orx-vec-1,3299821
43,3,5,2e20,light,orx-arb-vec-1,3093284
44,3,6,2e20,light,orx-arb-vec2-1,2698009
45,3,7,2e20,light,orx-vec-fixed-1,3197581
46,3,8,2e20,light,rayon-vec-4,3376041
47,3,9,2e20,light,rayon-veclist-4,2459060
48,3,10,2e20,light,orx-vec-4,1987247
49,3,11,2e20,light,orx-arb-vec-4,2023764
50,3,12,2e20,light,orx-arb-vec2-4,1389809
51,3,13,2e20,light,orx-vec-fixed-4,2029231
52,3,14,2e20,light,rayon-vec-16,5504224
53,3,15,2e20,light,rayon-veclist-16,8123671
54,3,16,2e20,light,orx-vec-16,2256948
55,3,17,2e20,light,orx-arb-vec-16,2357482
56,3,18,2e20,light,orx-arb-vec2-16,2013360
57,3,19,2e20,light,orx-vec-fixed-16,2196162
58,4,1,2e20,heavy,seq-vec,62515719
59,4,2,2e20,heavy,rayon-vec-1,61924259
60,4,3,2e20,heavy,rayon-veclist-1,62357213
61,4,4,2e20,heavy,orx-vec-1,61019986
62,4,5,2e20,heavy,orx-arb-vec-1,62689577
63,4,6,2e20,heavy,orx-arb-vec2-1,60832192
64,4,7,2e20,heavy,orx-vec-fixed-1,60217328
65,4,8,2e20,heavy,rayon-vec-4,19508366
66,4,9,2e20,heavy,rayon-veclist-4,21867437
67,4,10,2e20,heavy,orx-vec-4,20928741
68,4,11,2e20,heavy,orx-arb-vec-4,20337917
69,4,12,2e20,heavy,orx-arb-vec2-4,19407231
70,4,13,2e20,heavy,orx-vec-fixed-4,19595793
71,4,14,2e20,heavy,rayon-vec-16,13230117
72,4,15,2e20,heavy,rayon-veclist-16,14680246
73,4,16,2e20,heavy,orx-vec-16,9792219
74,4,17,2e20,heavy,orx-arb-vec-16,10322708
75,4,18,2e20,heavy,orx-arb-vec2-16,9713094
76,4,19,2e20,heavy,orx-vec-fixed-16,9115402
