t,i,a,n,task,method,time (ns)
1,1,1,2e15,light,seq-vec,90947
2,1,2,2e15,light,rayon-vec-1,306338
3,1,3,2e15,light,rayon-veclist-1,288586
4,1,4,2e15,light,orx-vec-1,102778
5,1,5,2e15,light,orx-arb-vec-1,96768
6,1,6,2e15,light,orx-arb-vec2-1,92460
7,1,7,2e15,light,orx-vec-fixed-1,102719
8,1,8,2e15,light,rayon-vec-4,463359
9,1,9,2e15,light,rayon-veclist-4,465903
10,1,10,2e15,light,orx-vec-4,260451
11,1,11,2e15,light,orx-arb-vec-4,257041
12,1,12,2e15,light,orx-arb-vec2-4,250003
13,1,13,2e15,light,orx-vec-fixed-4,259371
14,1,14,2e15,light,rayon-vec-16,5706249
15,1,15,2e15,light,rayon-veclist-16,5917392
16,1,16,2e15,light,orx-vec-16,1016514
17,1,17,2e15,light,orx-arb-vec-16,1038831
18,1,18,2e15,light,orx-arb-vec2-16,1013048
19,1,19,2e15,light,orx-vec-fixed-16,984277
20,2,1,2e15,heavy,seq-vec,2066167
21,2,2,2e15,heavy,rayon-vec-1,2119472
22,2,3,2e15,heavy,rayon-veclist-1,2132501
23,2,4,2e15,heavy,orx-vec-1,1972120
24,2,5,2e15,heavy,orx-arb-vec-1,1941596
25,2,6,2e15,heavy,orx-arb-vec2-1,1947046
26,2,7,2e15,heavy,orx-vec-fixed-1,1977774
27,2,8,2e15,heavy,rayon-vec-4,1030641
28,2,9,2e15,heavy,rayon-veclist-4,1051674
29,2,10,2e15,heavy,orx-vec-4,862813
30,2,11,2e15,heavy,orx-arb-vec-4,884376
31,2,12,2e15,heavy,orx-arb-vec2-4,885153
32,2,13,2e15,heavy,orx-vec-fixed-4,909138
33,2,14,2e15,heavy,rayon-vec-16,5790503
34,2,15,2e15,heavy,rayon-veclist-16,5824764
35,2,16,2e15,heavy,orx-vec-16,1522775
36,2,17,2e15,heavy,orx-arb-vec-16,1512035
37,2,18,2e15,heavy,orx-arb-vec2-16,1474259
38,2,19,2e15,heavy,orx-vec-fixed-16,1480470
39,3,1,2e20,light,seq-vec,3301277
40,3,2,2e20,light,rayon-vec-1,8849255
41,3,3,2e20,light,rayon-veclist-1,7519262
42,3,4,2e20,light,orx-vec-1,3740220
43,3,5,2e20,light,orx-arb-vec-1,3590134
44,3,6,2e20,light,orx-arb-vec2-1,3157167
45,3,7,2e20,light,orx-vec-fixed-1,3635966
46,3,8,2e20,light,rayon-vec-4,3567895
47,3,9,2e20,light,rayon-veclist-4,2617346
48,3,10,2e20,light,orx-vec-4,2189264
49,3,11,2e20,light,orx-arb-vec-4,2098370
50,3,12,2e20,light,orx-arb-vec2-4,1519350
51,3,13,2e20,light,orx-vec-fixed-4,2058301
52,3,14,2e20,light,rayon-vec-16,5845145
53,3,15,2e20,light,rayon-veclist-16,8663070
54,3,16,2e20,light,orx-vec-16,2206585
55,3,17,2e20,light,orx-arb-vec-16,2583720
56,3,18,2e20,light,orx-arb-vec2-16,2135783
57,3,19,2e20,light,orx-vec-fixed-16,2279793
58,4,1,2e20,heavy,seq-vec,65025832
59,4,2,2e20,heavy,rayon-vec-1,63791099
60,4,3,2e20,heavy,rayon-veclist-1,63762111
61,4,4,2e20,heavy,orx-vec-1,61971073
62,4,5,2e20,heavy,orx-arb-vec-1,63326003
63,4,6,2e20,heavy,orx-arb-vec2-1,62849375
64,4,7,2e20,heavy,orx-vec-fixed-1,61686482
65,4,8,2e20,heavy,rayon-vec-4,19443863
66,4,9,2e20,heavy,rayon-veclist-4,19744879
67,4,10,2e20,heavy,orx-vec-4,19778662
68,4,11,2e20,heavy,orx-arb-vec-4,20401527
69,4,12,2e20,heavy,orx-arb-vec2-4,19399916
70,4,13,2e20,heavy,orx-vec-fixed-4,20198360
71,4,14,2e20,heavy,rayon-vec-16,14703831
72,4,15,2e20,heavy,rayon-veclist-16,14287897
73,4,16,2e20,heavy,orx-vec-16,9498536
74,4,17,2e20,heavy,orx-arb-vec-16,10318316
75,4,18,2e20,heavy,orx-arb-vec2-16,10156279
76,4,19,2e20,heavy,orx-vec-fixed-16,9758912
