t,i,a,n,dist,nt,method,time (ns)
1,1,1,2e16,uniform,4,seq,98753
2,1,2,2e16,uniform,4,rayon,735770
3,1,3,2e16,uniform,4,orx,292463
4,1,4,2e16,uniform,4,orx-fixed,275577
5,2,1,2e20,uniform,4,seq,543359
6,2,2,2e20,uniform,4,rayon,984581
7,2,3,2e20,uniform,4,orx,493978
8,2,4,2e20,uniform,4,orx-fixed,441791
9,3,1,2e16,skewed,4,seq,97031
10,3,2,2e16,skewed,4,rayon,686310
11,3,3,2e16,skewed,4,orx,299609
12,3,4,2e16,skewed,4,orx-fixed,286219
13,4,1,2e20,skewed,4,seq,560687
14,4,2,2e20,skewed,4,rayon,969053
15,4,3,2e20,skewed,4,orx,469359
16,4,4,2e20,skewed,4,orx-fixed,450065
17,5,1,2e16,uniform,16,seq,94028
18,5,2,2e16,uniform,16,rayon,5845198
19,5,3,2e16,uniform,16,orx,849105
20,5,4,2e16,uniform,16,orx-fixed,794761
21,6,1,2e20,uniform,16,seq,556190
22,6,2,2e20,uniform,16,rayon,6130796
23,6,3,2e20,uniform,16,orx,1363555
24,6,4,2e20,uniform,16,orx-fixed,1278470
25,7,1,2e16,skewed,16,seq,99432
26,7,2,2e16,skewed,16,rayon,5942299
27,7,3,2e16,skewed,16,orx,856626
28,7,4,2e16,skewed,16,orx-fixed,795358
29,8,1,2e20,skewed,16,seq,587306
30,8,2,2e20,skewed,16,rayon,6241209
31,8,3,2e20,skewed,16,orx,1368730
32,8,4,2e20,skewed,16,orx-fixed,1338824
