t,i,a,n,pos,nt,method,time (ns)
1,1,1,2e16,early,4,seq,113
2,1,2,2e16,early,4,rayon,448554
3,1,3,2e16,early,4,orx,230465
4,1,4,2e16,early,4,orx-fixed,246756
5,2,1,2e20,early,4,seq,1484
6,2,2,2e20,early,4,rayon,447186
7,2,3,2e20,early,4,orx,228642
8,2,4,2e20,early,4,orx-fixed,265269
9,3,1,2e16,mid,4,seq,12079
10,3,2,2e16,mid,4,rayon,493122
11,3,3,2e16,mid,4,orx,240317
12,3,4,2e16,mid,4,orx-fixed,244029
13,4,1,2e20,mid,4,seq,340618
14,4,2,2e20,mid,4,rayon,736931
15,4,3,2e20,mid,4,orx,380049
16,4,4,2e20,mid,4,orx-fixed,363766
17,5,1,2e16,late,4,seq,24586
18,5,2,2e16,late,4,rayon,480521
19,5,3,2e16,late,4,orx,233282
20,5,4,2e16,late,4,orx-fixed,250363
21,6,1,2e20,late,4,seq,1006459
22,6,2,2e20,late,4,rayon,866927
23,6,3,2e20,late,4,orx,651909
24,6,4,2e20,late,4,orx-fixed,572296
25,7,1,2e16,never,4,seq,24644
26,7,2,2e16,never,4,rayon,489654
27,7,3,2e16,never,4,orx,237262
28,7,4,2e16,never,4,orx-fixed,260653
29,8,1,2e20,never,4,seq,879836
30,8,2,2e20,never,4,rayon,853710
31,8,3,2e20,never,4,orx,610489
32,8,4,2e20,never,4,orx-fixed,601803
33,9,1,2e16,early,16,seq,111
34,9,2,2e16,early,16,rayon,1905430
35,9,3,2e16,early,16,orx,788135
36,9,4,2e16,early,16,orx-fixed,770128
37,10,1,2e20,early,16,seq,1462
38,10,2,2e20,early,16,rayon,1933475
39,10,3,2e20,early,16,orx,763830
40,10,4,2e20,early,16,orx-fixed,783490
41,11,1,2e16,mid,16,seq,11482
42,11,2,2e16,mid,16,rayon,2712948
43,11,3,2e16,mid,16,orx,801930
44,11,4,2e16,mid,16,orx-fixed,764573
45,12,1,2e20,mid,16,seq,320114
46,12,2,2e20,mid,16,rayon,3006091
47,12,3,2e20,mid,16,orx,1327944
48,12,4,2e20,mid,16,orx-fixed,1277096
49,13,1,2e16,late,16,seq,24478
50,13,2,2e16,late,16,rayon,2785353
51,13,3,2e16,late,16,orx,781827
52,13,4,2e16,late,16,orx-fixed,794144
53,14,1,2e20,late,16,seq,919068
54,14,2,2e20,late,16,rayon,2997667
55,14,3,2e20,late,16,orx,1555247
56,14,4,2e20,late,16,orx-fixed,1468736
57,15,1,2e16,never,16,seq,25220
58,15,2,2e16,never,16,rayon,6018905
59,15,3,2e16,never,16,orx,839842
60,15,4,2e16,never,16,orx-fixed,811280
61,16,1,2e20,never,16,seq,933664
62,16,2,2e20,never,16,rayon,7373936
63,16,3,2e20,never,16,orx,1524240
64,16,4,2e20,never,16,orx-fixed,1476475
