t,i,a,n,pos,nt,method,time (ns)
1,1,1,2e16,early,4,seq,109
2,1,2,2e16,early,4,rayon,441934
3,1,3,2e16,early,4,orx,240893
4,1,4,2e16,early,4,orx-fixed,252206
5,2,1,2e20,early,4,seq,1481
6,2,2,2e20,early,4,rayon,495539
7,2,3,2e20,early,4,orx,287637
8,2,4,2e20,early,4,orx-fixed,274292
9,3,1,2e16,mid,4,seq,12475
10,3,2,2e16,mid,4,rayon,770861
11,3,3,2e16,mid,4,orx,264556
12,3,4,2e16,mid,4,orx-fixed,246776
13,4,1,2e20,mid,4,seq,338670
14,4,2,2e20,mid,4,rayon,5244153
15,4,3,2e20,mid,4,orx,406837
16,4,4,2e20,mid,4,orx-fixed,409685
17,5,1,2e16,late,4,seq,27061
18,5,2,2e16,late,4,rayon,762260
19,5,3,2e16,late,4,orx,246058
20,5,4,2e16,late,4,orx-fixed,263085
21,6,1,2e20,late,4,seq,967343
22,6,2,2e20,late,4,rayon,5802439
23,6,3,2e20,late,4,orx,680076
24,6,4,2e20,late,4,orx-fixed,624295
25,7,1,2e16,never,4,seq,26751
26,7,2,2e16,never,4,rayon,780890
27,7,3,2e16,never,4,orx,246555
28,7,4,2e16,never,4,orx-fixed,270774
29,8,1,2e20,never,4,seq,962844
30,8,2,2e20,never,4,rayon,5561572
31,8,3,2e20,never,4,orx,712056
32,8,4,2e20,never,4,orx-fixed,632698
33,9,1,2e16,early,16,seq,111
34,9,2,2e16,early,16,rayon,1950463
35,9,3,2e16,early,16,orx,798995
36,9,4,2e16,early,16,orx-fixed,816394
37,10,1,2e20,early,16,seq,1542
38,10,2,2e20,early,16,rayon,2184042
39,10,3,2e20,early,16,orx,766518
40,10,4,2e20,early,16,orx-fixed,785655
41,11,1,2e16,mid,16,seq,11703
42,11,2,2e16,mid,16,rayon,5466800
43,11,3,2e16,mid,16,orx,806205
44,11,4,2e16,mid,16,orx-fixed,774056
45,12,1,2e20,mid,16,seq,356515
46,12,2,2e20,mid,16,rayon,4466018
47,12,3,2e20,mid,16,orx,1326054
48,12,4,2e20,mid,16,orx-fixed,1312160
49,13,1,2e16,late,16,seq,26279
50,13,2,2e16,late,16,rayon,5972465
51,13,3,2e16,late,16,orx,836640
52,13,4,2e16,late,16,orx-fixed,786555
53,14,1,2e20,late,16,seq,974805
54,14,2,2e20,late,16,rayon,5886439
55,14,3,2e20,late,16,orx,1713407
56,14,4,2e20,late,16,orx-fixed,1537914
57,15,1,2e16,never,16,seq,26270
58,15,2,2e16,never,16,rayon,6164271
59,15,3,2e16,never,16,orx,799510
60,15,4,2e16,never,16,orx-fixed,805456
61,16,1,2e20,never,16,seq,974661
62,16,2,2e20,never,16,rayon,5876964
63,16,3,2e20,never,16,orx,1702072
64,16,4,2e20,never,16,orx-fixed,1590571
