t,i,a,depth,topology,nt,method,time (ns)
1,1,1,depth10,balanced,4,seq,689521
2,1,2,depth10,balanced,4,rayon,1401397
3,1,3,depth10,balanced,4,orx,6241086
4,1,4,depth10,balanced,4,orx-fixed,6630850
5,1,5,depth10,balanced,4,orx-lin,7269209
6,1,6,depth10,balanced,4,orx-fixed-lin,8282090
7,2,1,depth12,balanced,4,seq,6903243
8,2,2,depth12,balanced,4,rayon,9633962
9,2,3,depth12,balanced,4,orx,56946079
10,2,4,depth12,balanced,4,orx-fixed,66706084
11,2,5,depth12,balanced,4,orx-lin,62882011
12,2,6,depth12,balanced,4,orx-fixed-lin,75254729
13,3,1,depth10,skewed,4,seq,685
14,3,2,depth10,skewed,4,rayon,321274
15,3,3,depth10,skewed,4,orx,248667
16,3,4,depth10,skewed,4,orx-fixed,219073
17,3,5,depth10,skewed,4,orx-lin,428654
18,3,6,depth10,skewed,4,orx-fixed-lin,406604
19,4,1,depth12,skewed,4,seq,822
20,4,2,depth12,skewed,4,rayon,316461
21,4,3,depth12,skewed,4,orx,243705
22,4,4,depth12,skewed,4,orx-fixed,215966
23,4,5,depth12,skewed,4,orx-lin,437984
24,4,6,depth12,skewed,4,orx-fixed-lin,404295
25,5,1,depth10,balanced,16,seq,712819
26,5,2,depth10,balanced,16,rayon,4528839
27,5,3,depth10,balanced,16,orx,10070851
28,5,4,depth10,balanced,16,orx-fixed,10124135
29,5,5,depth10,balanced,16,orx-lin,12105166
30,5,6,depth10,balanced,16,orx-fixed-lin,14165792
31,6,1,depth12,balanced,16,seq,7280150
32,6,2,depth12,balanced,16,rayon,7846689
33,6,3,depth12,balanced,16,orx,86785947
34,6,4,depth12,balanced,16,orx-fixed,90079945
35,6,5,depth12,balanced,16,orx-lin,94309667
36,6,6,depth12,balanced,16,orx-fixed-lin,115237224
37,7,1,depth10,skewed,16,seq,732
38,7,2,depth10,skewed,16,rayon,3138099
39,7,3,depth10,skewed,16,orx,904516
40,7,4,depth10,skewed,16,orx-fixed,801561
41,7,5,depth10,skewed,16,orx-lin,1595207
42,7,6,depth10,skewed,16,orx-fixed-lin,1522557
43,8,1,depth12,skewed,16,seq,835
44,8,2,depth12,skewed,16,rayon,3226477
45,8,3,depth12,skewed,16,orx,873888
46,8,4,depth12,skewed,16,orx-fixed,794776
47,8,5,depth12,skewed,16,orx-lin,1566861
48,8,6,depth12,skewed,16,orx-fixed-lin,1491958
