t,i,a,n,dataset,method,time (ns)
1,1,1,2e14,hash-map,seq,2271809
2,1,2,2e14,hash-map,rayon-1,2440208
3,1,3,2e14,hash-map,orx-1,1927885
4,1,4,2e14,hash-map,orx-fixed-1,1943699
5,1,5,2e14,hash-map,rayon-4,3933886
6,1,6,2e14,hash-map,orx-4,952576
7,1,7,2e14,hash-map,orx-fixed-4,989847
8,1,8,2e14,hash-map,rayon-16,11041652
9,1,9,2e14,hash-map,orx-16,1623331
10,1,10,2e14,hash-map,orx-fixed-16,1570430
11,2,1,2e14,hash-set,seq,2446642
12,2,2,2e14,hash-set,rayon-1,2537776
13,2,3,2e14,hash-set,orx-1,1972061
14,2,4,2e14,hash-set,orx-fixed-1,1980915
15,2,5,2e14,hash-set,rayon-4,3848877
16,2,6,2e14,hash-set,orx-4,1004481
17,2,7,2e14,hash-set,orx-fixed-4,1063198
18,2,8,2e14,hash-set,rayon-16,12204822
19,2,9,2e14,hash-set,orx-16,1811025
20,2,10,2e14,hash-set,orx-fixed-16,1699032
21,3,1,2e18,hash-map,seq,38912917
22,3,2,2e18,hash-map,rayon-1,39451974
23,3,3,2e18,hash-map,orx-1,32948130
24,3,4,2e18,hash-map,orx-fixed-1,34243107
25,3,5,2e18,hash-map,rayon-4,72491749
26,3,6,2e18,hash-map,orx-4,12056986
27,3,7,2e18,hash-map,orx-fixed-4,11800011
28,3,8,2e18,hash-map,rayon-16,164359773
29,3,9,2e18,hash-map,orx-16,26356029
30,3,10,2e18,hash-map,orx-fixed-16,16164657
31,4,1,2e18,hash-set,seq,38530113
32,4,2,2e18,hash-set,rayon-1,38362247
33,4,3,2e18,hash-set,orx-1,31604359
34,4,4,2e18,hash-set,orx-fixed-1,30404667
35,4,5,2e18,hash-set,rayon-4,58761523
36,4,6,2e18,hash-set,orx-4,11146269
37,4,7,2e18,hash-set,orx-fixed-4,13661089
38,4,8,2e18,hash-set,rayon-16,150258338
39,4,9,2e18,hash-set,orx-16,18132623
40,4,10,2e18,hash-set,orx-fixed-16,11143405
