t,i,a,n,pos,method,time (ns)
1,1,1,2e16,early,seq,109
2,1,2,2e16,early,rayon-1,76223
3,1,3,2e16,early,orx-1,10615
4,1,4,2e16,early,orx-fixed-1,19103
5,1,5,2e16,early,rayon-4,285826
6,1,6,2e16,early,orx-4,169703
7,1,7,2e16,early,orx-fixed-4,171219
8,1,8,2e16,early,rayon-16,1661947
9,1,9,2e16,early,orx-16,604993
10,1,10,2e16,early,orx-fixed-16,560193
11,2,1,2e16,mid,seq,11758
12,2,2,2e16,mid,rayon-1,93473
13,2,3,2e16,mid,orx-1,21676
14,2,4,2e16,mid,orx-fixed-1,30403
15,2,5,2e16,mid,rayon-4,332845
16,2,6,2e16,mid,orx-4,170286
17,2,7,2e16,mid,orx-fixed-4,198214
18,2,8,2e16,mid,rayon-16,2410681
19,2,9,2e16,mid,orx-16,648193
20,2,10,2e16,mid,orx-fixed-16,666912
21,3,1,2e16,late,seq,24453
22,3,2,2e16,late,rayon-1,119424
23,3,3,2e16,late,orx-1,34765
24,3,4,2e16,late,orx-fixed-1,43976
25,3,5,2e16,late,rayon-4,382219
26,3,6,2e16,late,orx-4,219407
27,3,7,2e16,late,orx-fixed-4,211456
28,3,8,2e16,late,rayon-16,2445811
29,3,9,2e16,late,orx-16,739795
30,3,10,2e16,late,orx-fixed-16,737296
31,4,1,2e16,never,seq,24893
32,4,2,2e16,never,rayon-1,115504
33,4,3,2e16,never,orx-1,34215
34,4,4,2e16,never,orx-fixed-1,44380
35,4,5,2e16,never,rayon-4,329592
36,4,6,2e16,never,orx-4,214751
37,4,7,2e16,never,orx-fixed-4,190035
38,4,8,2e16,never,rayon-16,5704075
39,4,9,2e16,never,orx-16,752432
40,4,10,2e16,never,orx-fixed-16,774253
41,5,1,2e20,early,seq,1534
42,5,2,2e20,early,rayon-1,78978
43,5,3,2e20,early,orx-1,11550
44,5,4,2e20,early,orx-fixed-1,19836
45,5,5,2e20,early,rayon-4,288070
46,5,6,2e20,early,orx-4,183384
47,5,7,2e20,early,orx-fixed-4,171720
48,5,8,2e20,early,rayon-16,1687971
49,5,9,2e20,early,orx-16,646938
50,5,10,2e20,early,orx-fixed-16,581049
51,6,1,2e20,mid,seq,320755
52,6,2,2e20,mid,rayon-1,463226
53,6,3,2e20,mid,orx-1,325735
54,6,4,2e20,mid,orx-fixed-1,324380
55,6,5,2e20,mid,rayon-4,648604
56,6,6,2e20,mid,orx-4,395254
57,6,7,2e20,mid,orx-fixed-4,390565
58,6,8,2e20,mid,rayon-16,3024774
59,6,9,2e20,mid,orx-16,1255886
60,6,10,2e20,mid,orx-fixed-16,1232028
61,7,1,2e20,late,seq,980884
62,7,2,2e20,late,rayon-1,1386691
63,7,3,2e20,late,orx-1,981037
64,7,4,2e20,late,orx-fixed-1,996632
65,7,5,2e20,late,rayon-4,729110
66,7,6,2e20,late,orx-4,664394
67,7,7,2e20,late,orx-fixed-4,578384
68,7,8,2e20,late,rayon-16,2878924
69,7,9,2e20,late,orx-16,1528877
70,7,10,2e20,late,orx-fixed-16,1431238
71,8,1,2e20,never,seq,986870
72,8,2,2e20,never,rayon-1,1355154
73,8,3,2e20,never,orx-1,980611
74,8,4,2e20,never,orx-fixed-1,980591
75,8,5,2e20,never,rayon-4,746680
76,8,6,2e20,never,orx-4,662872
77,8,7,2e20,never,orx-fixed-4,603989
78,8,8,2e20,never,rayon-16,7238095
79,8,9,2e20,never,orx-16,1482800
80,8,10,2e20,never,orx-fixed-16,1465374
