t,i,a,n,pos,method,time (ns)
1,1,1,2e16,early,seq,104
2,1,2,2e16,early,rayon-1,76105
3,1,3,2e16,early,orx-1,9398
4,1,4,2e16,early,orx-fixed-1,18451
5,1,5,2e16,early,rayon-4,305498
6,1,6,2e16,early,orx-4,179866
7,1,7,2e16,early,orx-fixed-4,167282
8,1,8,2e16,early,rayon-16,1668116
9,1,9,2e16,early,orx-16,600433
10,1,10,2e16,early,orx-fixed-16,561920
11,2,1,2e16,mid,seq,11872
12,2,2,2e16,mid,rayon-1,589079
13,2,3,2e16,mid,orx-1,21280
14,2,4,2e16,mid,orx-fixed-1,29600
15,2,5,2e16,mid,rayon-4,606435
16,2,6,2e16,mid,orx-4,165532
17,2,7,2e16,mid,orx-fixed-4,203492
18,2,8,2e16,mid,rayon-16,4924485
19,2,9,2e16,mid,orx-16,643558
20,2,10,2e16,mid,orx-fixed-16,706866
21,3,1,2e16,late,seq,24360
22,3,2,2e16,late,rayon-1,1108568
23,3,3,2e16,late,orx-1,34621
24,3,4,2e16,late,orx-fixed-1,43846
25,3,5,2e16,late,rayon-4,633603
26,3,6,2e16,late,orx-4,211109
27,3,7,2e16,late,orx-fixed-4,207345
28,3,8,2e16,late,rayon-16,5005448
29,3,9,2e16,late,orx-16,792475
30,3,10,2e16,late,orx-fixed-16,747490
31,4,1,2e16,never,seq,24066
32,4,2,2e16,never,rayon-1,1102921
33,4,3,2e16,never,orx-1,34378
34,4,4,2e16,never,orx-fixed-1,44378
35,4,5,2e16,never,rayon-4,654841
36,4,6,2e16,never,orx-4,217415
37,4,7,2e16,never,orx-fixed-4,206342
38,4,8,2e16,never,rayon-16,5284510
39,4,9,2e16,never,orx-16,723328
40,4,10,2e16,never,orx-fixed-16,720428
41,5,1,2e20,early,seq,1468
42,5,2,2e20,early,rayon-1,136495
43,5,3,2e20,early,orx-1,11024
44,5,4,2e20,early,orx-fixed-1,20184
45,5,5,2e20,early,rayon-4,379358
46,5,6,2e20,early,orx-4,187863
47,5,7,2e20,early,orx-fixed-4,176967
48,5,8,2e20,early,rayon-16,1951822
49,5,9,2e20,early,orx-16,660681
50,5,10,2e20,early,orx-fixed-16,560394
51,6,1,2e20,mid,seq,349256
52,6,2,2e20,mid,rayon-1,7988032
53,6,3,2e20,mid,orx-1,343245
54,6,4,2e20,mid,orx-fixed-1,348877
55,6,5,2e20,mid,rayon-4,4710114
56,6,6,2e20,mid,orx-4,391538
57,6,7,2e20,mid,orx-fixed-4,363887
58,6,8,2e20,mid,rayon-16,4692168
59,6,9,2e20,mid,orx-16,1232693
60,6,10,2e20,mid,orx-fixed-16,1189371
61,7,1,2e20,late,seq,1048609
62,7,2,2e20,late,rayon-1,16270548
63,7,3,2e20,late,orx-1,1013940
64,7,4,2e20,late,orx-fixed-1,1031246
65,7,5,2e20,late,rayon-4,5385442
66,7,6,2e20,late,orx-4,624407
67,7,7,2e20,late,orx-fixed-4,588855
68,7,8,2e20,late,rayon-16,5588265
69,7,9,2e20,late,orx-16,1523098
70,7,10,2e20,late,orx-fixed-16,1445260
71,8,1,2e20,never,seq,1043402
72,8,2,2e20,never,rayon-1,16615318
73,8,3,2e20,never,orx-1,1057230
74,8,4,2e20,never,orx-fixed-1,1075786
75,8,5,2e20,never,rayon-4,5429655
76,8,6,2e20,never,orx-4,627576
77,8,7,2e20,never,orx-fixed-4,570705
78,8,8,2e20,never,rayon-16,5690352
79,8,9,2e20,never,orx-16,1539580
80,8,10,2e20,never,orx-fixed-16,1453127
