t,i,a,n,pos,task,method,time (ns)
1,1,1,2e20,early,light,seq,98
2,1,2,2e20,early,light,rayon-1,72719
3,1,3,2e20,early,light,orx-1,12123
4,1,4,2e20,early,light,orx-fixed-1,22843
5,1,5,2e20,early,light,rayon-4,355373
6,1,6,2e20,early,light,orx-4,222784
7,1,7,2e20,early,light,orx-fixed-4,207570
8,1,8,2e20,early,light,rayon-16,1837835
9,1,9,2e20,early,light,orx-16,669999
10,1,10,2e20,early,light,orx-fixed-16,636478
11,2,1,2e20,mid,light,seq,203588
12,2,2,2e20,mid,light,rayon-1,416501
13,2,3,2e20,mid,light,orx-1,208962
14,2,4,2e20,mid,light,orx-fixed-1,219229
15,2,5,2e20,mid,light,rayon-4,463252
16,2,6,2e20,mid,light,orx-4,352032
17,2,7,2e20,mid,light,orx-fixed-4,293345
18,2,8,2e20,mid,light,rayon-16,6635623
19,2,9,2e20,mid,light,orx-16,1185922
20,2,10,2e20,mid,light,orx-fixed-16,1167191
21,3,1,2e20,late,light,seq,425444
22,3,2,2e20,late,light,rayon-1,659381
23,3,3,2e20,late,light,orx-1,424502
24,3,4,2e20,late,light,orx-fixed-1,421416
25,3,5,2e20,late,light,rayon-4,556404
26,3,6,2e20,late,light,orx-4,411330
27,3,7,2e20,late,light,orx-fixed-4,368159
28,3,8,2e20,late,light,rayon-16,7156254
29,3,9,2e20,late,light,orx-16,1427000
30,3,10,2e20,late,light,orx-fixed-16,1246789
31,4,1,2e20,early,heavy,seq,10120
32,4,2,2e20,early,heavy,rayon-1,90259
33,4,3,2e20,early,heavy,orx-1,17779
34,4,4,2e20,early,heavy,orx-fixed-1,27155
35,4,5,2e20,early,heavy,rayon-4,360186
36,4,6,2e20,early,heavy,orx-4,210329
37,4,7,2e20,early,heavy,orx-fixed-4,193180
38,4,8,2e20,early,heavy,rayon-16,1963428
39,4,9,2e20,early,heavy,orx-16,731262
40,4,10,2e20,early,heavy,orx-fixed-16,610567
41,5,1,2e20,mid,heavy,seq,18575177
42,5,2,2e20,mid,heavy,rayon-1,19258821
43,5,3,2e20,mid,heavy,orx-1,19607028
44,5,4,2e20,mid,heavy,orx-fixed-1,17885836
45,5,5,2e20,mid,heavy,rayon-4,5929886
46,5,6,2e20,mid,heavy,orx-4,5648218
47,5,7,2e20,mid,heavy,orx-fixed-4,5759961
48,5,8,2e20,mid,heavy,rayon-16,5773751
49,5,9,2e20,mid,heavy,orx-16,3454180
50,5,10,2e20,mid,heavy,orx-fixed-16,3565898
51,6,1,2e20,late,heavy,seq,37851167
52,6,2,2e20,late,heavy,rayon-1,38835733
53,6,3,2e20,late,heavy,orx-1,38848635
54,6,4,2e20,late,heavy,orx-fixed-1,35886047
55,6,5,2e20,late,heavy,rayon-4,11482184
56,6,6,2e20,late,heavy,orx-4,10956454
57,6,7,2e20,late,heavy,orx-fixed-4,11111982
58,6,8,2e20,late,heavy,rayon-16,8414013
59,6,9,2e20,late,heavy,orx-16,5591292
60,6,10,2e20,late,heavy,orx-fixed-16,5495969
