t,i,a,n,pos,task,method,time (ns)
1,1,1,2e20,early,light,seq,99
2,1,2,2e20,early,light,rayon-1,73483
3,1,3,2e20,early,light,orx-1,9745
4,1,4,2e20,early,light,orx-fixed-1,18759
5,1,5,2e20,early,light,rayon-4,284668
6,1,6,2e20,early,light,orx-4,166071
7,1,7,2e20,early,light,orx-fixed-4,175030
8,1,8,2e20,early,light,rayon-16,1697601
9,1,9,2e20,early,light,orx-16,575656
10,1,10,2e20,early,light,orx-fixed-16,533300
11,2,1,2e20,mid,light,seq,175591
12,2,2,2e20,mid,light,rayon-1,2036363
13,2,3,2e20,mid,light,orx-1,193672
14,2,4,2e20,mid,light,orx-fixed-1,201383
15,2,5,2e20,mid,light,rayon-4,1032648
16,2,6,2e20,mid,light,orx-4,334182
17,2,7,2e20,mid,light,orx-fixed-4,299686
18,2,8,2e20,mid,light,rayon-16,5643447
19,2,9,2e20,mid,light,orx-16,1137683
20,2,10,2e20,mid,light,orx-fixed-16,1091202
21,3,1,2e20,late,light,seq,377116
22,3,2,2e20,late,light,rayon-1,3935085
23,3,3,2e20,late,light,orx-1,392027
24,3,4,2e20,late,light,orx-fixed-1,400349
25,3,5,2e20,late,light,rayon-4,1589423
26,3,6,2e20,late,light,orx-4,449882
27,3,7,2e20,late,light,orx-fixed-4,364725
28,3,8,2e20,late,light,rayon-16,5222393
29,3,9,2e20,late,light,orx-16,1205463
30,3,10,2e20,late,light,orx-fixed-16,1120052
31,4,1,2e20,early,heavy,seq,1255
32,4,2,2e20,early,heavy,rayon-1,73703
33,4,3,2e20,early,heavy,orx-1,11212
34,4,4,2e20,early,heavy,orx-fixed-1,20008
35,4,5,2e20,early,heavy,rayon-4,295181
36,4,6,2e20,early,heavy,orx-4,173869
37,4,7,2e20,early,heavy,orx-fixed-4,179248
38,4,8,2e20,early,heavy,rayon-16,1753781
39,4,9,2e20,early,heavy,orx-16,608994
40,4,10,2e20,early,heavy,orx-fixed-16,550022
41,5,1,2e20,mid,heavy,seq,2582872
42,5,2,2e20,mid,heavy,rayon-1,3605848
43,5,3,2e20,mid,heavy,orx-1,2718564
44,5,4,2e20,mid,heavy,orx-fixed-1,2579463
45,5,5,2e20,mid,heavy,rayon-4,1460930
46,5,6,2e20,mid,heavy,orx-4,1050014
47,5,7,2e20,mid,heavy,orx-fixed-4,1025459
48,5,8,2e20,mid,heavy,rayon-16,4982133
49,5,9,2e20,mid,heavy,orx-16,1531488
50,5,10,2e20,mid,heavy,orx-fixed-16,1545114
51,6,1,2e20,late,heavy,seq,5416307
52,6,2,2e20,late,heavy,rayon-1,7174903
53,6,3,2e20,late,heavy,orx-1,5074683
54,6,4,2e20,late,heavy,orx-fixed-1,5037699
55,6,5,2e20,late,heavy,rayon-4,2516139
56,6,6,2e20,late,heavy,orx-4,1895506
57,6,7,2e20,late,heavy,orx-fixed-4,1894060
58,6,8,2e20,late,heavy,rayon-16,3866284
59,6,9,2e20,late,heavy,orx-16,1916529
60,6,10,2e20,late,heavy,orx-fixed-16,1887167
