t,i,a,n,pos,task,method,time (ns)
1,1,1,2e20,early,light,seq,103
2,1,2,2e20,early,light,rayon-1,73510
3,1,3,2e20,early,light,orx-1,9597
4,1,4,2e20,early,light,orx-fixed-1,18686
5,1,5,2e20,early,light,rayon-4,296097
6,1,6,2e20,early,light,orx-4,166625
7,1,7,2e20,early,light,orx-fixed-4,168309
8,1,8,2e20,early,light,rayon-16,1653310
9,1,9,2e20,early,light,orx-16,586825
10,1,10,2e20,early,light,orx-fixed-16,539828
11,2,1,2e20,mid,light,seq,172107
12,2,2,2e20,mid,light,rayon-1,350984
13,2,3,2e20,mid,light,orx-1,199293
14,2,4,2e20,mid,light,orx-fixed-1,197344
15,2,5,2e20,mid,light,rayon-4,426095
16,2,6,2e20,mid,light,orx-4,282980
17,2,7,2e20,mid,light,orx-fixed-4,262985
18,2,8,2e20,mid,light,rayon-16,6324363
19,2,9,2e20,mid,light,orx-16,1090554
20,2,10,2e20,mid,light,orx-fixed-16,1042097
21,3,1,2e20,late,light,seq,377921
22,3,2,2e20,late,light,rayon-1,634721
23,3,3,2e20,late,light,orx-1,397160
24,3,4,2e20,late,light,orx-fixed-1,393885
25,3,5,2e20,late,light,rayon-4,546220
26,3,6,2e20,late,light,orx-4,393389
27,3,7,2e20,late,light,orx-fixed-4,329472
28,3,8,2e20,late,light,rayon-16,6892164
29,3,9,2e20,late,light,orx-16,1232540
30,3,10,2e20,late,light,orx-fixed-16,1159073
31,4,1,2e20,early,heavy,seq,6474
32,4,2,2e20,early,heavy,rayon-1,82366
33,4,3,2e20,early,heavy,orx-1,15759
34,4,4,2e20,early,heavy,orx-fixed-1,25131
35,4,5,2e20,early,heavy,rayon-4,300572
36,4,6,2e20,early,heavy,orx-4,208762
37,4,7,2e20,early,heavy,orx-fixed-4,204355
38,4,8,2e20,early,heavy,rayon-16,1875388
39,4,9,2e20,early,heavy,orx-16,697077
40,4,10,2e20,early,heavy,orx-fixed-16,612298
41,5,1,2e20,mid,heavy,seq,18760496
42,5,2,2e20,mid,heavy,rayon-1,20101265
43,5,3,2e20,mid,heavy,orx-1,17876014
44,5,4,2e20,mid,heavy,orx-fixed-1,18890193
45,5,5,2e20,mid,heavy,rayon-4,6319493
46,5,6,2e20,mid,heavy,orx-4,5889190
47,5,7,2e20,mid,heavy,orx-fixed-4,5869807
48,5,8,2e20,mid,heavy,rayon-16,5458048
49,5,9,2e20,mid,heavy,orx-16,3405397
50,5,10,2e20,mid,heavy,orx-fixed-16,3579286
51,6,1,2e20,late,heavy,seq,37423081
52,6,2,2e20,late,heavy,rayon-1,40669115
53,6,3,2e20,late,heavy,orx-1,36215359
54,6,4,2e20,late,heavy,orx-fixed-1,39210403
55,6,5,2e20,late,heavy,rayon-4,11785293
56,6,6,2e20,late,heavy,orx-4,11658320
57,6,7,2e20,late,heavy,orx-fixed-4,11344388
58,6,8,2e20,late,heavy,rayon-16,8434495
59,6,9,2e20,late,heavy,orx-16,5728610
60,6,10,2e20,late,heavy,orx-fixed-16,5514875
