t,i,a,n,pos,task,method,time (ns)
1,1,1,2e20,beg,light,seq,26688
2,1,2,2e20,beg,light,rayon-1,110404
3,1,3,2e20,beg,light,orx-1,35819
4,1,4,2e20,beg,light,orx-fixed-1,50349
5,1,5,2e20,beg,light,rayon-4,338830
6,1,6,2e20,beg,light,orx-4,191625
7,1,7,2e20,beg,light,orx-fixed-4,184966
8,1,8,2e20,beg,light,rayon-16,3679446
9,1,9,2e20,beg,light,orx-16,689092
10,1,10,2e20,beg,light,orx-fixed-16,615780
11,2,1,2e20,mid,light,seq,277677
12,2,2,2e20,mid,light,rayon-1,464330
13,2,3,2e20,mid,light,orx-1,285079
14,2,4,2e20,mid,light,orx-fixed-1,287491
15,2,5,2e20,mid,light,rayon-4,473037
16,2,6,2e20,mid,light,orx-4,348424
17,2,7,2e20,mid,light,orx-fixed-4,315358
18,2,8,2e20,mid,light,rayon-16,6102677
19,2,9,2e20,mid,light,orx-16,1152763
20,2,10,2e20,mid,light,orx-fixed-16,1122000
21,3,1,2e20,end,light,seq,547429
22,3,2,2e20,end,light,rayon-1,820496
23,3,3,2e20,end,light,orx-1,550445
24,3,4,2e20,end,light,orx-fixed-1,556214
25,3,5,2e20,end,light,rayon-4,603167
26,3,6,2e20,end,light,orx-4,525400
27,3,7,2e20,end,light,orx-fixed-4,470127
28,3,8,2e20,end,light,rayon-16,6776060
29,3,9,2e20,end,light,orx-16,1332353
30,3,10,2e20,end,light,orx-fixed-16,1228384
31,4,1,2e20,beg,heavy,seq,1225509
32,4,2,2e20,beg,heavy,rayon-1,1412107
33,4,3,2e20,beg,heavy,orx-1,1217262
34,4,4,2e20,beg,heavy,orx-fixed-1,1201286
35,4,5,2e20,beg,heavy,rayon-4,1961723
36,4,6,2e20,beg,heavy,orx-4,610146
37,4,7,2e20,beg,heavy,orx-fixed-4,601742
38,4,8,2e20,beg,heavy,rayon-16,3398965
39,4,9,2e20,beg,heavy,orx-16,1390035
40,4,10,2e20,beg,heavy,orx-fixed-16,1402198
41,5,1,2e20,mid,heavy,seq,12952660
42,5,2,2e20,mid,heavy,rayon-1,12990044
43,5,3,2e20,mid,heavy,orx-1,12307006
44,5,4,2e20,mid,heavy,orx-fixed-1,12119458
45,5,5,2e20,mid,heavy,rayon-4,4243305
46,5,6,2e20,mid,heavy,orx-4,3945364
47,5,7,2e20,mid,heavy,orx-fixed-4,3882622
48,5,8,2e20,mid,heavy,rayon-16,5215475
49,5,9,2e20,mid,heavy,orx-16,2710837
50,5,10,2e20,mid,heavy,orx-fixed-16,2703647
51,6,1,2e20,end,heavy,seq,26259333
52,6,2,2e20,end,heavy,rayon-1,24793947
53,6,3,2e20,end,heavy,orx-1,23342245
54,6,4,2e20,end,heavy,orx-fixed-1,22373824
55,6,5,2e20,end,heavy,rayon-4,7539557
56,6,6,2e20,end,heavy,orx-4,7082957
57,6,7,2e20,end,heavy,orx-fixed-4,6945058
58,6,8,2e20,end,heavy,rayon-16,6321342
59,6,9,2e20,end,heavy,orx-16,3982482
60,6,10,2e20,end,heavy,orx-fixed-16,4063462
