t,i,a,n,pos,task,method,time (ns)
1,1,1,2e20,beg,light,seq,27827
2,1,2,2e20,beg,light,rayon-1,608990
3,1,3,2e20,beg,light,orx-1,36340
4,1,4,2e20,beg,light,orx-fixed-1,45410
5,1,5,2e20,beg,light,rayon-4,910429
6,1,6,2e20,beg,light,orx-4,182613
7,1,7,2e20,beg,light,orx-fixed-4,184132
8,1,8,2e20,beg,light,rayon-16,3233917
9,1,9,2e20,beg,light,orx-16,670965
10,1,10,2e20,beg,light,orx-fixed-16,620019
11,2,1,2e20,mid,light,seq,284420
12,2,2,2e20,mid,light,rayon-1,5031721
13,2,3,2e20,mid,light,orx-1,280077
14,2,4,2e20,mid,light,orx-fixed-1,279098
15,2,5,2e20,mid,light,rayon-4,1801627
16,2,6,2e20,mid,light,orx-4,290260
17,2,7,2e20,mid,light,orx-fixed-4,280216
18,2,8,2e20,mid,light,rayon-16,3268327
19,2,9,2e20,mid,light,orx-16,1133584
20,2,10,2e20,mid,light,orx-fixed-16,1116126
21,3,1,2e20,end,light,seq,570059
22,3,2,2e20,end,light,rayon-1,10124112
23,3,3,2e20,end,light,orx-1,551268
24,3,4,2e20,end,light,orx-fixed-1,548319
25,3,5,2e20,end,light,rayon-4,3149955
26,3,6,2e20,end,light,orx-4,472339
27,3,7,2e20,end,light,orx-fixed-4,396242
28,3,8,2e20,end,light,rayon-16,3628180
29,3,9,2e20,end,light,orx-16,1660199
30,3,10,2e20,end,light,orx-fixed-16,1194237
31,4,1,2e20,beg,heavy,seq,1317094
32,4,2,2e20,beg,heavy,rayon-1,1360934
33,4,3,2e20,beg,heavy,orx-1,1186089
34,4,4,2e20,beg,heavy,orx-fixed-1,1171327
35,4,5,2e20,beg,heavy,rayon-4,1910064
36,4,6,2e20,beg,heavy,orx-4,569070
37,4,7,2e20,beg,heavy,orx-fixed-4,551442
38,4,8,2e20,beg,heavy,rayon-16,3288512
39,4,9,2e20,beg,heavy,orx-16,1343326
40,4,10,2e20,beg,heavy,orx-fixed-16,1329909
41,5,1,2e20,mid,heavy,seq,13349344
42,5,2,2e20,mid,heavy,rayon-1,12765522
43,5,3,2e20,mid,heavy,orx-1,12008683
44,5,4,2e20,mid,heavy,orx-fixed-1,11749316
45,5,5,2e20,mid,heavy,rayon-4,4133789
46,5,6,2e20,mid,heavy,orx-4,4030038
47,5,7,2e20,mid,heavy,orx-fixed-4,4055666
48,5,8,2e20,mid,heavy,rayon-16,4903072
49,5,9,2e20,mid,heavy,orx-16,2644913
50,5,10,2e20,mid,heavy,orx-fixed-16,2672680
51,6,1,2e20,end,heavy,seq,25535310
52,6,2,2e20,end,heavy,rayon-1,24063496
53,6,3,2e20,end,heavy,orx-1,22339697
54,6,4,2e20,end,heavy,orx-fixed-1,21976607
55,6,5,2e20,end,heavy,rayon-4,7475580
56,6,6,2e20,end,heavy,orx-4,6935674
57,6,7,2e20,end,heavy,orx-fixed-4,6883948
58,6,8,2e20,end,heavy,rayon-16,6161614
59,6,9,2e20,end,heavy,orx-16,3934512
60,6,10,2e20,end,heavy,orx-fixed-16,3972466
