t,i,a,n,method,time (ns)
1,1,1,2e10,seq,2
2,1,2,2e10,rayon-1,71477
3,1,3,2e10,orx-1,9442
4,1,4,2e10,orx-fixed-1,18524
5,1,5,2e10,rayon-4,287208
6,1,6,2e10,orx-4,159761
7,1,7,2e10,orx-fixed-4,161884
8,1,8,2e10,rayon-16,1619265
9,1,9,2e10,orx-16,564085
10,1,10,2e10,orx-fixed-16,549796
11,2,1,2e15,seq,2
12,2,2,2e15,rayon-1,72760
13,2,3,2e15,orx-1,9389
14,2,4,2e15,orx-fixed-1,18425
15,2,5,2e15,rayon-4,281177
16,2,6,2e15,orx-4,155318
17,2,7,2e15,orx-fixed-4,165535
18,2,8,2e15,rayon-16,1585618
19,2,9,2e15,orx-16,532545
20,2,10,2e15,orx-fixed-16,540979
21,3,1,2e20,seq,2
22,3,2,2e20,rayon-1,70703
23,3,3,2e20,orx-1,9382
24,3,4,2e20,orx-fixed-1,18014
25,3,5,2e20,rayon-4,277076
26,3,6,2e20,orx-4,156469
27,3,7,2e20,orx-fixed-4,163087
28,3,8,2e20,rayon-16,1646747
29,3,9,2e20,orx-16,549102
30,3,10,2e20,orx-fixed-16,533284
