t,i,a,n,pos,task,method,time (ns)
1,1,1,2e20,beg,light,seq,30928
2,1,2,2e20,beg,light,rayon-1,5404086
3,1,3,2e20,beg,light,orx-1,42857
4,1,4,2e20,beg,light,orx-fixed-1,66148
5,1,5,2e20,beg,light,rayon-4,6577516
6,1,6,2e20,beg,light,orx-4,312767
7,1,7,2e20,beg,light,orx-fixed-4,320084
8,1,8,2e20,beg,light,rayon-16,6089679
9,1,9,2e20,beg,light,orx-16,1077324
10,1,10,2e20,beg,light,orx-fixed-16,1052667
11,2,1,2e20,mid,light,seq,296579
12,2,2,2e20,mid,light,rayon-1,52573380
13,2,3,2e20,mid,light,orx-1,343546
14,2,4,2e20,mid,light,orx-fixed-1,359004
15,2,5,2e20,mid,light,rayon-4,15990269
16,2,6,2e20,mid,light,orx-4,1388880
17,2,7,2e20,mid,light,orx-fixed-4,1352239
18,2,8,2e20,mid,light,rayon-16,8274206
19,2,9,2e20,mid,light,orx-16,1750273
20,2,10,2e20,mid,light,orx-fixed-16,1710307
21,3,1,2e20,end,light,seq,591322
22,3,2,2e20,end,light,rayon-1,98214478
23,3,3,2e20,end,light,orx-1,643569
24,3,4,2e20,end,light,orx-fixed-1,667150
25,3,5,2e20,end,light,rayon-4,31040973
26,3,6,2e20,end,light,orx-4,2472107
27,3,7,2e20,end,light,orx-fixed-4,2384700
28,3,8,2e20,end,light,rayon-16,13365354
29,3,9,2e20,end,light,orx-16,2418784
30,3,10,2e20,end,light,orx-fixed-16,2258845
31,4,1,2e20,beg,heavy,seq,8339662
32,4,2,2e20,beg,heavy,rayon-1,13273739
33,4,3,2e20,beg,heavy,orx-1,7749437
34,4,4,2e20,beg,heavy,orx-fixed-1,7092893
35,4,5,2e20,beg,heavy,rayon-4,14150891
36,4,6,2e20,beg,heavy,orx-4,2557580
37,4,7,2e20,beg,heavy,orx-fixed-4,2525474
38,4,8,2e20,beg,heavy,rayon-16,11554946
39,4,9,2e20,beg,heavy,orx-16,2059709
40,4,10,2e20,beg,heavy,orx-fixed-16,2069569
41,5,1,2e20,mid,heavy,seq,66357995
42,5,2,2e20,mid,heavy,rayon-1,102641216
43,5,3,2e20,mid,heavy,orx-1,68963680
44,5,4,2e20,mid,heavy,orx-fixed-1,62682478
45,5,5,2e20,mid,heavy,rayon-4,30174693
46,5,6,2e20,mid,heavy,orx-4,20191708
47,5,7,2e20,mid,heavy,orx-fixed-4,20247530
48,5,8,2e20,mid,heavy,rayon-16,18381631
49,5,9,2e20,mid,heavy,orx-16,10043241
50,5,10,2e20,mid,heavy,orx-fixed-16,9951127
51,6,1,2e20,end,heavy,seq,121582627
52,6,2,2e20,end,heavy,rayon-1,188864109
53,6,3,2e20,end,heavy,orx-1,127444186
54,6,4,2e20,end,heavy,orx-fixed-1,117903067
55,6,5,2e20,end,heavy,rayon-4,57518629
56,6,6,2e20,end,heavy,orx-4,36920035
57,6,7,2e20,end,heavy,orx-fixed-4,38156881
58,6,8,2e20,end,heavy,rayon-16,33706090
59,6,9,2e20,end,heavy,orx-16,20173205
60,6,10,2e20,end,heavy,orx-fixed-16,19343872
