t,i,a,n,pos,task,method,time (ns)
1,1,1,2e20,beg,light,seq,25778
2,1,2,2e20,beg,light,rayon-1,104945
3,1,3,2e20,beg,light,orx-1,34852
4,1,4,2e20,beg,light,orx-fixed-1,49404
5,1,5,2e20,beg,light,rayon-4,324206
6,1,6,2e20,beg,light,orx-4,177357
7,1,7,2e20,beg,light,orx-fixed-4,175789
8,1,8,2e20,beg,light,rayon-16,3501822
9,1,9,2e20,beg,light,orx-16,681354
10,1,10,2e20,beg,light,orx-fixed-16,620492
11,2,1,2e20,mid,light,seq,269124
12,2,2,2e20,mid,light,rayon-1,460409
13,2,3,2e20,mid,light,orx-1,272838
14,2,4,2e20,mid,light,orx-fixed-1,281811
15,2,5,2e20,mid,light,rayon-4,454959
16,2,6,2e20,mid,light,orx-4,350991
17,2,7,2e20,mid,light,orx-fixed-4,348891
18,2,8,2e20,mid,light,rayon-16,5984278
19,2,9,2e20,mid,light,orx-16,1181188
20,2,10,2e20,mid,light,orx-fixed-16,1102219
21,3,1,2e20,end,light,seq,542187
22,3,2,2e20,end,light,rayon-1,833608
23,3,3,2e20,end,light,orx-1,530833
24,3,4,2e20,end,light,orx-fixed-1,542107
25,3,5,2e20,end,light,rayon-4,591617
26,3,6,2e20,end,light,orx-4,491305
27,3,7,2e20,end,light,orx-fixed-4,413599
28,3,8,2e20,end,light,rayon-16,6597838
29,3,9,2e20,end,light,orx-16,1336676
30,3,10,2e20,end,light,orx-fixed-16,1174690
31,4,1,2e20,beg,heavy,seq,1193489
32,4,2,2e20,beg,heavy,rayon-1,1353193
33,4,3,2e20,beg,heavy,orx-1,1197790
34,4,4,2e20,beg,heavy,orx-fixed-1,1161543
35,4,5,2e20,beg,heavy,rayon-4,1850462
36,4,6,2e20,beg,heavy,orx-4,584204
37,4,7,2e20,beg,heavy,orx-fixed-4,581426
38,4,8,2e20,beg,heavy,rayon-16,3264807
39,4,9,2e20,beg,heavy,orx-16,1317080
40,4,10,2e20,beg,heavy,orx-fixed-16,1313266
41,5,1,2e20,mid,heavy,seq,12908566
42,5,2,2e20,mid,heavy,rayon-1,12898089
43,5,3,2e20,mid,heavy,orx-1,12150054
44,5,4,2e20,mid,heavy,orx-fixed-1,12384428
45,5,5,2e20,mid,heavy,rayon-4,4101682
46,5,6,2e20,mid,heavy,orx-4,3881137
47,5,7,2e20,mid,heavy,orx-fixed-4,3840782
48,5,8,2e20,mid,heavy,rayon-16,4851277
49,5,9,2e20,mid,heavy,orx-16,2677983
50,5,10,2e20,mid,heavy,orx-fixed-16,2664085
51,6,1,2e20,end,heavy,seq,23807756
52,6,2,2e20,end,heavy,rayon-1,23961024
53,6,3,2e20,end,heavy,orx-1,22362414
54,6,4,2e20,end,heavy,orx-fixed-1,21747757
55,6,5,2e20,end,heavy,rayon-4,7411051
56,6,6,2e20,end,heavy,orx-4,6981439
57,6,7,2e20,end,heavy,orx-fixed-4,6884750
58,6,8,2e20,end,heavy,rayon-16,6211769
59,6,9,2e20,end,heavy,orx-16,3919510
60,6,10,2e20,end,heavy,orx-fixed-16,3927822
