t,i,a,n,pos,task,method,time (ns)
1,1,1,2e20,beg,light,seq,28604
2,1,2,2e20,beg,light,rayon-1,614874
3,1,3,2e20,beg,light,orx-1,43813
4,1,4,2e20,beg,light,orx-fixed-1,44300
5,1,5,2e20,beg,light,rayon-4,915239
6,1,6,2e20,beg,light,orx-4,182080
7,1,7,2e20,beg,light,orx-fixed-4,176994
8,1,8,2e20,beg,light,rayon-16,3168810
9,1,9,2e20,beg,light,orx-16,678178
10,1,10,2e20,beg,light,orx-fixed-16,643733
11,2,1,2e20,mid,light,seq,297764
12,2,2,2e20,mid,light,rayon-1,5113700
13,2,3,2e20,mid,light,orx-1,278904
14,2,4,2e20,mid,light,orx-fixed-1,283363
15,2,5,2e20,mid,light,rayon-4,1832162
16,2,6,2e20,mid,light,orx-4,282689
17,2,7,2e20,mid,light,orx-fixed-4,267919
18,2,8,2e20,mid,light,rayon-16,3273962
19,2,9,2e20,mid,light,orx-16,1099289
20,2,10,2e20,mid,light,orx-fixed-16,1082924
21,3,1,2e20,end,light,seq,556243
22,3,2,2e20,end,light,rayon-1,9604800
23,3,3,2e20,end,light,orx-1,546244
24,3,4,2e20,end,light,orx-fixed-1,533764
25,3,5,2e20,end,light,rayon-4,3232858
26,3,6,2e20,end,light,orx-4,458899
27,3,7,2e20,end,light,orx-fixed-4,412971
28,3,8,2e20,end,light,rayon-16,3650984
29,3,9,2e20,end,light,orx-16,1391563
30,3,10,2e20,end,light,orx-fixed-16,1205896
31,4,1,2e20,beg,heavy,seq,1217027
32,4,2,2e20,beg,heavy,rayon-1,1374221
33,4,3,2e20,beg,heavy,orx-1,1301957
34,4,4,2e20,beg,heavy,orx-fixed-1,1293714
35,4,5,2e20,beg,heavy,rayon-4,1940961
36,4,6,2e20,beg,heavy,orx-4,604720
37,4,7,2e20,beg,heavy,orx-fixed-4,604345
38,4,8,2e20,beg,heavy,rayon-16,3388089
39,4,9,2e20,beg,heavy,orx-16,1352923
40,4,10,2e20,beg,heavy,orx-fixed-16,1343112
41,5,1,2e20,mid,heavy,seq,12492315
42,5,2,2e20,mid,heavy,rayon-1,12637992
43,5,3,2e20,mid,heavy,orx-1,12329928
44,5,4,2e20,mid,heavy,orx-fixed-1,12073893
45,5,5,2e20,mid,heavy,rayon-4,4064471
46,5,6,2e20,mid,heavy,orx-4,3866756
47,5,7,2e20,mid,heavy,orx-fixed-4,3802238
48,5,8,2e20,mid,heavy,rayon-16,4682637
49,5,9,2e20,mid,heavy,orx-16,2647535
50,5,10,2e20,mid,heavy,orx-fixed-16,2664117
51,6,1,2e20,end,heavy,seq,23873367
52,6,2,2e20,end,heavy,rayon-1,23881107
53,6,3,2e20,end,heavy,orx-1,23095122
54,6,4,2e20,end,heavy,orx-fixed-1,23216799
55,6,5,2e20,end,heavy,rayon-4,7305365
56,6,6,2e20,end,heavy,orx-4,6975100
57,6,7,2e20,end,heavy,orx-fixed-4,6933489
58,6,8,2e20,end,heavy,rayon-16,5910293
59,6,9,2e20,end,heavy,orx-16,4001599
60,6,10,2e20,end,heavy,orx-fixed-16,3992226
