t,i,a,n,pos,task,method,time (ns)
1,1,1,2e20,beg,light,seq,39522
2,1,2,2e20,beg,light,rayon-1,606029
3,1,3,2e20,beg,light,orx-1,46006
4,1,4,2e20,beg,light,orx-fixed-1,55584
5,1,5,2e20,beg,light,rayon-4,906485
6,1,6,2e20,beg,light,orx-4,220460
7,1,7,2e20,beg,light,orx-fixed-4,210822
8,1,8,2e20,beg,light,rayon-16,3275842
9,1,9,2e20,beg,light,orx-16,878404
10,1,10,2e20,beg,light,orx-fixed-16,756560
11,2,1,2e20,mid,light,seq,434260
12,2,2,2e20,mid,light,rayon-1,5204362
13,2,3,2e20,mid,light,orx-1,421133
14,2,4,2e20,mid,light,orx-fixed-1,392341
15,2,5,2e20,mid,light,rayon-4,1869900
16,2,6,2e20,mid,light,orx-4,393678
17,2,7,2e20,mid,light,orx-fixed-4,307645
18,2,8,2e20,mid,light,rayon-16,3364104
19,2,9,2e20,mid,light,orx-16,1155532
20,2,10,2e20,mid,light,orx-fixed-16,1154403
21,3,1,2e20,end,light,seq,744024
22,3,2,2e20,end,light,rayon-1,9751194
23,3,3,2e20,end,light,orx-1,802879
24,3,4,2e20,end,light,orx-fixed-1,732013
25,3,5,2e20,end,light,rayon-4,3205100
26,3,6,2e20,end,light,orx-4,496367
27,3,7,2e20,end,light,orx-fixed-4,459560
28,3,8,2e20,end,light,rayon-16,3668182
29,3,9,2e20,end,light,orx-16,1338978
30,3,10,2e20,end,light,orx-fixed-16,1263949
31,4,1,2e20,beg,heavy,seq,4010092
32,4,2,2e20,beg,heavy,rayon-1,4017559
33,4,3,2e20,beg,heavy,orx-1,3824388
34,4,4,2e20,beg,heavy,orx-fixed-1,3878155
35,4,5,2e20,beg,heavy,rayon-4,5137051
36,4,6,2e20,beg,heavy,orx-4,1441557
37,4,7,2e20,beg,heavy,orx-fixed-4,1468805
38,4,8,2e20,beg,heavy,rayon-16,5183727
39,4,9,2e20,beg,heavy,orx-16,1661261
40,4,10,2e20,beg,heavy,orx-fixed-16,1707404
41,5,1,2e20,mid,heavy,seq,39324843
42,5,2,2e20,mid,heavy,rayon-1,38665571
43,5,3,2e20,mid,heavy,orx-1,37920361
44,5,4,2e20,mid,heavy,orx-fixed-1,38064993
45,5,5,2e20,mid,heavy,rayon-4,11823764
46,5,6,2e20,mid,heavy,orx-4,11762050
47,5,7,2e20,mid,heavy,orx-fixed-4,11431950
48,5,8,2e20,mid,heavy,rayon-16,8170592
49,5,9,2e20,mid,heavy,orx-16,5603386
50,5,10,2e20,mid,heavy,orx-fixed-16,5430397
51,6,1,2e20,end,heavy,seq,73439092
52,6,2,2e20,end,heavy,rayon-1,72825252
53,6,3,2e20,end,heavy,orx-1,70753397
54,6,4,2e20,end,heavy,orx-fixed-1,72522696
55,6,5,2e20,end,heavy,rayon-4,22558965
56,6,6,2e20,end,heavy,orx-4,22132116
57,6,7,2e20,end,heavy,orx-fixed-4,22279199
58,6,8,2e20,end,heavy,rayon-16,14089082
59,6,9,2e20,end,heavy,orx-16,11029010
60,6,10,2e20,end,heavy,orx-fixed-16,10921365
