t,i,a,n,heavy,het,method,time (ns)
1,1,1,4096,false,2%,seq,578699
2,1,2,4096,false,2%,rayon-1,674543
3,1,3,4096,false,2%,orx-1-0,589257
4,1,4,4096,false,2%,orx-1-1,588930
5,1,5,4096,false,2%,orx-fixed-auto-1-0,591472
6,1,6,4096,false,2%,orx-fixed-auto-1-1,599001
7,1,7,4096,false,2%,rayon-4,545707
8,1,8,4096,false,2%,orx-4-0,408390
9,1,9,4096,false,2%,orx-4-1,656761
10,1,10,4096,false,2%,orx-fixed-auto-4-0,428042
11,1,11,4096,false,2%,orx-fixed-auto-4-1,501279
12,1,12,4096,false,2%,rayon-16,4544663
13,1,13,4096,false,2%,orx-16-0,1176132
14,1,14,4096,false,2%,orx-16-1,1381319
15,1,15,4096,false,2%,orx-fixed-auto-16-0,1142481
16,1,16,4096,false,2%,orx-fixed-auto-16-1,1311517
17,2,1,4096,false,5%,seq,1204941
18,2,2,4096,false,5%,rayon-1,1292389
19,2,3,4096,false,5%,orx-1-0,1158222
20,2,4,4096,false,5%,orx-1-1,1146022
21,2,5,4096,false,5%,orx-fixed-auto-1-0,1162404
22,2,6,4096,false,5%,orx-fixed-auto-1-1,1179556
23,2,7,4096,false,5%,rayon-4,719309
24,2,8,4096,false,5%,orx-4-0,571270
25,2,9,4096,false,5%,orx-4-1,728737
26,2,10,4096,false,5%,orx-fixed-auto-4-0,617425
27,2,11,4096,false,5%,orx-fixed-auto-4-1,710854
28,2,12,4096,false,5%,rayon-16,4417551
29,2,13,4096,false,5%,orx-16-0,1310386
30,2,14,4096,false,5%,orx-16-1,1448125
31,2,15,4096,false,5%,orx-fixed-auto-16-0,1321713
32,2,16,4096,false,5%,orx-fixed-auto-16-1,1354293
33,3,1,4096,false,10%,seq,2293673
34,3,2,4096,false,10%,rayon-1,2184996
35,3,3,4096,false,10%,orx-1-0,2018866
36,3,4,4096,false,10%,orx-1-1,2005955
37,3,5,4096,false,10%,orx-fixed-auto-1-0,2017885
38,3,6,4096,false,10%,orx-fixed-auto-1-1,1995727
39,3,7,4096,false,10%,rayon-4,967683
40,3,8,4096,false,10%,orx-4-0,828812
41,3,9,4096,false,10%,orx-4-1,972981
42,3,10,4096,false,10%,orx-fixed-auto-4-0,888017
43,3,11,4096,false,10%,orx-fixed-auto-4-1,946081
44,3,12,4096,false,10%,rayon-16,4392551
45,3,13,4096,false,10%,orx-16-0,1428483
46,3,14,4096,false,10%,orx-16-1,1564570
47,3,15,4096,false,10%,orx-fixed-auto-16-0,1426252
48,3,16,4096,false,10%,orx-fixed-auto-16-1,1497838
49,4,1,4096,true,2%,seq,7331105
50,4,2,4096,true,2%,rayon-1,7215392
51,4,3,4096,true,2%,orx-1-0,7014020
52,4,4,4096,true,2%,orx-1-1,6933327
53,4,5,4096,true,2%,orx-fixed-auto-1-0,6999922
54,4,6,4096,true,2%,orx-fixed-auto-1-1,6952480
55,4,7,4096,true,2%,rayon-4,2629518
56,4,8,4096,true,2%,orx-4-0,2366299
57,4,9,4096,true,2%,orx-4-1,2461569
58,4,10,4096,true,2%,orx-fixed-auto-4-0,2601389
59,4,11,4096,true,2%,orx-fixed-auto-4-1,2427120
60,4,12,4096,true,2%,rayon-16,4249763
61,4,13,4096,true,2%,orx-16-0,1973373
62,4,14,4096,true,2%,orx-16-1,2017321
63,4,15,4096,true,2%,orx-fixed-auto-16-0,1904681
64,4,16,4096,true,2%,orx-fixed-auto-16-1,2048703
65,5,1,4096,true,5%,seq,13257760
66,5,2,4096,true,5%,rayon-1,12843091
67,5,3,4096,true,5%,orx-1-0,12504222
68,5,4,4096,true,5%,orx-1-1,12516467
69,5,5,4096,true,5%,orx-fixed-auto-1-0,12488392
70,5,6,4096,true,5%,orx-fixed-auto-1-1,12360857
71,5,7,4096,true,5%,rayon-4,4068647
72,5,8,4096,true,5%,orx-4-0,4020921
73,5,9,4096,true,5%,orx-4-1,4032111
74,5,10,4096,true,5%,orx-fixed-auto-4-0,4273791
75,5,11,4096,true,5%,orx-fixed-auto-4-1,3995749
76,5,12,4096,true,5%,rayon-16,4356406
77,5,13,4096,true,5%,orx-16-0,2539047
78,5,14,4096,true,5%,orx-16-1,2626230
79,5,15,4096,true,5%,orx-fixed-auto-16-0,2450847
80,5,16,4096,true,5%,orx-fixed-auto-16-1,2939823
81,6,1,4096,true,10%,seq,23626059
82,6,2,4096,true,10%,rayon-1,22991355
83,6,3,4096,true,10%,orx-1-0,21029400
84,6,4,4096,true,10%,orx-1-1,20315846
85,6,5,4096,true,10%,orx-fixed-auto-1-0,20824378
