t,i,a,n,het-lvl,method,time (ns)
1,1,1,2e10,0.001,seq,5043281
2,1,2,2e10,0.001,rayon-1,5237578
3,1,3,2e10,0.001,orx-1,5430984
4,1,4,2e10,0.001,orx-fix-1,5470423
5,1,5,2e10,0.001,rayon-4,2103078
6,1,6,2e10,0.001,orx-4,2072154
7,1,7,2e10,0.001,orx-fix-4,2311393
8,1,8,2e10,0.001,rayon-16,3475887
9,1,9,2e10,0.001,orx-16,1920971
10,1,10,2e10,0.001,orx-fix-16,2218209
11,2,1,2e10,0.011,seq,7133098
12,2,2,2e10,0.011,rayon-1,7751541
13,2,3,2e10,0.011,orx-1,8434633
14,2,4,2e10,0.011,orx-fix-1,7621382
15,2,5,2e10,0.011,rayon-4,2793082
16,2,6,2e10,0.011,orx-4,2852117
17,2,7,2e10,0.011,orx-fix-4,3354533
18,2,8,2e10,0.011,rayon-16,3928915
19,2,9,2e10,0.011,orx-16,2362656
20,2,10,2e10,0.011,orx-fix-16,4021206
21,3,1,2e10,0.101,seq,8494630
22,3,2,2e10,0.101,rayon-1,8632819
23,3,3,2e10,0.101,orx-1,7476028
24,3,4,2e10,0.101,orx-fix-1,7015333
25,3,5,2e10,0.101,rayon-4,3298045
26,3,6,2e10,0.101,orx-4,3040717
27,3,7,2e10,0.101,orx-fix-4,3179016
28,3,8,2e10,0.101,rayon-16,4135926
29,3,9,2e10,0.101,orx-16,2433215
30,3,10,2e10,0.101,orx-fix-16,2507584
31,4,1,2e10,0.201,seq,11051754
32,4,2,2e10,0.201,rayon-1,9549775
33,4,3,2e10,0.201,orx-1,8019038
34,4,4,2e10,0.201,orx-fix-1,8454907
35,4,5,2e10,0.201,rayon-4,3556252
36,4,6,2e10,0.201,orx-4,3214761
37,4,7,2e10,0.201,orx-fix-4,3594578
38,4,8,2e10,0.201,rayon-16,5714422
39,4,9,2e10,0.201,orx-16,2614925
40,4,10,2e10,0.201,orx-fix-16,3952428
41,5,1,2e12,0.001,seq,124647024
42,5,2,2e12,0.001,rayon-1,123921197
43,5,3,2e12,0.001,orx-1,115286856
44,5,4,2e12,0.001,orx-fix-1,118741541
45,5,5,2e12,0.001,rayon-4,34300989
46,5,6,2e12,0.001,orx-4,33570547
47,5,7,2e12,0.001,orx-fix-4,51477446
48,5,8,2e12,0.001,rayon-16,18648325
49,5,9,2e12,0.001,orx-16,15088004
50,5,10,2e12,0.001,orx-fix-16,17435096
51,6,1,2e12,0.011,seq,106317200
52,6,2,2e12,0.011,rayon-1,96135147
53,6,3,2e12,0.011,orx-1,92324145
54,6,4,2e12,0.011,orx-fix-1,91129117
55,6,5,2e12,0.011,rayon-4,28715937
56,6,6,2e12,0.011,orx-4,28596238
57,6,7,2e12,0.011,orx-fix-4,47122938
58,6,8,2e12,0.011,rayon-16,18473261
59,6,9,2e12,0.011,orx-16,14939212
60,6,10,2e12,0.011,orx-fix-16,17471533
61,7,1,2e12,0.101,seq,97588596
62,7,2,2e12,0.101,rayon-1,96280909
63,7,3,2e12,0.101,orx-1,93278386
64,7,4,2e12,0.101,orx-fix-1,91898600
65,7,5,2e12,0.101,rayon-4,28768844
66,7,6,2e12,0.101,orx-4,28780878
67,7,7,2e12,0.101,orx-fix-4,47226409
68,7,8,2e12,0.101,rayon-16,18194312
69,7,9,2e12,0.101,orx-16,14749514
70,7,10,2e12,0.101,orx-fix-16,17897372
71,8,1,2e12,0.201,seq,97085478
72,8,2,2e12,0.201,rayon-1,98917923
73,8,3,2e12,0.201,orx-1,92452111
74,8,4,2e12,0.201,orx-fix-1,92365745
75,8,5,2e12,0.201,rayon-4,28627860
76,8,6,2e12,0.201,orx-4,28569351
77,8,7,2e12,0.201,orx-fix-4,46189195
78,8,8,2e12,0.201,rayon-16,18032155
79,8,9,2e12,0.201,orx-16,13767790
80,8,10,2e12,0.201,orx-fix-16,16659401
81,9,1,2e14,0.001,seq,1395501766
82,9,2,2e14,0.001,rayon-1,1373707451
83,9,3,2e14,0.001,orx-1,1367838678
84,9,4,2e14,0.001,orx-fix-1,1383502781
85,9,5,2e14,0.001,rayon-4,448053103
86,9,6,2e14,0.001,orx-4,435383178
87,9,7,2e14,0.001,orx-fix-4,498959150
88,9,8,2e14,0.001,rayon-16,184391537
89,9,9,2e14,0.001,orx-16,188857098
90,9,10,2e14,0.001,orx-fix-16,282753970
91,10,1,2e14,0.011,seq,1414934105
92,10,2,2e14,0.011,rayon-1,1409872407
93,10,3,2e14,0.011,orx-1,1390675059
94,10,4,2e14,0.011,orx-fix-1,1406924821
95,10,5,2e14,0.011,rayon-4,430909486
96,10,6,2e14,0.011,orx-4,428939280
97,10,7,2e14,0.011,orx-fix-4,505657103
98,10,8,2e14,0.011,rayon-16,186249695
99,10,9,2e14,0.011,orx-16,191110962
100,10,10,2e14,0.011,orx-fix-16,275261410
101,11,1,2e14,0.101,seq,1445095143
102,11,2,2e14,0.101,rayon-1,1381138712
103,11,3,2e14,0.101,orx-1,1397479104
104,11,4,2e14,0.101,orx-fix-1,1373877569
105,11,5,2e14,0.101,rayon-4,435374552
106,11,6,2e14,0.101,orx-4,431688317
107,11,7,2e14,0.101,orx-fix-4,504236893
108,11,8,2e14,0.101,rayon-16,187536245
109,11,9,2e14,0.101,orx-16,185384864
110,11,10,2e14,0.101,orx-fix-16,279754927
111,12,1,2e14,0.201,seq,1399093899
112,12,2,2e14,0.201,rayon-1,1397273875
113,12,3,2e14,0.201,orx-1,1384952183
114,12,4,2e14,0.201,orx-fix-1,1412683708
115,12,5,2e14,0.201,rayon-4,432673206
116,12,6,2e14,0.201,orx-4,432411269
117,12,7,2e14,0.201,orx-fix-4,513445001
118,12,8,2e14,0.201,rayon-16,185132859
119,12,9,2e14,0.201,orx-16,191386751
120,12,10,2e14,0.201,orx-fix-16,281512088
