t,i,a,n,task,method,time (ns)
1,1,1,2e15,light,seq,21608
2,1,2,2e15,light,rayon-1,102788
3,1,3,2e15,light,rayon-red-with-1,111167
4,1,4,2e15,light,orx-1,29286
5,1,5,2e15,light,orx-fixed-1,40644
6,1,6,2e15,light,rayon-4,350467
7,1,7,2e15,light,rayon-red-with-4,352424
8,1,8,2e15,light,orx-4,197740
9,1,9,2e15,light,orx-fixed-4,214543
10,1,10,2e15,light,rayon-16,5292487
11,1,11,2e15,light,rayon-red-with-16,5581972
12,1,12,2e15,light,orx-16,777879
13,1,13,2e15,light,orx-fixed-16,697263
14,2,1,2e20,light,seq,1605849
15,2,2,2e20,light,rayon-1,1706537
16,2,3,2e20,light,rayon-red-with-1,1203579
17,2,4,2e20,light,orx-1,1541987
18,2,5,2e20,light,orx-fixed-1,1528568
19,2,6,2e20,light,rayon-4,857832
20,2,7,2e20,light,rayon-red-with-4,785062
21,2,8,2e20,light,orx-4,879854
22,2,9,2e20,light,orx-fixed-4,782476
23,2,10,2e20,light,rayon-16,6652309
24,2,11,2e20,light,rayon-red-with-16,6956061
25,2,12,2e20,light,orx-16,1653360
26,2,13,2e20,light,orx-fixed-16,1572774
27,3,1,2e15,heavy,seq,2115740
28,3,2,2e15,heavy,rayon-1,2165292
29,3,3,2e15,heavy,rayon-red-with-1,2141346
30,3,4,2e15,heavy,orx-1,1990443
31,3,5,2e15,heavy,orx-fixed-1,2037780
32,3,6,2e15,heavy,rayon-4,1057884
33,3,7,2e15,heavy,rayon-red-with-4,1135470
34,3,8,2e15,heavy,orx-4,936484
35,3,9,2e15,heavy,orx-fixed-4,897644
36,3,10,2e15,heavy,rayon-16,4866107
37,3,11,2e15,heavy,rayon-red-with-16,5292267
38,3,12,2e15,heavy,orx-16,1458008
39,3,13,2e15,heavy,orx-fixed-16,1470745
40,4,1,2e20,heavy,seq,66225136
41,4,2,2e20,heavy,rayon-1,64366448
42,4,3,2e20,heavy,rayon-red-with-1,62270850
43,4,4,2e20,heavy,orx-1,62698930
44,4,5,2e20,heavy,orx-fixed-1,61995377
45,4,6,2e20,heavy,rayon-4,18575695
46,4,7,2e20,heavy,rayon-red-with-4,18797675
47,4,8,2e20,heavy,orx-4,19062486
48,4,9,2e20,heavy,orx-fixed-4,18743844
49,4,10,2e20,heavy,rayon-16,11951108
50,4,11,2e20,heavy,rayon-red-with-16,11781238
51,4,12,2e20,heavy,orx-16,8951029
52,4,13,2e20,heavy,orx-fixed-16,8942570
