t,i,a,n,task,method,time (ns)
1,1,1,2e15,light,seq,5404
2,1,2,2e15,light,rayon-1,86166
3,1,3,2e15,light,rayon-red-with-1,81741
4,1,4,2e15,light,orx-1,15857
5,1,5,2e15,light,orx-fixed-1,23880
6,1,6,2e15,light,rayon-4,320016
7,1,7,2e15,light,rayon-red-with-4,347942
8,1,8,2e15,light,orx-4,188900
9,1,9,2e15,light,orx-fixed-4,180360
10,1,10,2e15,light,rayon-16,5398941
11,1,11,2e15,light,rayon-red-with-16,5590192
12,1,12,2e15,light,orx-16,708364
13,1,13,2e15,light,orx-fixed-16,658139
14,2,1,2e20,light,seq,286946
15,2,2,2e20,light,rayon-1,396070
16,2,3,2e20,light,rayon-red-with-1,414943
17,2,4,2e20,light,orx-1,260156
18,2,5,2e20,light,orx-fixed-1,265967
19,2,6,2e20,light,rayon-4,491482
20,2,7,2e20,light,rayon-red-with-4,489950
21,2,8,2e20,light,orx-4,349738
22,2,9,2e20,light,orx-fixed-4,311426
23,2,10,2e20,light,rayon-16,7215504
24,2,11,2e20,light,rayon-red-with-16,7472421
25,2,12,2e20,light,orx-16,1236001
26,2,13,2e20,light,orx-fixed-16,1151288
27,3,1,2e15,heavy,seq,2269402
28,3,2,2e15,heavy,rayon-1,2311694
29,3,3,2e15,heavy,rayon-red-with-1,2360323
30,3,4,2e15,heavy,orx-1,2183424
31,3,5,2e15,heavy,orx-fixed-1,2205838
32,3,6,2e15,heavy,rayon-4,1039279
33,3,7,2e15,heavy,rayon-red-with-4,1074967
34,3,8,2e15,heavy,orx-4,930529
35,3,9,2e15,heavy,orx-fixed-4,926748
36,3,10,2e15,heavy,rayon-16,4829201
37,3,11,2e15,heavy,rayon-red-with-16,5180188
38,3,12,2e15,heavy,orx-16,1437946
39,3,13,2e15,heavy,orx-fixed-16,1469546
40,4,1,2e20,heavy,seq,70648051
41,4,2,2e20,heavy,rayon-1,69934118
42,4,3,2e20,heavy,rayon-red-with-1,72744089
43,4,4,2e20,heavy,orx-1,69948597
44,4,5,2e20,heavy,orx-fixed-1,68767234
45,4,6,2e20,heavy,rayon-4,20559559
46,4,7,2e20,heavy,rayon-red-with-4,20876690
47,4,8,2e20,heavy,orx-4,20776376
48,4,9,2e20,heavy,orx-fixed-4,20875829
49,4,10,2e20,heavy,rayon-16,12716217
50,4,11,2e20,heavy,rayon-red-with-16,12863675
51,4,12,2e20,heavy,orx-16,9828839
52,4,13,2e20,heavy,orx-fixed-16,9636025
