t,i,a,n,task,method,time (ns)
1,1,1,2e15,light,seq,3658060
2,1,2,2e15,light,rayon-1,3647832
3,1,3,2e15,light,rayon-red-with-1,3569639
4,1,4,2e15,light,orx-1,3373141
5,1,5,2e15,light,orx-fixed-1,3397530
6,1,6,2e15,light,rayon-4,1617742
7,1,7,2e15,light,rayon-red-with-4,1531051
8,1,8,2e15,light,orx-4,1357192
9,1,9,2e15,light,orx-fixed-4,1395327
10,1,10,2e15,light,rayon-16,4548211
11,1,11,2e15,light,rayon-red-with-16,3851812
12,1,12,2e15,light,orx-16,1734084
13,1,13,2e15,light,orx-fixed-16,1660307
14,2,1,2e20,light,seq,112006877
15,2,2,2e20,light,rayon-1,106645164
16,2,3,2e20,light,rayon-red-with-1,104081065
17,2,4,2e20,light,orx-1,102645883
18,2,5,2e20,light,orx-fixed-1,102090279
19,2,6,2e20,light,rayon-4,31821467
20,2,7,2e20,light,rayon-red-with-4,32065982
21,2,8,2e20,light,orx-4,32580076
22,2,9,2e20,light,orx-fixed-4,32097458
23,2,10,2e20,light,rayon-16,18967129
24,2,11,2e20,light,rayon-red-with-16,18934390
25,2,12,2e20,light,orx-16,17268531
26,2,13,2e20,light,orx-fixed-16,16031903
27,3,1,2e15,heavy,seq,15379045
28,3,2,2e15,heavy,rayon-1,15294320
29,3,3,2e15,heavy,rayon-red-with-1,15292089
30,3,4,2e15,heavy,orx-1,15143302
31,3,5,2e15,heavy,orx-fixed-1,14730351
32,3,6,2e15,heavy,rayon-4,4866886
33,3,7,2e15,heavy,rayon-red-with-4,5485902
34,3,8,2e15,heavy,orx-4,5406111
35,3,9,2e15,heavy,orx-fixed-4,5064917
36,3,10,2e15,heavy,rayon-16,4405608
37,3,11,2e15,heavy,rayon-red-with-16,4720612
38,3,12,2e15,heavy,orx-16,2797524
39,3,13,2e15,heavy,orx-fixed-16,2748855
40,4,1,2e20,heavy,seq,474792632
41,4,2,2e20,heavy,rayon-1,464730937
42,4,3,2e20,heavy,rayon-red-with-1,464511675
43,4,4,2e20,heavy,orx-1,468969693
44,4,5,2e20,heavy,orx-fixed-1,477148525
45,4,6,2e20,heavy,rayon-4,138380618
46,4,7,2e20,heavy,rayon-red-with-4,139435795
47,4,8,2e20,heavy,orx-4,138367788
48,4,9,2e20,heavy,orx-fixed-4,141945092
49,4,10,2e20,heavy,rayon-16,64386249
50,4,11,2e20,heavy,rayon-red-with-16,69818824
51,4,12,2e20,heavy,orx-16,73403497
52,4,13,2e20,heavy,orx-fixed-16,70310088
