t,i,a,n,task,method,time (ns)
1,1,1,2e15,light,seq,16042
2,1,2,2e15,light,rayon-1,84802
3,1,3,2e15,light,rayon-red-with-1,86878
4,1,4,2e15,light,orx-1,25539
5,1,5,2e15,light,orx-fixed-1,33358
6,1,6,2e15,light,rayon-4,319012
7,1,7,2e15,light,rayon-red-with-4,336876
8,1,8,2e15,light,orx-4,351425
9,1,9,2e15,light,orx-fixed-4,215894
10,1,10,2e15,light,rayon-16,5260991
11,1,11,2e15,light,rayon-red-with-16,5313151
12,1,12,2e15,light,orx-16,672409
13,1,13,2e15,light,orx-fixed-16,682361
14,2,1,2e20,light,seq,564427
15,2,2,2e20,light,rayon-1,662841
16,2,3,2e20,light,rayon-red-with-1,611204
17,2,4,2e20,light,orx-1,554745
18,2,5,2e20,light,orx-fixed-1,553203
19,2,6,2e20,light,rayon-4,558884
20,2,7,2e20,light,rayon-red-with-4,546828
21,2,8,2e20,light,orx-4,454038
22,2,9,2e20,light,orx-fixed-4,404906
23,2,10,2e20,light,rayon-16,6489874
24,2,11,2e20,light,rayon-red-with-16,7116380
25,2,12,2e20,light,orx-16,1333870
26,2,13,2e20,light,orx-fixed-16,1238155
27,3,1,2e15,heavy,seq,2303607
28,3,2,2e15,heavy,rayon-1,2366296
29,3,3,2e15,heavy,rayon-red-with-1,2335127
30,3,4,2e15,heavy,orx-1,2233988
31,3,5,2e15,heavy,orx-fixed-1,2313120
32,3,6,2e15,heavy,rayon-4,1147445
33,3,7,2e15,heavy,rayon-red-with-4,1121103
34,3,8,2e15,heavy,orx-4,946517
35,3,9,2e15,heavy,orx-fixed-4,937229
36,3,10,2e15,heavy,rayon-16,4890988
37,3,11,2e15,heavy,rayon-red-with-16,5117291
38,3,12,2e15,heavy,orx-16,1485711
39,3,13,2e15,heavy,orx-fixed-16,1472775
40,4,1,2e20,heavy,seq,72243434
41,4,2,2e20,heavy,rayon-1,70700382
42,4,3,2e20,heavy,rayon-red-with-1,68917415
43,4,4,2e20,heavy,orx-1,68576979
44,4,5,2e20,heavy,orx-fixed-1,67899639
45,4,6,2e20,heavy,rayon-4,20295784
46,4,7,2e20,heavy,rayon-red-with-4,20678881
47,4,8,2e20,heavy,orx-4,20907798
48,4,9,2e20,heavy,orx-fixed-4,20935990
49,4,10,2e20,heavy,rayon-16,12973924
50,4,11,2e20,heavy,rayon-red-with-16,12827514
51,4,12,2e20,heavy,orx-16,10259118
52,4,13,2e20,heavy,orx-fixed-16,9703775
