t,i,a,n,task,method,time (ns)
1,1,1,2e15,light,seq,32313
2,1,2,2e15,light,rayon-1,115803
3,1,3,2e15,light,rayon-red-with-1,106951
4,1,4,2e15,light,orx-1,39646
5,1,5,2e15,light,orx-fixed-1,48048
6,1,6,2e15,light,rayon-4,336586
7,1,7,2e15,light,rayon-red-with-4,341356
8,1,8,2e15,light,orx-4,191568
9,1,9,2e15,light,orx-fixed-4,196907
10,1,10,2e15,light,rayon-16,5265624
11,1,11,2e15,light,rayon-red-with-16,5370946
12,1,12,2e15,light,orx-16,697433
13,1,13,2e15,light,orx-fixed-16,633214
14,2,1,2e20,light,seq,1004643
15,2,2,2e20,light,rayon-1,2066013
16,2,3,2e20,light,rayon-red-with-1,1239276
17,2,4,2e20,light,orx-1,990817
18,2,5,2e20,light,orx-fixed-1,1030869
19,2,6,2e20,light,rayon-4,1010463
20,2,7,2e20,light,rayon-red-with-4,785199
21,2,8,2e20,light,orx-4,646167
22,2,9,2e20,light,orx-fixed-4,556408
23,2,10,2e20,light,rayon-16,5876147
24,2,11,2e20,light,rayon-red-with-16,6790455
25,2,12,2e20,light,orx-16,1444721
26,2,13,2e20,light,orx-fixed-16,1374618
27,3,1,2e15,heavy,seq,2115405
28,3,2,2e15,heavy,rayon-1,2230922
29,3,3,2e15,heavy,rayon-red-with-1,2184131
30,3,4,2e15,heavy,orx-1,2031669
31,3,5,2e15,heavy,orx-fixed-1,2015436
32,3,6,2e15,heavy,rayon-4,1003626
33,3,7,2e15,heavy,rayon-red-with-4,1057018
34,3,8,2e15,heavy,orx-4,871208
35,3,9,2e15,heavy,orx-fixed-4,868788
36,3,10,2e15,heavy,rayon-16,4799892
37,3,11,2e15,heavy,rayon-red-with-16,5063139
38,3,12,2e15,heavy,orx-16,1447633
39,3,13,2e15,heavy,orx-fixed-16,1478088
40,4,1,2e20,heavy,seq,66734152
41,4,2,2e20,heavy,rayon-1,68449965
42,4,3,2e20,heavy,rayon-red-with-1,65405687
43,4,4,2e20,heavy,orx-1,64093885
44,4,5,2e20,heavy,orx-fixed-1,63822117
45,4,6,2e20,heavy,rayon-4,19061529
46,4,7,2e20,heavy,rayon-red-with-4,19536783
47,4,8,2e20,heavy,orx-4,19685272
48,4,9,2e20,heavy,orx-fixed-4,19222235
49,4,10,2e20,heavy,rayon-16,11639401
50,4,11,2e20,heavy,rayon-red-with-16,12250956
51,4,12,2e20,heavy,orx-16,9065459
52,4,13,2e20,heavy,orx-fixed-16,9286985
