t,i,a,n,task,method,time (ns)
1,1,1,2e15,light,seq,54008
2,1,2,2e15,light,rayon-1,125147
3,1,3,2e15,light,rayon-red-with-1,339906
4,1,4,2e15,light,orx-1,58201
5,1,5,2e15,light,orx-fixed-1,74764
6,1,6,2e15,light,rayon-4,348026
7,1,7,2e15,light,rayon-red-with-4,427261
8,1,8,2e15,light,orx-4,203311
9,1,9,2e15,light,orx-fixed-4,213662
10,1,10,2e15,light,rayon-16,5249547
11,1,11,2e15,light,rayon-red-with-16,5354554
12,1,12,2e15,light,orx-16,832978
13,1,13,2e15,light,orx-fixed-16,814190
14,2,1,2e20,light,seq,2329166
15,2,2,2e20,light,rayon-1,2411283
16,2,3,2e20,light,rayon-red-with-1,8002032
17,2,4,2e20,light,orx-1,2263080
18,2,5,2e20,light,orx-fixed-1,2274049
19,2,6,2e20,light,rayon-4,1056803
20,2,7,2e20,light,rayon-red-with-4,2967385
21,2,8,2e20,light,orx-4,1063261
22,2,9,2e20,light,orx-fixed-4,991180
23,2,10,2e20,light,rayon-16,5418691
24,2,11,2e20,light,rayon-red-with-16,4004831
25,2,12,2e20,light,orx-16,1741111
26,2,13,2e20,light,orx-fixed-16,1577204
27,3,1,2e15,heavy,seq,3948896
28,3,2,2e15,heavy,rayon-1,4014779
29,3,3,2e15,heavy,rayon-red-with-1,4075388
30,3,4,2e15,heavy,orx-1,3819026
31,3,5,2e15,heavy,orx-fixed-1,3732822
32,3,6,2e15,heavy,rayon-4,1541926
33,3,7,2e15,heavy,rayon-red-with-4,1622592
34,3,8,2e15,heavy,orx-4,1421638
35,3,9,2e15,heavy,orx-fixed-4,1456445
36,3,10,2e15,heavy,rayon-16,4177846
37,3,11,2e15,heavy,rayon-red-with-16,4081368
38,3,12,2e15,heavy,orx-16,1681762
39,3,13,2e15,heavy,orx-fixed-16,1666556
40,4,1,2e20,heavy,seq,122477714
41,4,2,2e20,heavy,rayon-1,116296988
42,4,3,2e20,heavy,rayon-red-with-1,117701094
43,4,4,2e20,heavy,orx-1,117112474
44,4,5,2e20,heavy,orx-fixed-1,122809871
45,4,6,2e20,heavy,rayon-4,35041127
46,4,7,2e20,heavy,rayon-red-with-4,36362402
47,4,8,2e20,heavy,orx-4,35198743
48,4,9,2e20,heavy,orx-fixed-4,34427824
49,4,10,2e20,heavy,rayon-16,18897711
50,4,11,2e20,heavy,rayon-red-with-16,20296901
51,4,12,2e20,heavy,orx-16,16808143
52,4,13,2e20,heavy,orx-fixed-16,16737636
