t,i,a,n,task,method,time (ns)
1,1,1,2e15,light,seq,67856
2,1,2,2e15,light,rayon-1,142415
3,1,3,2e15,light,rayon-red-with-1,344195
4,1,4,2e15,light,orx-1,71562
5,1,5,2e15,light,orx-fixed-1,91806
6,1,6,2e15,light,rayon-4,356881
7,1,7,2e15,light,rayon-red-with-4,441258
8,1,8,2e15,light,orx-4,218714
9,1,9,2e15,light,orx-fixed-4,234470
10,1,10,2e15,light,rayon-16,5093991
11,1,11,2e15,light,rayon-red-with-16,5259252
12,1,12,2e15,light,orx-16,870415
13,1,13,2e15,light,orx-fixed-16,783151
14,2,1,2e20,light,seq,2846352
15,2,2,2e20,light,rayon-1,2757907
16,2,3,2e20,light,rayon-red-with-1,8428528
17,2,4,2e20,light,orx-1,2479177
18,2,5,2e20,light,orx-fixed-1,2691347
19,2,6,2e20,light,rayon-4,1157038
20,2,7,2e20,light,rayon-red-with-4,2966123
21,2,8,2e20,light,orx-4,1103714
22,2,9,2e20,light,orx-fixed-4,1073164
23,2,10,2e20,light,rayon-16,5541655
24,2,11,2e20,light,rayon-red-with-16,4031347
25,2,12,2e20,light,orx-16,1810860
26,2,13,2e20,light,orx-fixed-16,1635298
27,3,1,2e15,heavy,seq,3840277
28,3,2,2e15,heavy,rayon-1,3782154
29,3,3,2e15,heavy,rayon-red-with-1,3800341
30,3,4,2e15,heavy,orx-1,3656145
31,3,5,2e15,heavy,orx-fixed-1,3615440
32,3,6,2e15,heavy,rayon-4,1595977
33,3,7,2e15,heavy,rayon-red-with-4,1561658
34,3,8,2e15,heavy,orx-4,1362898
35,3,9,2e15,heavy,orx-fixed-4,1408087
36,3,10,2e15,heavy,rayon-16,4222074
37,3,11,2e15,heavy,rayon-red-with-16,3962385
38,3,12,2e15,heavy,orx-16,1663103
39,3,13,2e15,heavy,orx-fixed-16,1658516
40,4,1,2e20,heavy,seq,116527433
41,4,2,2e20,heavy,rayon-1,113416424
42,4,3,2e20,heavy,rayon-red-with-1,112127752
43,4,4,2e20,heavy,orx-1,109998577
44,4,5,2e20,heavy,orx-fixed-1,111592535
45,4,6,2e20,heavy,rayon-4,32736879
46,4,7,2e20,heavy,rayon-red-with-4,33699879
47,4,8,2e20,heavy,orx-4,32859318
48,4,9,2e20,heavy,orx-fixed-4,32972099
49,4,10,2e20,heavy,rayon-16,19231255
50,4,11,2e20,heavy,rayon-red-with-16,20384956
51,4,12,2e20,heavy,orx-16,16808616
52,4,13,2e20,heavy,orx-fixed-16,15961704
