t,i,a,n,mode,method,time (ns)
1,1,1,2e16,stats,seq,18770515
2,1,2,2e16,stats,rayon-1,18160961
3,1,3,2e16,stats,orx-1,17598176
4,1,4,2e16,stats,orx-fixed-1,17459751
5,1,5,2e16,stats,rayon-4,5644916
6,1,6,2e16,stats,orx-4,6008281
7,1,7,2e16,stats,orx-fixed-4,5850160
8,1,8,2e16,stats,rayon-16,6215913
9,1,9,2e16,stats,orx-16,3570989
10,1,10,2e16,stats,orx-fixed-16,3525571
11,2,1,2e16,stats+trace,seq,48135752
12,2,2,2e16,stats+trace,rayon-1,45026825
13,2,3,2e16,stats+trace,orx-1,44001846
14,2,4,2e16,stats+trace,orx-fixed-1,43536374
15,2,5,2e16,stats+trace,rayon-4,14035732
16,2,6,2e16,stats+trace,orx-4,21092032
17,2,7,2e16,stats+trace,orx-fixed-4,22342934
18,2,8,2e16,stats+trace,rayon-16,15975830
19,2,9,2e16,stats+trace,orx-16,10213612
20,2,10,2e16,stats+trace,orx-fixed-16,9968854
21,3,1,2e20,stats,seq,270220998
22,3,2,2e20,stats,rayon-1,267919928
23,3,3,2e20,stats,orx-1,279866998
24,3,4,2e20,stats,orx-fixed-1,269721877
25,3,5,2e20,stats,rayon-4,79842945
26,3,6,2e20,stats,orx-4,85370057
27,3,7,2e20,stats,orx-fixed-4,83905076
28,3,8,2e20,stats,rayon-16,42173806
29,3,9,2e20,stats,orx-16,45550680
30,3,10,2e20,stats,orx-fixed-16,44015611
31,4,1,2e20,stats+trace,seq,690714579
32,4,2,2e20,stats+trace,rayon-1,686242472
33,4,3,2e20,stats+trace,orx-1,675668109
34,4,4,2e20,stats+trace,orx-fixed-1,674396659
35,4,5,2e20,stats+trace,rayon-4,203556071
36,4,6,2e20,stats+trace,orx-4,267153285
37,4,7,2e20,stats+trace,orx-fixed-4,267484843
38,4,8,2e20,stats+trace,rayon-16,113464459
39,4,9,2e20,stats+trace,orx-16,124253363
40,4,10,2e20,stats+trace,orx-fixed-16,126723367
