t,i,a,n,task,method,time (ns)
1,1,1,2e16,light,seq,389590
2,1,2,2e16,light,rayon-1,607049
3,1,3,2e16,light,orx-1,426549
4,1,4,2e16,light,orx-fixed-1,429109
5,1,5,2e16,light,rayon-4,550377
6,1,6,2e16,light,orx-4,385891
7,1,7,2e16,light,orx-fixed-4,374626
8,1,8,2e16,light,rayon-16,5813484
9,1,9,2e16,light,orx-16,1212006
10,1,10,2e16,light,orx-fixed-16,1177756
11,2,1,2e16,heavy,seq,1179028
12,2,2,2e16,heavy,rayon-1,1261063
13,2,3,2e16,heavy,orx-1,1006082
14,2,4,2e16,heavy,orx-fixed-1,1017803
15,2,5,2e16,heavy,rayon-4,765975
16,2,6,2e16,heavy,orx-4,563679
17,2,7,2e16,heavy,orx-fixed-4,567941
18,2,8,2e16,heavy,rayon-16,5666271
19,2,9,2e16,heavy,orx-16,1354327
20,2,10,2e16,heavy,orx-fixed-16,1313597
21,3,1,2e20,light,seq,8222363
22,3,2,2e20,light,rayon-1,11477703
23,3,3,2e20,light,orx-1,9311852
24,3,4,2e20,light,orx-fixed-1,8782781
25,3,5,2e20,light,rayon-4,4134801
26,3,6,2e20,light,orx-4,3737713
27,3,7,2e20,light,orx-fixed-4,3738306
28,3,8,2e20,light,rayon-16,6044398
29,3,9,2e20,light,orx-16,2831822
30,3,10,2e20,light,orx-fixed-16,2744774
31,4,1,2e20,heavy,seq,19886295
32,4,2,2e20,heavy,rayon-1,21103340
33,4,3,2e20,heavy,orx-1,17917562
34,4,4,2e20,heavy,orx-fixed-1,17631234
35,4,5,2e20,heavy,rayon-4,6606425
36,4,6,2e20,heavy,orx-4,6134986
37,4,7,2e20,heavy,orx-fixed-4,6261253
38,4,8,2e20,heavy,rayon-16,7483675
39,4,9,2e20,heavy,orx-16,4021557
40,4,10,2e20,heavy,orx-fixed-16,4052680
