t,i,a,n,task,method,time (ns)
1,1,1,2e16,light,seq,694025
2,1,2,2e16,light,rayon-1,878531
3,1,3,2e16,light,orx-1,666380
4,1,4,2e16,light,orx-fixed-1,654139
5,1,5,2e16,light,rayon-4,608255
6,1,6,2e16,light,orx-4,427008
7,1,7,2e16,light,orx-fixed-4,468406
8,1,8,2e16,light,rayon-16,5524992
9,1,9,2e16,light,orx-16,1327311
10,1,10,2e16,light,orx-fixed-16,1334981
11,2,1,2e16,heavy,seq,1270941
12,2,2,2e16,heavy,rayon-1,1438063
13,2,3,2e16,heavy,orx-1,1129261
14,2,4,2e16,heavy,orx-fixed-1,1156504
15,2,5,2e16,heavy,rayon-4,787685
16,2,6,2e16,heavy,orx-4,575755
17,2,7,2e16,heavy,orx-fixed-4,604204
18,2,8,2e16,heavy,rayon-16,5333973
19,2,9,2e16,heavy,orx-16,1381443
20,2,10,2e16,heavy,orx-fixed-16,1434895
21,3,1,2e20,light,seq,12479183
22,3,2,2e20,light,rayon-1,13824729
23,3,3,2e20,light,orx-1,11323768
24,3,4,2e20,light,orx-fixed-1,11080958
25,3,5,2e20,light,rayon-4,4333274
26,3,6,2e20,light,orx-4,3936596
27,3,7,2e20,light,orx-fixed-4,3926753
28,3,8,2e20,light,rayon-16,4868719
29,3,9,2e20,light,orx-16,2961446
30,3,10,2e20,light,orx-fixed-16,2729772
31,4,1,2e20,heavy,seq,22257922
32,4,2,2e20,heavy,rayon-1,21736712
33,4,3,2e20,heavy,orx-1,18659605
34,4,4,2e20,heavy,orx-fixed-1,18138429
35,4,5,2e20,heavy,rayon-4,6755132
36,4,6,2e20,heavy,orx-4,6350635
37,4,7,2e20,heavy,orx-fixed-4,6112489
38,4,8,2e20,heavy,rayon-16,6391141
39,4,9,2e20,heavy,orx-16,4189225
40,4,10,2e20,heavy,orx-fixed-16,3736913
