t,i,a,n,mode,nt,method,time (ns)
1,1,1,2e16,stats,4,seq,18732372
2,1,2,2e16,stats,4,rayon,5735798
3,1,3,2e16,stats,4,orx,8579375
4,1,4,2e16,stats,4,orx-fixed,7518855
5,2,1,2e20,stats,4,seq,275875598
6,2,2,2e20,stats,4,rayon,79253563
7,2,3,2e20,stats,4,orx,100906860
8,2,4,2e20,stats,4,orx-fixed,100885065
9,3,1,2e16,stats+trace,4,seq,42684994
10,3,2,2e16,stats+trace,4,rayon,13467432
11,3,3,2e16,stats+trace,4,orx,15920536
12,3,4,2e16,stats+trace,4,orx-fixed,16575118
13,4,1,2e20,stats+trace,4,seq,661020476
14,4,2,2e20,stats+trace,4,rayon,194794188
15,4,3,2e20,stats+trace,4,orx,243033844
16,4,4,2e20,stats+trace,4,orx-fixed,240411822
17,5,1,2e16,stats,16,seq,16132278
18,5,2,2e16,stats,16,rayon,5853363
19,5,3,2e16,stats,16,orx,3318885
20,5,4,2e16,stats,16,orx-fixed,3495628
21,6,1,2e20,stats,16,seq,271271888
22,6,2,2e20,stats,16,rayon,45004593
23,6,3,2e20,stats,16,orx,45748205
24,6,4,2e20,stats,16,orx-fixed,46978239
25,7,1,2e16,stats+trace,16,seq,45576049
26,7,2,2e16,stats+trace,16,rayon,18578730
27,7,3,2e16,stats+trace,16,orx,9089888
28,7,4,2e16,stats+trace,16,orx-fixed,10523985
29,8,1,2e20,stats+trace,16,seq,665080023
30,8,2,2e20,stats+trace,16,rayon,96338519
31,8,3,2e20,stats+trace,16,orx,133109616
32,8,4,2e20,stats+trace,16,orx-fixed,126562003
