t,i,a,n,task,nt,method,time (ns)
1,1,1,2e16,light,4,seq,444105
2,1,2,2e16,light,4,rayon,716129
3,1,3,2e16,light,4,orx,501642
4,1,4,2e16,light,4,orx-fixed,518963
5,2,1,2e20,light,4,seq,8215072
6,2,2,2e20,light,4,rayon,4901935
7,2,3,2e20,light,4,orx,3995972
8,2,4,2e20,light,4,orx-fixed,3905323
9,3,1,2e16,heavy,4,seq,1173002
10,3,2,2e16,heavy,4,rayon,919702
11,3,3,2e16,heavy,4,orx,670372
12,3,4,2e16,heavy,4,orx-fixed,661570
13,4,1,2e20,heavy,4,seq,20672169
14,4,2,2e20,heavy,4,rayon,6992791
15,4,3,2e20,heavy,4,orx,6696790
16,4,4,2e20,heavy,4,orx-fixed,6437598
17,5,1,2e16,light,16,seq,431682
18,5,2,2e16,light,16,rayon,6527887
19,5,3,2e16,light,16,orx,1363736
20,5,4,2e16,light,16,orx-fixed,1583901
21,6,1,2e20,light,16,seq,9267467
22,6,2,2e20,light,16,rayon,9448110
23,6,3,2e20,light,16,orx,4153238
24,6,4,2e20,light,16,orx-fixed,3715990
25,7,1,2e16,heavy,16,seq,1203544
26,7,2,2e16,heavy,16,rayon,6634110
27,7,3,2e16,heavy,16,orx,1565648
28,7,4,2e16,heavy,16,orx-fixed,1541723
29,8,1,2e20,heavy,16,seq,20273616
30,8,2,2e20,heavy,16,rayon,8419213
31,8,3,2e20,heavy,16,orx,4343975
32,8,4,2e20,heavy,16,orx-fixed,4190437
