t,i,a,n,task,nt,method,time (ns)
1,1,1,2e16,light,4,seq,682755
2,1,2,2e16,light,4,rayon,747061
3,1,3,2e16,light,4,orx,523538
4,1,4,2e16,light,4,orx-fixed,500770
5,2,1,2e20,light,4,seq,12560934
6,2,2,2e20,light,4,rayon,4896482
7,2,3,2e20,light,4,orx,4095189
8,2,4,2e20,light,4,orx-fixed,4242960
9,3,1,2e16,heavy,4,seq,1195309
10,3,2,2e16,heavy,4,rayon,925554
11,3,3,2e16,heavy,4,orx,681515
12,3,4,2e16,heavy,4,orx-fixed,709169
13,4,1,2e20,heavy,4,seq,20236850
14,4,2,2e20,heavy,4,rayon,7974130
15,4,3,2e20,heavy,4,orx,7082305
16,4,4,2e20,heavy,4,orx-fixed,6779964
17,5,1,2e16,light,16,seq,651621
18,5,2,2e16,light,16,rayon,6013049
19,5,3,2e16,light,16,orx,1347739
20,5,4,2e16,light,16,orx-fixed,1352133
21,6,1,2e20,light,16,seq,12662113
22,6,2,2e20,light,16,rayon,6064346
23,6,3,2e20,light,16,orx,3046974
24,6,4,2e20,light,16,orx-fixed,3066393
25,7,1,2e16,heavy,16,seq,1249715
26,7,2,2e16,heavy,16,rayon,6385529
27,7,3,2e16,heavy,16,orx,1532898
28,7,4,2e16,heavy,16,orx-fixed,1522724
29,8,1,2e20,heavy,16,seq,20615661
30,8,2,2e20,heavy,16,rayon,6709090
31,8,3,2e20,heavy,16,orx,4206330
32,8,4,2e20,heavy,16,orx-fixed,4214065
