method,num_threads,items,population,heavy,time (ns)
seq,4,50,10000,false,178644731
seq,4,50,10000,true,366705862
seq,4,50,50000,false,839675381
seq,4,50,50000,true,1589601858
seq,4,100,10000,false,285957176
seq,4,100,10000,true,435214728
seq,4,100,50000,false,1483222624
seq,4,100,50000,true,2278572983
seq,8,50,10000,false,152887618
seq,8,50,10000,true,306114209
seq,8,50,50000,false,787145964
seq,8,50,50000,true,1545174603
seq,8,100,10000,false,280783573
seq,8,100,10000,true,430276281
seq,8,100,50000,false,1526045780
seq,8,100,50000,true,2276159148
seq,16,50,10000,false,149600798
seq,16,50,10000,true,310288169
seq,16,50,50000,false,775630257
seq,16,50,50000,true,1518813106
seq,16,100,10000,false,283483822
seq,16,100,10000,true,429903884
seq,16,100,50000,false,1466416037
seq,16,100,50000,true,2257414288
seq,20,50,10000,false,148266048
seq,20,50,10000,true,295076039
seq,20,50,50000,false,783985295
seq,20,50,50000,true,1520745954
seq,20,100,10000,false,281278170
seq,20,100,10000,true,430399095
seq,20,100,50000,false,1452155677
seq,20,100,50000,true,2221877884
seq,24,50,10000,false,149374609
seq,24,50,10000,true,296684830
seq,24,50,50000,false,811259346
seq,24,50,50000,true,1514544367
seq,24,100,10000,false,282318848
seq,24,100,10000,true,425763480
seq,24,100,50000,false,1471741062
seq,24,100,50000,true,2156302656
seq,28,50,10000,false,145474161
seq,28,50,10000,true,285592942
seq,28,50,50000,false,758289043
seq,28,50,50000,true,1489667454
seq,28,100,10000,false,271931412
seq,28,100,10000,true,417570537
seq,28,100,50000,false,1440145183
seq,28,100,50000,true,2131002159
seq,32,50,10000,false,145234398
seq,32,50,10000,true,286065329
seq,32,50,50000,false,735515672
seq,32,50,50000,true,1472028763
seq,32,100,10000,false,270689417
seq,32,100,10000,true,410423939
seq,32,100,50000,false,1389694951
seq,32,100,50000,true,2153141588
rayon,4,50,10000,false,70450447
rayon,4,50,10000,true,121146038
rayon,4,50,50000,false,354129373
rayon,4,50,50000,true,591645403
rayon,4,100,10000,false,105756472
rayon,4,100,10000,true,153101192
rayon,4,100,50000,false,527065481
rayon,4,100,50000,true,782326620
rayon,8,50,10000,false,111588830
rayon,8,50,10000,true,140939220
rayon,8,50,50000,false,315981934
rayon,8,50,50000,true,471545157
rayon,8,100,10000,false,112601324
rayon,8,100,10000,true,142253499
rayon,8,100,50000,false,428282888
rayon,8,100,50000,true,596085387
rayon,16,50,10000,false,362676758
rayon,16,50,10000,true,393140446
