method,num_threads,bodies,steps,time (ns)
seq,4,1024,10,34504937
seq,4,1024,50,174131565
seq,4,4096,10,522897130
seq,4,4096,50,2559172473
seq,8,1024,10,32683325
seq,8,1024,50,157785714
seq,8,4096,10,562822362
seq,8,4096,50,2499352914
seq,16,1024,10,32055115
seq,16,1024,50,147859357
seq,16,4096,10,499243648
seq,16,4096,50,2429919906
seq,20,1024,10,30414958
seq,20,1024,50,148257136
seq,20,4096,10,497113373
seq,20,4096,50,2390635697
seq,24,1024,10,30434783
seq,24,1024,50,145135985
seq,24,4096,10,493869048
seq,24,4096,50,2495172942
seq,28,1024,10,31583550
seq,28,1024,50,156315923
seq,28,4096,10,521593247
seq,28,4096,50,2435058332
seq,32,1024,10,29918961
seq,32,1024,50,148280635
seq,32,4096,10,498028121
seq,32,4096,50,2414812407
rayon,4,1024,10,11976980
rayon,4,1024,50,55953080
rayon,4,4096,10,190205745
rayon,4,4096,50,883787766
rayon,8,1024,10,9601367
rayon,8,1024,50,45574257
rayon,8,4096,10,140320537
rayon,8,4096,50,620374320
rayon,16,1024,10,17346903
rayon,16,1024,50,80719435
rayon,16,4096,10,141599024
rayon,16,4096,50,584969942
rayon,20,1024,10,34304654
rayon,20,1024,50,165557959
rayon,20,4096,10,138567458
rayon,20,4096,50,558008136
rayon,24,1024,10,48749301
rayon,24,1024,50,238350930
rayon,24,4096,10,138005636
rayon,24,4096,50,543525684
rayon,28,1024,10,57678337
rayon,28,1024,50,291158447
rayon,28,4096,10,142592038
rayon,28,4096,50,555953536
rayon,32,1024,10,67014847
rayon,32,1024,50,353202142
rayon,32,4096,10,159393582
rayon,32,4096,50,640651010
orx-once,4,1024,10,15039069
orx-once,4,1024,50,68860070
orx-once,4,4096,10,209474771
orx-once,4,4096,50,917813983
orx-once,8,1024,10,10748157
orx-once,8,1024,50,52924226
orx-once,8,4096,10,148144054
orx-once,8,4096,50,643610550
orx-once,16,1024,10,14547447
orx-once,16,1024,50,74563388
orx-once,16,4096,10,132619306
orx-once,16,4096,50,567115880
orx-once,20,1024,10,18009049
orx-once,20,1024,50,91005439
orx-once,20,4096,10,133496983
orx-once,20,4096,50,557469952
orx-once,24,1024,10,20908376
orx-once,24,1024,50,103379520
orx-once,24,4096,10,136285699
orx-once,24,4096,50,560076461
orx-once,28,1024,10,23231800
orx-once,28,1024,50,115477823
orx-once,28,4096,10,136401484
orx-once,28,4096,50,557593339
orx-once,32,1024,10,25070857
orx-once,32,1024,50,124188287
orx-once,32,4096,10,139770400
orx-once,32,4096,50,571051155
orx-basic,4,1024,10,14735655
orx-basic,4,1024,50,65142871
orx-basic,4,4096,10,198304836
orx-basic,4,4096,50,867398358
orx-basic,8,1024,10,8707272
orx-basic,8,1024,50,41096438
orx-basic,8,4096,10,139916754
orx-basic,8,4096,50,621879267
orx-basic,16,1024,10,8747447
orx-basic,16,1024,50,41801247
orx-basic,16,4096,10,123524170
orx-basic,16,4096,50,513116800
orx-basic,20,1024,10,9805614
orx-basic,20,1024,50,43784704
orx-basic,20,4096,10,113887336
orx-basic,20,4096,50,500426729
orx-basic,24,1024,10,10330965
orx-basic,24,1024,50,48076136
orx-basic,24,4096,10,112541364
orx-basic,24,4096,50,495815706
orx-basic,28,1024,10,11444091
orx-basic,28,1024,50,52758800
orx-basic,28,4096,10,127789829
orx-basic,28,4096,50,494652843
orx-basic,32,1024,10,11548096
orx-basic,32,1024,50,52827060
orx-basic,32,4096,10,117697446
orx-basic,32,4096,50,481423282
orx-rayon,4,1024,10,14692664
orx-rayon,4,1024,50,65247393
orx-rayon,4,4096,10,203219908
orx-rayon,4,4096,50,895471175
orx-rayon,8,1024,10,10926700
orx-rayon,8,1024,50,49506541
orx-rayon,8,4096,10,146835022
orx-rayon,8,4096,50,633878035
orx-rayon,16,1024,10,13278381
orx-rayon,16,1024,50,63833662
orx-rayon,16,4096,10,132238562
orx-rayon,16,4096,50,560351071
orx-rayon,20,1024,10,16831592
orx-rayon,20,1024,50,83380365
orx-rayon,20,4096,10,129793610
orx-rayon,20,4096,50,537536188
orx-rayon,24,1024,10,19993929
orx-rayon,24,1024,50,102049028
orx-rayon,24,4096,10,129968097
orx-rayon,24,4096,50,583504678
orx-rayon,28,1024,10,23727503
orx-rayon,28,1024,50,115057856
orx-rayon,28,4096,10,129360725
orx-rayon,28,4096,50,529152739
orx-rayon,32,1024,10,24996337
orx-rayon,32,1024,50,127606321
orx-rayon,32,4096,10,123249223
orx-rayon,32,4096,50,546373748
