method,num_threads,items,restarts,steps,time (ns)
seq,4,50,100,1000,4485832
seq,4,50,500,1000,23109915
seq,4,100,100,1000,5813123
seq,4,100,500,1000,28790956
seq,8,50,100,1000,4579266
seq,8,50,500,1000,23337208
seq,8,100,100,1000,5666420
seq,8,100,500,1000,29131849
seq,16,50,100,1000,4571458
seq,16,50,500,1000,23584540
seq,16,100,100,1000,6137949
seq,16,100,500,1000,30324273
seq,20,50,100,1000,4639966
seq,20,50,500,1000,23306905
seq,20,100,100,1000,5789270
seq,20,100,500,1000,28865244
seq,24,50,100,1000,4701560
seq,24,50,500,1000,23405821
seq,24,100,100,1000,5881454
seq,24,100,500,1000,28947487
seq,28,50,100,1000,4511745
seq,28,50,500,1000,23200506
seq,28,100,100,1000,5871193
seq,28,100,500,1000,28924968
seq,32,50,100,1000,4590102
seq,32,50,500,1000,23146912
seq,32,100,100,1000,5902992
seq,32,100,500,1000,29413694
rayon,4,50,100,1000,1621866
rayon,4,50,500,1000,7557635
rayon,4,100,100,1000,2067849
rayon,4,100,500,1000,9356404
rayon,8,50,100,1000,1238929
rayon,8,50,500,1000,4855037
rayon,8,100,100,1000,1660785
rayon,8,100,500,1000,6402086
rayon,16,50,100,1000,2048988
rayon,16,50,500,1000,4661385
rayon,16,100,100,1000,2058694
rayon,16,100,500,1000,5881723
rayon,20,50,100,1000,2463966
rayon,20,50,500,1000,4628559
rayon,20,100,100,1000,2283960
rayon,20,100,500,1000,5997969
rayon,24,50,100,1000,2867407
rayon,24,50,500,1000,5261020
rayon,24,100,100,1000,2708039
rayon,24,100,500,1000,6266286
rayon,28,50,100,1000,3302139
rayon,28,50,500,1000,6082003
rayon,28,100,100,1000,3222469
rayon,28,100,500,1000,7197785
rayon,32,50,100,1000,4013448
rayon,32,50,500,1000,7060060
rayon,32,100,100,1000,3744348
rayon,32,100,500,1000,8075613
orx-once,4,50,100,1000,1825368
orx-once,4,50,500,1000,9268246
orx-once,4,100,100,1000,2432343
orx-once,4,100,500,1000,11402513
orx-once,8,50,100,1000,1310668
orx-once,8,50,500,1000,5763988
orx-once,8,100,100,1000,1697668
orx-once,8,100,500,1000,7451179
orx-once,16,50,100,1000,1571773
orx-once,16,50,500,1000,4371700
orx-once,16,100,100,1000,1827050
orx-once,16,100,500,1000,5804019
orx-once,20,50,100,1000,1812124
orx-once,20,50,500,1000,4258398
orx-once,20,100,100,1000,2094294
orx-once,20,100,500,1000,5654360
orx-once,24,50,100,1000,2136748
orx-once,24,50,500,1000,4533340
orx-once,24,100,100,1000,2348368
orx-once,24,100,500,1000,5814495
orx-once,28,50,100,1000,2566779
orx-once,28,50,500,1000,4922128
orx-once,28,100,100,1000,2651312
orx-once,28,100,500,1000,6294858
orx-once,32,50,100,1000,2801237
orx-once,32,50,500,1000,5449108
orx-once,32,100,100,1000,2945601
orx-once,32,100,500,1000,6743846
orx-basic,4,50,100,1000,1991464
orx-basic,4,50,500,1000,9404654
orx-basic,4,100,100,1000,2389351
orx-basic,4,100,500,1000,11317055
orx-basic,8,50,100,1000,1144792
orx-basic,8,50,500,1000,5796623
orx-basic,8,100,100,1000,1587627
orx-basic,8,100,500,1000,7480796
orx-basic,16,50,100,1000,975849
orx-basic,16,50,500,1000,3829806
orx-basic,16,100,100,1000,1174225
orx-basic,16,100,500,1000,5229532
orx-basic,20,50,100,1000,1004182
orx-basic,20,50,500,1000,3318617
orx-basic,20,100,100,1000,1122650
orx-basic,20,100,500,1000,4669397
orx-basic,24,50,100,1000,1024338
orx-basic,24,50,500,1000,3022624
orx-basic,24,100,100,1000,1118122
orx-basic,24,100,500,1000,4583124
orx-basic,28,50,100,1000,958229
orx-basic,28,50,500,1000,3191013
orx-basic,28,100,100,1000,1114910
orx-basic,28,100,500,1000,4920400
orx-basic,32,50,100,1000,1044987
orx-basic,32,50,500,1000,3207991
orx-basic,32,100,100,1000,1197932
orx-basic,32,100,500,1000,5087974
orx-rayon,4,50,100,1000,1944440
orx-rayon,4,50,500,1000,9099936
orx-rayon,4,100,100,1000,2428712
orx-rayon,4,100,500,1000,11451343
orx-rayon,8,50,100,1000,1235078
orx-rayon,8,50,500,1000,5677090
orx-rayon,8,100,100,1000,1671571
orx-rayon,8,100,500,1000,7598884
orx-rayon,16,50,100,1000,1351017
orx-rayon,16,50,500,1000,4294583
orx-rayon,16,100,100,1000,1593744
orx-rayon,16,100,500,1000,5857295
orx-rayon,20,50,100,1000,1665666
orx-rayon,20,50,500,1000,4067429
orx-rayon,20,100,100,1000,1730456
orx-rayon,20,100,500,1000,5573848
orx-rayon,24,50,100,1000,1804527
orx-rayon,24,50,500,1000,4087011
orx-rayon,24,100,100,1000,2004880
orx-rayon,24,100,500,1000,5491859
orx-rayon,28,50,100,1000,2073399
orx-rayon,28,50,500,1000,4225758
orx-rayon,28,100,100,1000,2377375
orx-rayon,28,100,500,1000,5942310
orx-rayon,32,50,100,1000,2306241
orx-rayon,32,50,500,1000,4511650
orx-rayon,32,100,100,1000,2570650
orx-rayon,32,100,500,1000,6165247
