method,num_threads,cities,iterations,time (ns)
seq,4,20,100,1457075
seq,4,20,500,7370951
seq,4,50,100,31966378
seq,4,50,500,144530673
seq,8,20,100,1179276
seq,8,20,500,6144315
seq,8,50,100,28249870
seq,8,50,500,136624809
seq,16,20,100,1145652
seq,16,20,500,5912956
seq,16,50,100,27597012
seq,16,50,500,134524547
seq,20,20,100,1141173
seq,20,20,500,5845123
seq,20,50,100,26959560
seq,20,50,500,132925119
seq,24,20,100,1157514
seq,24,20,500,5867643
seq,24,50,100,26895422
seq,24,50,500,132197545
seq,28,20,100,1105210
seq,28,20,500,5761959
seq,28,50,100,26622249
seq,28,50,500,130675789
seq,32,20,100,1105627
seq,32,20,500,5770602
seq,32,50,100,26441604
seq,32,50,500,131399887
rayon,4,20,100,529618
rayon,4,20,500,1993007
rayon,4,50,100,8584136
rayon,4,50,500,43678119
rayon,8,20,100,547839
rayon,8,20,500,1300419
rayon,8,50,100,5491782
rayon,8,50,500,26949270
rayon,16,20,100,1445935
rayon,16,20,500,2522801
rayon,16,50,100,5325243
rayon,16,50,500,23745059
rayon,20,20,100,1924830
rayon,20,20,500,3320993
rayon,20,50,100,5452458
rayon,20,50,500,23246059
rayon,24,20,100,2488027
rayon,24,20,500,3884157
rayon,24,50,100,5733322
rayon,24,50,500,23517085
rayon,28,20,100,2889679
rayon,28,20,500,4696724
rayon,28,50,100,6321271
rayon,28,50,500,25190460
rayon,32,20,100,3630954
rayon,32,20,500,5269224
rayon,32,50,100,6831788
rayon,32,50,500,25542992
orx-once,4,20,100,636639
orx-once,4,20,500,2434517
orx-once,4,50,100,10125697
orx-once,4,50,500,47730629
orx-once,8,20,100,489722
orx-once,8,20,500,1588749
orx-once,8,50,100,6258761
orx-once,8,50,500,31484134
orx-once,16,20,100,1007139
orx-once,16,20,500,1655358
orx-once,16,50,100,5376897
orx-once,16,50,500,26120559
orx-once,20,20,100,1177948
orx-once,20,20,500,1914057
orx-once,20,50,100,5345892
orx-once,20,50,500,25184407
orx-once,24,20,100,1302928
orx-once,24,20,500,2248887
orx-once,24,50,100,5300178
orx-once,24,50,500,25847043
orx-once,28,20,100,1502697
orx-once,28,20,500,2430775
orx-once,28,50,100,5654277
orx-once,28,50,500,24621866
orx-once,32,20,100,1630338
orx-once,32,20,500,2810077
orx-once,32,50,100,5963811
orx-once,32,50,500,25147143
orx-basic,4,20,100,548505
orx-basic,4,20,500,2358449
orx-basic,4,50,100,9869893
orx-basic,4,50,500,48473345
orx-basic,8,20,100,528245
orx-basic,8,20,500,1303740
orx-basic,8,50,100,6057844
orx-basic,8,50,500,31445147
orx-basic,16,20,100,557341
orx-basic,16,20,500,1210991
orx-basic,16,50,100,5022963
orx-basic,16,50,500,25699250
orx-basic,20,20,100,616237
orx-basic,20,20,500,1212476
orx-basic,20,50,100,5225698
orx-basic,20,50,500,26336734
orx-basic,24,20,100,640684
orx-basic,24,20,500,1248305
orx-basic,24,50,100,4690072
orx-basic,24,50,500,25130279
orx-basic,28,20,100,550479
orx-basic,28,20,500,1309196
orx-basic,28,50,100,4783705
orx-basic,28,50,500,24289729
orx-basic,32,20,100,563826
orx-basic,32,20,500,1271159
orx-basic,32,50,100,4857144
orx-basic,32,50,500,24543988
orx-rayon,4,20,100,643023
orx-rayon,4,20,500,2489488
orx-rayon,4,50,100,10385124
orx-rayon,4,50,500,49595362
orx-rayon,8,20,100,767268
orx-rayon,8,20,500,1468298
orx-rayon,8,50,100,6297450
orx-rayon,8,50,500,32266841
orx-rayon,16,20,100,936646
orx-rayon,16,20,500,1696938
orx-rayon,16,50,100,5511065
orx-rayon,16,50,500,26831959
orx-rayon,20,20,100,1006131
orx-rayon,20,20,500,1834199
orx-rayon,20,50,100,5552828
orx-rayon,20,50,500,25212689
orx-rayon,24,20,100,1265002
orx-rayon,24,20,500,2152706
orx-rayon,24,50,100,5567840
orx-rayon,24,50,500,25020774
orx-rayon,28,20,100,1446859
orx-rayon,28,20,500,2353650
orx-rayon,28,50,100,5868753
orx-rayon,28,50,500,25547487
orx-rayon,32,20,100,1664096
orx-rayon,32,20,500,2644105
orx-rayon,32,50,100,5719238
orx-rayon,32,50,500,25025174
