method,num_threads,n,time (ns)
seq,4,2e16,437660
seq,4,2e20,542618
seq,8,2e16,428794
seq,8,2e20,537031
seq,16,2e16,417691
seq,16,2e20,542210
seq,20,2e16,409630
seq,20,2e20,514291
seq,24,2e16,412370
seq,24,2e20,512618
seq,28,2e16,409773
seq,28,2e20,512675
seq,32,2e16,411662
seq,32,2e20,516955
orx-once,4,2e16,238822
orx-once,4,2e20,264374
orx-once,8,2e16,340965
orx-once,8,2e20,369627
orx-once,16,2e16,677637
orx-once,16,2e20,768247
orx-once,20,2e16,720762
orx-once,20,2e20,964595
orx-once,24,2e16,704947
orx-once,24,2e20,933176
orx-once,28,2e16,732082
orx-once,28,2e20,1022802
orx-once,32,2e16,712690
orx-once,32,2e20,970061
orx-basic,4,2e16,199149
orx-basic,4,2e20,206560
orx-basic,8,2e16,145009
orx-basic,8,2e20,169168
orx-basic,16,2e16,185014
orx-basic,16,2e20,210806
orx-basic,20,2e16,211185
orx-basic,20,2e20,245089
orx-basic,24,2e16,187953
orx-basic,24,2e20,243294
orx-basic,28,2e16,185425
orx-basic,28,2e20,231847
orx-basic,32,2e16,189502
orx-basic,32,2e20,226881
orx-rayon,4,2e16,223224
orx-rayon,4,2e20,239082
orx-rayon,8,2e16,271363
orx-rayon,8,2e20,305095
orx-rayon,16,2e16,626237
orx-rayon,16,2e20,661311
orx-rayon,20,2e16,612569
orx-rayon,20,2e20,857197
orx-rayon,24,2e16,677995
orx-rayon,24,2e20,855556
orx-rayon,28,2e16,706665
orx-rayon,28,2e20,896741
orx-rayon,32,2e16,713182
orx-rayon,32,2e20,925251
rayon,4,2e16,222921
rayon,4,2e20,252034
rayon,8,2e16,364263
rayon,8,2e20,335965
rayon,16,2e16,584240
rayon,16,2e20,610699
rayon,20,2e16,749727
rayon,20,2e20,805652
rayon,24,2e16,927895
rayon,24,2e20,991100
rayon,28,2e16,1163103
rayon,28,2e20,1250882
rayon,32,2e16,1358490
rayon,32,2e20,1459491
