method,num_threads,n,dataset,time (ns)
seq,4,2e16,hash-map,509849
seq,4,2e16,hash-set,503765
seq,4,2e20,hash-map,630324
seq,4,2e20,hash-set,626305
seq,8,2e16,hash-map,523906
seq,8,2e16,hash-set,514833
seq,8,2e20,hash-map,646809
seq,8,2e20,hash-set,710597
seq,16,2e16,hash-map,508496
seq,16,2e16,hash-set,510962
seq,16,2e20,hash-map,639107
seq,16,2e20,hash-set,646769
orx-once,4,2e16,hash-map,318954
orx-once,4,2e16,hash-set,277757
orx-once,4,2e20,hash-map,327928
orx-once,4,2e20,hash-set,326432
orx-once,8,2e16,hash-map,459978
orx-once,8,2e16,hash-set,443406
orx-once,8,2e20,hash-map,479220
orx-once,8,2e20,hash-set,523608
orx-once,16,2e16,hash-map,808289
orx-once,16,2e16,hash-set,906810
orx-once,16,2e20,hash-map,942384
orx-once,16,2e20,hash-set,891326
orx-basic,4,2e16,hash-map,223032
orx-basic,4,2e16,hash-set,237493
orx-basic,4,2e20,hash-map,271004
orx-basic,4,2e20,hash-set,274220
orx-basic,8,2e16,hash-map,193001
orx-basic,8,2e16,hash-set,184982
orx-basic,8,2e20,hash-map,203523
orx-basic,8,2e20,hash-set,207729
orx-basic,16,2e16,hash-map,198389
orx-basic,16,2e16,hash-set,206914
orx-basic,16,2e20,hash-map,222347
orx-basic,16,2e20,hash-set,295605
orx-rayon,4,2e16,hash-map,278420
orx-rayon,4,2e16,hash-set,273535
orx-rayon,4,2e20,hash-map,314160
orx-rayon,4,2e20,hash-set,314611
orx-rayon,8,2e16,hash-map,304252
orx-rayon,8,2e16,hash-set,293150
orx-rayon,8,2e20,hash-map,314874
orx-rayon,8,2e20,hash-set,306162
orx-rayon,16,2e16,hash-map,607596
orx-rayon,16,2e16,hash-set,612609
orx-rayon,16,2e20,hash-map,640211
orx-rayon,16,2e20,hash-set,657493
rayon,4,2e16,hash-map,266006
rayon,4,2e16,hash-set,271742
rayon,4,2e20,hash-map,319949
rayon,4,2e20,hash-set,308958
rayon,8,2e16,hash-map,341669
rayon,8,2e16,hash-set,356519
rayon,8,2e20,hash-map,357150
rayon,8,2e20,hash-set,349214
rayon,16,2e16,hash-map,650599
rayon,16,2e16,hash-set,686556
rayon,16,2e20,hash-map,686276
rayon,16,2e20,hash-set,682303
