method,num_threads,n,task,time (ns)
seq,4,2e16,heavy,3186581
seq,4,2e16,light,224179
seq,4,2e20,heavy,47257316
seq,4,2e20,light,3425426
seq,8,2e16,heavy,2918461
seq,8,2e16,light,214118
seq,8,2e20,heavy,44270954
seq,8,2e20,light,3408567
seq,16,2e16,heavy,2786259
seq,16,2e16,light,182881
seq,16,2e20,heavy,43176565
seq,16,2e20,light,3269813
rayon,4,2e16,heavy,1163766
rayon,4,2e16,light,321741
rayon,4,2e20,heavy,19830445
rayon,4,2e20,light,2815465
rayon,8,2e16,heavy,1188542
rayon,8,2e16,light,510763
rayon,8,2e20,heavy,12460651
rayon,8,2e20,light,2527635
rayon,16,2e16,heavy,4049719
rayon,16,2e16,light,4367524
rayon,16,2e20,heavy,9935851
rayon,16,2e20,light,3694134
orx-once,4,2e16,heavy,1365227
orx-once,4,2e16,light,340838
orx-once,4,2e20,heavy,17761040
orx-once,4,2e20,light,1941719
orx-once,8,2e16,heavy,953530
orx-once,8,2e16,light,511591
orx-once,8,2e20,heavy,11553872
orx-once,8,2e20,light,1611636
orx-once,16,2e16,heavy,1527151
orx-once,16,2e16,light,931773
orx-once,16,2e20,heavy,9366311
orx-once,16,2e20,light,1950670
orx-basic,4,2e16,heavy,1439599
orx-basic,4,2e16,light,391259
orx-basic,4,2e20,heavy,17907571
orx-basic,4,2e20,light,3418079
orx-basic,8,2e16,heavy,1141725
orx-basic,8,2e16,light,352710
orx-basic,8,2e20,heavy,12550991
orx-basic,8,2e20,light,3416703
orx-basic,16,2e16,heavy,1128027
orx-basic,16,2e16,light,399963
orx-basic,16,2e20,heavy,13380739
orx-basic,16,2e20,light,3069472
orx-rayon,4,2e16,heavy,1073056
orx-rayon,4,2e16,light,402170
orx-rayon,4,2e20,heavy,13674005
orx-rayon,4,2e20,light,2343905
orx-rayon,8,2e16,heavy,940402
orx-rayon,8,2e16,light,602105
orx-rayon,8,2e20,heavy,10465936
orx-rayon,8,2e20,light,3666309
orx-rayon,16,2e16,heavy,1054571
orx-rayon,16,2e16,light,906946
orx-rayon,16,2e20,heavy,8373651
orx-rayon,16,2e20,light,2350262
rayon-vec2,4,2e16,heavy,1334629
rayon-vec2,4,2e16,light,369129
rayon-vec2,4,2e20,heavy,22173870
rayon-vec2,4,2e20,light,2621136
rayon-vec2,8,2e16,heavy,1289616
rayon-vec2,8,2e16,light,486399
rayon-vec2,8,2e20,heavy,14543010
rayon-vec2,8,2e20,light,2529893
rayon-vec2,16,2e16,heavy,2979835
rayon-vec2,16,2e16,light,3703812
rayon-vec2,16,2e20,heavy,10577209
rayon-vec2,16,2e20,light,3087172
orx-once-vec2,4,2e16,heavy,1326223
orx-once-vec2,4,2e16,light,333115
orx-once-vec2,4,2e20,heavy,18943085
orx-once-vec2,4,2e20,light,2153175
orx-once-vec2,8,2e16,heavy,1084586
orx-once-vec2,8,2e16,light,570451
orx-once-vec2,8,2e20,heavy,13442492
orx-once-vec2,8,2e20,light,1803406
orx-once-vec2,16,2e16,heavy,1684415
orx-once-vec2,16,2e16,light,983266
orx-once-vec2,16,2e20,heavy,10514848
orx-once-vec2,16,2e20,light,2718567
orx-basic-vec2,4,2e16,heavy,1638918
orx-basic-vec2,4,2e16,light,399579
orx-basic-vec2,4,2e20,heavy,21011938
orx-basic-vec2,4,2e20,light,4163772
orx-basic-vec2,8,2e16,heavy,1343410
orx-basic-vec2,8,2e16,light,395319
orx-basic-vec2,8,2e20,heavy,13818133
orx-basic-vec2,8,2e20,light,3015557
orx-basic-vec2,16,2e16,heavy,1452090
orx-basic-vec2,16,2e16,light,404700
orx-basic-vec2,16,2e20,heavy,14628359
orx-basic-vec2,16,2e20,light,3349955
orx-rayon-vec2,4,2e16,heavy,1150696
orx-rayon-vec2,4,2e16,light,486824
orx-rayon-vec2,4,2e20,heavy,14837548
orx-rayon-vec2,4,2e20,light,5242500
orx-rayon-vec2,8,2e16,heavy,1045026
orx-rayon-vec2,8,2e16,light,579055
orx-rayon-vec2,8,2e20,heavy,10024171
orx-rayon-vec2,8,2e20,light,2884343
orx-rayon-vec2,16,2e16,heavy,1296227
orx-rayon-vec2,16,2e16,light,926380
orx-rayon-vec2,16,2e20,heavy,8878278
orx-rayon-vec2,16,2e20,light,3110617
