t,i,a,n,task,method,time (ns)
1,1,1,2e16,light,seq-vec,196738
2,1,2,2e16,light,rayon-vec-1,570601
3,1,3,2e16,light,rayon-veclist-1,538734
4,1,4,2e16,light,orx-vec-1,201952
5,1,5,2e16,light,orx-arb-vec-1,195168
6,1,6,2e16,light,orx-arb-vec2-1,190677
7,1,7,2e16,light,orx-vec-fixed-1,199673
8,1,8,2e16,light,rayon-vec-4,554211
9,1,9,2e16,light,rayon-veclist-4,539842
10,1,10,2e16,light,orx-vec-4,305737
11,1,11,2e16,light,orx-arb-vec-4,305908
12,1,12,2e16,light,orx-arb-vec2-4,309448
13,1,13,2e16,light,orx-vec-fixed-4,321891
14,1,14,2e16,light,rayon-vec-16,6167281
15,1,15,2e16,light,rayon-veclist-16,6604534
16,1,16,2e16,light,orx-vec-16,1124279
17,1,17,2e16,light,orx-arb-vec-16,1146859
18,1,18,2e16,light,orx-arb-vec2-16,1099012
19,1,19,2e16,light,orx-vec-fixed-16,1133611
20,2,1,2e16,heavy,seq-vec,4271473
21,2,2,2e16,heavy,rayon-vec-1,4292596
22,2,3,2e16,heavy,rayon-veclist-1,4198515
23,2,4,2e16,heavy,orx-vec-1,4003526
24,2,5,2e16,heavy,orx-arb-vec-1,4060726
25,2,6,2e16,heavy,orx-arb-vec2-1,4117279
26,2,7,2e16,heavy,orx-vec-fixed-1,3983184
27,2,8,2e16,heavy,rayon-vec-4,1638616
28,2,9,2e16,heavy,rayon-veclist-4,1696888
29,2,10,2e16,heavy,orx-vec-4,1541792
30,2,11,2e16,heavy,orx-arb-vec-4,1578317
31,2,12,2e16,heavy,orx-arb-vec2-4,1569772
32,2,13,2e16,heavy,orx-vec-fixed-4,1590551
33,2,14,2e16,heavy,rayon-vec-16,4140012
34,2,15,2e16,heavy,rayon-veclist-16,3671762
35,2,16,2e16,heavy,orx-vec-16,1914634
36,2,17,2e16,heavy,orx-arb-vec-16,1806210
37,2,18,2e16,heavy,orx-arb-vec2-16,1779576
38,2,19,2e16,heavy,orx-vec-fixed-16,1856444
39,3,1,2e20,light,seq-vec,3413466
40,3,2,2e20,light,rayon-vec-1,9364010
41,3,3,2e20,light,rayon-veclist-1,7812073
42,3,4,2e20,light,orx-vec-1,3914436
43,3,5,2e20,light,orx-arb-vec-1,3639995
44,3,6,2e20,light,orx-arb-vec2-1,3230866
45,3,7,2e20,light,orx-vec-fixed-1,4284845
46,3,8,2e20,light,rayon-vec-4,4357921
47,3,9,2e20,light,rayon-veclist-4,2844423
48,3,10,2e20,light,orx-vec-4,2286690
49,3,11,2e20,light,orx-arb-vec-4,2137384
50,3,12,2e20,light,orx-arb-vec2-4,1559917
51,3,13,2e20,light,orx-vec-fixed-4,2248155
52,3,14,2e20,light,rayon-vec-16,5992718
53,3,15,2e20,light,rayon-veclist-16,8135486
54,3,16,2e20,light,orx-vec-16,2493850
55,3,17,2e20,light,orx-arb-vec-16,2508698
56,3,18,2e20,light,orx-arb-vec2-16,2140263
57,3,19,2e20,light,orx-vec-fixed-16,2458669
58,4,1,2e20,heavy,seq-vec,66699215
59,4,2,2e20,heavy,rayon-vec-1,65907233
60,4,3,2e20,heavy,rayon-veclist-1,65664355
61,4,4,2e20,heavy,orx-vec-1,63078971
62,4,5,2e20,heavy,orx-arb-vec-1,65211769
63,4,6,2e20,heavy,orx-arb-vec2-1,63611634
64,4,7,2e20,heavy,orx-vec-fixed-1,62822691
65,4,8,2e20,heavy,rayon-vec-4,19948804
66,4,9,2e20,heavy,rayon-veclist-4,19771636
67,4,10,2e20,heavy,orx-vec-4,20018679
68,4,11,2e20,heavy,orx-arb-vec-4,20463328
69,4,12,2e20,heavy,orx-arb-vec2-4,19819151
70,4,13,2e20,heavy,orx-vec-fixed-4,19788477
71,4,14,2e20,heavy,rayon-vec-16,13796575
72,4,15,2e20,heavy,rayon-veclist-16,13711517
73,4,16,2e20,heavy,orx-vec-16,9713493
74,4,17,2e20,heavy,orx-arb-vec-16,10635606
75,4,18,2e20,heavy,orx-arb-vec2-16,10066526
76,4,19,2e20,heavy,orx-vec-fixed-16,9783981
