t,i,a,n,method,time (ns)
1,1,1,2e16,seq-vec,176486
2,1,2,2e16,rayon-vec-1,289123
3,1,3,2e16,rayon-veclist-1,264034
4,1,4,2e16,orx-vec-1,203493
5,1,5,2e16,orx-arb-vec-1,193391
6,1,6,2e16,orx-arb-vec2-1,187133
7,1,7,2e16,orx-vec-fixed-1,200404
8,1,8,2e16,rayon-vec-4,476656
9,1,9,2e16,rayon-veclist-4,478611
10,1,10,2e16,orx-vec-4,305413
11,1,11,2e16,orx-arb-vec-4,299585
12,1,12,2e16,orx-arb-vec2-4,325168
13,1,13,2e16,orx-vec-fixed-4,320343
14,1,14,2e16,rayon-vec-16,6408473
15,1,15,2e16,rayon-veclist-16,6672890
16,1,16,2e16,orx-vec-16,1161778
17,1,17,2e16,orx-arb-vec-16,1161519
18,1,18,2e16,orx-arb-vec2-16,1101815
19,1,19,2e16,orx-vec-fixed-16,1146936
20,2,1,2e20,seq-vec,2988523
21,2,2,2e20,rayon-vec-1,4557343
22,2,3,2e20,rayon-veclist-1,3352395
23,2,4,2e20,orx-vec-1,3771804
24,2,5,2e20,orx-arb-vec-1,3384365
25,2,6,2e20,orx-arb-vec2-1,2958534
26,2,7,2e20,orx-vec-fixed-1,3470371
27,2,8,2e20,rayon-vec-4,2497248
28,2,9,2e20,rayon-veclist-4,1550293
29,2,10,2e20,orx-vec-4,2182093
30,2,11,2e20,orx-arb-vec-4,2041433
31,2,12,2e20,orx-arb-vec2-4,1473699
32,2,13,2e20,orx-vec-fixed-4,2219379
33,2,14,2e20,rayon-vec-16,8737959
34,2,15,2e20,rayon-veclist-16,8599503
35,2,16,2e20,orx-vec-16,2355478
36,2,17,2e20,orx-arb-vec-16,2411062
37,2,18,2e20,orx-arb-vec2-16,2057269
38,2,19,2e20,orx-vec-fixed-16,2714311
