method,num_threads,n,task,time (ns)
seq,4,2e16,heavy,2550234
seq,4,2e16,light,150187
seq,4,2e20,heavy,38487745
seq,4,2e20,light,2334460
seq,8,2e16,heavy,2335996
seq,8,2e16,light,135582
seq,8,2e20,heavy,37713742
seq,8,2e20,light,2360148
seq,16,2e16,heavy,2375672
seq,16,2e16,light,130477
seq,16,2e20,heavy,37249420
seq,16,2e20,light,2317337
seq,20,2e16,heavy,2689668
seq,20,2e16,light,152888
seq,20,2e20,heavy,40207076
seq,20,2e20,light,2537198
seq,24,2e16,heavy,2453345
seq,24,2e16,light,135724
seq,24,2e20,heavy,40310307
seq,24,2e20,light,2471364
seq,28,2e16,heavy,2474111
seq,28,2e16,light,149150
seq,28,2e20,heavy,39731060
seq,28,2e20,light,2565661
seq,32,2e16,heavy,2490006
seq,32,2e16,light,133616
seq,32,2e20,heavy,39718563
seq,32,2e20,light,2491397
rayon,4,2e16,heavy,1229328
rayon,4,2e16,light,247648
rayon,4,2e20,heavy,22978146
rayon,4,2e20,light,1776189
rayon,8,2e16,heavy,1104943
rayon,8,2e16,light,517820
rayon,8,2e20,heavy,16058148
rayon,8,2e20,light,1927006
rayon,16,2e16,heavy,2303629
rayon,16,2e16,light,4602857
rayon,16,2e20,heavy,14151003
rayon,16,2e20,light,4209411
rayon,20,2e16,heavy,4446857
rayon,20,2e16,light,6868810
rayon,20,2e20,heavy,15783209
rayon,20,2e20,light,6410773
rayon,24,2e16,heavy,8264513
rayon,24,2e16,light,9351761
rayon,24,2e20,heavy,16509951
rayon,24,2e20,light,13643741
rayon,28,2e16,heavy,11163247
rayon,28,2e16,light,12182482
rayon,28,2e20,heavy,16811905
rayon,28,2e20,light,19383256
rayon,32,2e16,heavy,13666935
rayon,32,2e16,light,14290211
rayon,32,2e20,heavy,18136490
rayon,32,2e20,light,22259660
orx-once,4,2e16,heavy,1843675
orx-once,4,2e16,light,388715
orx-once,4,2e20,heavy,25444563
orx-once,4,2e20,light,2149617
orx-once,8,2e16,heavy,1204901
orx-once,8,2e16,light,538885
orx-once,8,2e20,heavy,16071766
orx-once,8,2e20,light,2165916
orx-once,16,2e16,heavy,1641845
orx-once,16,2e16,light,1009634
orx-once,16,2e20,heavy,12861466
orx-once,16,2e20,light,3192404
orx-once,20,2e16,heavy,1869945
orx-once,20,2e16,light,1207430
orx-once,20,2e20,heavy,11742935
orx-once,20,2e20,light,3632448
orx-once,24,2e16,heavy,2278935
orx-once,24,2e16,light,1557672
orx-once,24,2e20,heavy,12491074
orx-once,24,2e20,light,4043481
orx-once,28,2e16,heavy,2596007
orx-once,28,2e16,light,1835483
orx-once,28,2e20,heavy,12528000
orx-once,28,2e20,light,4016088
orx-once,32,2e16,heavy,3010897
orx-once,32,2e16,light,2099122
orx-once,32,2e20,heavy,12577601
orx-once,32,2e20,light,5469288
orx-basic,4,2e16,heavy,1523142
orx-basic,4,2e16,light,352427
orx-basic,4,2e20,heavy,23485810
orx-basic,4,2e20,light,3085703
orx-basic,8,2e16,heavy,1159136
orx-basic,8,2e16,light,401543
orx-basic,8,2e20,heavy,16519979
orx-basic,8,2e20,light,4139488
orx-basic,16,2e16,heavy,1438011
orx-basic,16,2e16,light,450633
orx-basic,16,2e20,heavy,15253663
orx-basic,16,2e20,light,3920857
orx-basic,20,2e16,heavy,1645661
orx-basic,20,2e16,light,512277
orx-basic,20,2e20,heavy,15958356
orx-basic,20,2e20,light,4039589
orx-basic,24,2e16,heavy,1581828
orx-basic,24,2e16,light,595098
orx-basic,24,2e20,heavy,13983295
orx-basic,24,2e20,light,4116744
orx-basic,28,2e16,heavy,1531775
orx-basic,28,2e16,light,627790
orx-basic,28,2e20,heavy,11826611
orx-basic,28,2e20,light,4757310
orx-basic,32,2e16,heavy,1701287
orx-basic,32,2e16,light,724075
orx-basic,32,2e20,heavy,13383133
orx-basic,32,2e20,light,4785620
orx-rayon,4,2e16,heavy,1356584
orx-rayon,4,2e16,light,400685
orx-rayon,4,2e20,heavy,19151914
orx-rayon,4,2e20,light,3765536
orx-rayon,8,2e16,heavy,952741
orx-rayon,8,2e16,light,493919
orx-rayon,8,2e20,heavy,13373198
orx-rayon,8,2e20,light,3270315
orx-rayon,16,2e16,heavy,1212172
orx-rayon,16,2e16,light,1006951
orx-rayon,16,2e20,heavy,11029960
orx-rayon,16,2e20,light,2646561
orx-rayon,20,2e16,heavy,1608777
orx-rayon,20,2e16,light,1315016
orx-rayon,20,2e20,heavy,11364220
orx-rayon,20,2e20,light,3855985
orx-rayon,24,2e16,heavy,1901557
orx-rayon,24,2e16,light,1565620
orx-rayon,24,2e20,heavy,11165169
orx-rayon,24,2e20,light,3375808
orx-rayon,28,2e16,heavy,2131539
orx-rayon,28,2e16,light,1795790
orx-rayon,28,2e20,heavy,11342116
orx-rayon,28,2e20,light,4242734
orx-rayon,32,2e16,heavy,2443146
orx-rayon,32,2e16,light,2047143
orx-rayon,32,2e20,heavy,12397188
orx-rayon,32,2e20,light,5655242
rayon-vec2,4,2e16,heavy,1457613
rayon-vec2,4,2e16,light,283314
rayon-vec2,4,2e20,heavy,17572766
rayon-vec2,4,2e20,light,1455928
rayon-vec2,8,2e16,heavy,1012912
rayon-vec2,8,2e16,light,492286
rayon-vec2,8,2e20,heavy,11490058
rayon-vec2,8,2e20,light,1411909
rayon-vec2,16,2e16,heavy,4487083
rayon-vec2,16,2e16,light,4503608
rayon-vec2,16,2e20,heavy,11073009
rayon-vec2,16,2e20,light,3974960
rayon-vec2,20,2e16,heavy,6433475
rayon-vec2,20,2e16,light,6597329
rayon-vec2,20,2e20,heavy,11685988
rayon-vec2,20,2e20,light,8058100
rayon-vec2,24,2e16,heavy,8287185
rayon-vec2,24,2e16,light,8941985
rayon-vec2,24,2e20,heavy,12098032
rayon-vec2,24,2e20,light,14148572
rayon-vec2,28,2e16,heavy,10874243
rayon-vec2,28,2e16,light,11427456
rayon-vec2,28,2e20,heavy,13394511
rayon-vec2,28,2e20,light,18132810
rayon-vec2,32,2e16,heavy,13053182
rayon-vec2,32,2e16,light,13912244
rayon-vec2,32,2e20,heavy,15315796
rayon-vec2,32,2e20,light,21576549
orx-once-vec2,4,2e16,heavy,1646616
orx-once-vec2,4,2e16,light,336724
orx-once-vec2,4,2e20,heavy,23676826
orx-once-vec2,4,2e20,light,2010145
orx-once-vec2,8,2e16,heavy,1156907
orx-once-vec2,8,2e16,light,530554
orx-once-vec2,8,2e20,heavy,16082420
