method,num_threads,n,task,time (ns)
seq,4,2e16,heavy,3217779
seq,4,2e16,light,73912
seq,4,2e20,heavy,43855809
seq,4,2e20,light,1056527
seq,8,2e16,heavy,2503057
seq,8,2e16,light,81501
seq,8,2e20,heavy,39904369
seq,8,2e20,light,1104160
seq,16,2e16,heavy,2480388
seq,16,2e16,light,82020
seq,16,2e20,heavy,39253439
seq,16,2e20,light,1113618
seq,32,2e16,heavy,2400100
seq,32,2e16,light,80714
seq,32,2e20,heavy,38452222
seq,32,2e20,light,1184538
rayon,4,2e16,heavy,1390133
rayon,4,2e16,light,213389
rayon,4,2e20,heavy,19814358
rayon,4,2e20,light,1290744
rayon,8,2e16,heavy,1125257
rayon,8,2e16,light,470584
rayon,8,2e20,heavy,14407844
rayon,8,2e20,light,1545322
rayon,16,2e16,heavy,3261532
rayon,16,2e16,light,4807996
rayon,16,2e20,heavy,12625840
rayon,16,2e20,light,7165288
rayon,32,2e16,heavy,12612210
rayon,32,2e16,light,13314218
rayon,32,2e20,heavy,17126804
rayon,32,2e20,light,20884779
orx-once,4,2e16,heavy,1401839
orx-once,4,2e16,light,345759
orx-once,4,2e20,heavy,18443751
orx-once,4,2e20,light,1529789
orx-once,8,2e16,heavy,1112219
orx-once,8,2e16,light,462905
orx-once,8,2e20,heavy,13424218
orx-once,8,2e20,light,1423511
orx-once,16,2e16,heavy,1705083
orx-once,16,2e16,light,895028
orx-once,16,2e20,heavy,10905177
orx-once,16,2e20,light,2259890
orx-once,32,2e16,heavy,3043723
orx-once,32,2e16,light,1794997
orx-once,32,2e20,heavy,11641506
orx-once,32,2e20,light,4255239
orx-basic,4,2e16,heavy,1657118
orx-basic,4,2e16,light,351618
orx-basic,4,2e20,heavy,22863997
orx-basic,4,2e20,light,2999914
orx-basic,8,2e16,heavy,1115655
orx-basic,8,2e16,light,599715
orx-basic,8,2e20,heavy,16522893
orx-basic,8,2e20,light,5790574
orx-basic,16,2e16,heavy,1463179
orx-basic,16,2e16,light,395932
orx-basic,16,2e20,heavy,13995699
orx-basic,16,2e20,light,4897350
orx-basic,32,2e16,heavy,1800878
orx-basic,32,2e16,light,745353
orx-basic,32,2e20,heavy,13911166
orx-basic,32,2e20,light,6121937
orx-rayon,4,2e16,heavy,1296238
orx-rayon,4,2e16,light,442652
orx-rayon,4,2e20,heavy,16534974
orx-rayon,4,2e20,light,3214664
orx-rayon,8,2e16,heavy,955554
orx-rayon,8,2e16,light,453360
orx-rayon,8,2e20,heavy,11396612
orx-rayon,8,2e20,light,1829622
orx-rayon,16,2e16,heavy,1363294
orx-rayon,16,2e16,light,1013279
orx-rayon,16,2e20,heavy,10296819
orx-rayon,16,2e20,light,2830077
orx-rayon,32,2e16,heavy,2409518
orx-rayon,32,2e16,light,2033195
orx-rayon,32,2e20,heavy,11139405
orx-rayon,32,2e20,light,3584397
rayon-vec2,4,2e16,heavy,1942264
rayon-vec2,4,2e16,light,244896
rayon-vec2,4,2e20,heavy,22666861
rayon-vec2,4,2e20,light,762016
rayon-vec2,8,2e16,heavy,1317015
rayon-vec2,8,2e16,light,555764
rayon-vec2,8,2e20,heavy,15328862
rayon-vec2,8,2e20,light,1363584
rayon-vec2,16,2e16,heavy,3908030
rayon-vec2,16,2e16,light,4892494
rayon-vec2,16,2e20,heavy,12686905
rayon-vec2,16,2e20,light,5323563
rayon-vec2,32,2e16,heavy,12870688
rayon-vec2,32,2e16,light,13465294
rayon-vec2,32,2e20,heavy,15909208
rayon-vec2,32,2e20,light,21230165
orx-once-vec2,4,2e16,heavy,1306480
orx-once-vec2,4,2e16,light,344822
orx-once-vec2,4,2e20,heavy,17516305
orx-once-vec2,4,2e20,light,1493192
orx-once-vec2,8,2e16,heavy,1093736
orx-once-vec2,8,2e16,light,514617
orx-once-vec2,8,2e20,heavy,12659960
orx-once-vec2,8,2e20,light,1404681
orx-once-vec2,16,2e16,heavy,1671024
orx-once-vec2,16,2e16,light,879858
orx-once-vec2,16,2e20,heavy,11011839
orx-once-vec2,16,2e20,light,2455030
orx-once-vec2,32,2e16,heavy,2916718
orx-once-vec2,32,2e16,light,1775787
orx-once-vec2,32,2e20,heavy,11620395
orx-once-vec2,32,2e20,light,3764831
orx-basic-vec2,4,2e16,heavy,1701997
orx-basic-vec2,4,2e16,light,363723
orx-basic-vec2,4,2e20,heavy,23235106
orx-basic-vec2,4,2e20,light,4805237
orx-basic-vec2,8,2e16,heavy,1237397
orx-basic-vec2,8,2e16,light,376869
orx-basic-vec2,8,2e20,heavy,17669774
