method,num_threads,n,task,time (ns)
seq,4,2e16,heavy,44863965
seq,4,2e16,light,732883
seq,4,2e20,heavy,669262120
seq,4,2e20,light,31106488
seq,8,2e16,heavy,45398019
seq,8,2e16,light,656030
seq,8,2e20,heavy,687918722
seq,8,2e20,light,27978956
seq,16,2e16,heavy,42349755
seq,16,2e16,light,619622
seq,16,2e20,heavy,662304223
seq,16,2e20,light,26905117
rayon,4,2e16,heavy,8884943
rayon,4,2e16,light,566578
rayon,4,2e20,heavy,183502804
rayon,4,2e20,light,29957499
rayon,8,2e16,heavy,6626550
rayon,8,2e16,light,888760
rayon,8,2e20,heavy,132920838
rayon,8,2e20,light,29671776
rayon,16,2e16,heavy,5937691
rayon,16,2e16,light,4879431
rayon,16,2e20,heavy,109645578
rayon,16,2e20,light,36840797
orx-once,4,2e16,heavy,11418539
orx-once,4,2e16,light,583064
orx-once,4,2e20,heavy,199318878
orx-once,4,2e20,light,28716363
orx-once,8,2e16,heavy,7322085
orx-once,8,2e16,light,977746
orx-once,8,2e20,heavy,147201492
orx-once,8,2e20,light,29185006
orx-once,16,2e16,heavy,5576529
orx-once,16,2e16,light,1393607
orx-once,16,2e20,heavy,117460866
orx-once,16,2e20,light,29032643
orx-basic,4,2e16,heavy,11938745
orx-basic,4,2e16,light,579837
orx-basic,4,2e20,heavy,203901204
orx-basic,4,2e20,light,30287707
orx-basic,8,2e16,heavy,7049644
orx-basic,8,2e16,light,526819
orx-basic,8,2e20,heavy,144787505
orx-basic,8,2e20,light,28943617
orx-basic,16,2e16,heavy,4875525
orx-basic,16,2e16,light,702049
orx-basic,16,2e20,heavy,110168530
orx-basic,16,2e20,light,30501456
orx-rayon,4,2e16,heavy,11449750
orx-rayon,4,2e16,light,677667
orx-rayon,4,2e20,heavy,215270001
orx-rayon,4,2e20,light,31859644
orx-rayon,8,2e16,heavy,7661063
orx-rayon,8,2e16,light,733435
orx-rayon,8,2e20,heavy,149421766
orx-rayon,8,2e20,light,29212857
orx-rayon,16,2e16,heavy,5486448
orx-rayon,16,2e16,light,1374292
orx-rayon,16,2e20,heavy,117490770
orx-rayon,16,2e20,light,32577811
rayon-vec2,4,2e16,heavy,16222072
rayon-vec2,4,2e16,light,486454
rayon-vec2,4,2e20,heavy,245047694
rayon-vec2,4,2e20,light,5396715
rayon-vec2,8,2e16,heavy,9924243
rayon-vec2,8,2e16,light,638444
rayon-vec2,8,2e20,heavy,161600779
rayon-vec2,8,2e20,light,3879274
rayon-vec2,16,2e16,heavy,6441940
rayon-vec2,16,2e16,light,4172427
rayon-vec2,16,2e20,heavy,101538890
rayon-vec2,16,2e20,light,6473163
orx-once-vec2,4,2e16,heavy,14515266
orx-once-vec2,4,2e16,light,621530
orx-once-vec2,4,2e20,heavy,233558772
orx-once-vec2,4,2e20,light,29288962
orx-once-vec2,8,2e16,heavy,8643332
orx-once-vec2,8,2e16,light,807900
orx-once-vec2,8,2e20,heavy,173746389
orx-once-vec2,8,2e20,light,29988245
orx-once-vec2,16,2e16,heavy,6198600
orx-once-vec2,16,2e16,light,1472129
orx-once-vec2,16,2e20,heavy,128366127
orx-once-vec2,16,2e20,light,31353571
orx-basic-vec2,4,2e16,heavy,12302129
orx-basic-vec2,4,2e16,light,646876
orx-basic-vec2,4,2e20,heavy,213727206
orx-basic-vec2,4,2e20,light,32160312
orx-basic-vec2,8,2e16,heavy,7631047
orx-basic-vec2,8,2e16,light,566828
orx-basic-vec2,8,2e20,heavy,149774428
orx-basic-vec2,8,2e20,light,28729642
orx-basic-vec2,16,2e16,heavy,5075583
orx-basic-vec2,16,2e16,light,737100
orx-basic-vec2,16,2e20,heavy,114442041
orx-basic-vec2,16,2e20,light,31965091
orx-rayon-vec2,4,2e16,heavy,11871117
orx-rayon-vec2,4,2e16,light,622667
orx-rayon-vec2,4,2e20,heavy,205041914
orx-rayon-vec2,4,2e20,light,30036317
orx-rayon-vec2,8,2e16,heavy,7392220
orx-rayon-vec2,8,2e16,light,825872
orx-rayon-vec2,8,2e20,heavy,147748918
orx-rayon-vec2,8,2e20,light,30806093
orx-rayon-vec2,16,2e16,heavy,5332748
orx-rayon-vec2,16,2e16,light,1214534
orx-rayon-vec2,16,2e20,heavy,117164399
orx-rayon-vec2,16,2e20,light,30957369
