t,i,a,n,method,time (ns)
1,1,1,2e16,seq-vec,13372
2,1,2,2e16,rayon-vec-1,92386
3,1,3,2e16,rayon-veclist-1,89787
4,1,4,2e16,orx-vec-1,83274
5,1,5,2e16,orx-arb-vec-1,80355
6,1,6,2e16,orx-arb-vec2-1,71368
7,1,7,2e16,orx-vec-fixed-1,84130
8,1,8,2e16,rayon-vec-4,318828
9,1,9,2e16,rayon-veclist-4,340099
10,1,10,2e16,orx-vec-4,199474
11,1,11,2e16,orx-arb-vec-4,197920
12,1,12,2e16,orx-arb-vec2-4,167110
13,1,13,2e16,orx-vec-fixed-4,210997
14,1,14,2e16,rayon-vec-16,6138931
15,1,15,2e16,rayon-veclist-16,6573591
16,1,16,2e16,orx-vec-16,813428
17,1,17,2e16,orx-arb-vec-16,781758
18,1,18,2e16,orx-arb-vec2-16,714389
19,1,19,2e16,orx-vec-fixed-16,647847
20,2,1,2e20,seq-vec,471297
21,2,2,2e20,rayon-vec-1,659587
22,2,3,2e20,rayon-veclist-1,639254
23,2,4,2e20,orx-vec-1,1758659
24,2,5,2e20,orx-arb-vec-1,1783889
25,2,6,2e20,orx-arb-vec2-1,1184342
26,2,7,2e20,orx-vec-fixed-1,1742067
27,2,8,2e20,rayon-vec-4,632736
28,2,9,2e20,rayon-veclist-4,637173
29,2,10,2e20,orx-vec-4,1232304
30,2,11,2e20,orx-arb-vec-4,1121695
31,2,12,2e20,orx-arb-vec2-4,456301
32,2,13,2e20,orx-vec-fixed-4,1367494
33,2,14,2e20,rayon-vec-16,7625357
34,2,15,2e20,rayon-veclist-16,6649223
35,2,16,2e20,orx-vec-16,2191434
36,2,17,2e20,orx-arb-vec-16,2121439
37,2,18,2e20,orx-arb-vec2-16,1299960
38,2,19,2e20,orx-vec-fixed-16,2279569
