t,i,a,n,task,method,time (ns)
1,1,1,2e16,light,seq-vec,508393
2,1,2,2e16,light,rayon-vec-1,1022184
3,1,3,2e16,light,rayon-veclist-1,624161
4,1,4,2e16,light,orx-vec-1,706319
5,1,5,2e16,light,orx-arb-vec-1,719240
6,1,6,2e16,light,orx-arb-vec2-1,492645
7,1,7,2e16,light,orx-vec-fixed-1,741387
8,1,8,2e16,light,rayon-vec-4,825246
9,1,9,2e16,light,rayon-veclist-4,637471
10,1,10,2e16,light,orx-vec-4,673650
11,1,11,2e16,light,orx-arb-vec-4,594097
12,1,12,2e16,light,orx-arb-vec2-4,350777
13,1,13,2e16,light,orx-vec-fixed-4,640915
14,1,14,2e16,light,rayon-vec-16,7040227
15,1,15,2e16,light,rayon-veclist-16,7105721
16,1,16,2e16,light,orx-vec-16,1632614
17,1,17,2e16,light,orx-arb-vec-16,1470657
18,1,18,2e16,light,orx-arb-vec2-16,1403277
19,1,19,2e16,light,orx-vec-fixed-16,1713392
20,2,1,2e16,heavy,seq-vec,8111783
21,2,2,2e16,heavy,rayon-vec-1,8674593
22,2,3,2e16,heavy,rayon-veclist-1,8121791
23,2,4,2e16,heavy,orx-vec-1,7742121
24,2,5,2e16,heavy,orx-arb-vec-1,7700811
25,2,6,2e16,heavy,orx-arb-vec2-1,7313225
26,2,7,2e16,heavy,orx-vec-fixed-1,7469488
27,2,8,2e16,heavy,rayon-vec-4,3129293
28,2,9,2e16,heavy,rayon-veclist-4,2901483
29,2,10,2e16,heavy,orx-vec-4,2923014
30,2,11,2e16,heavy,orx-arb-vec-4,2877000
31,2,12,2e16,heavy,orx-arb-vec2-4,2688333
32,2,13,2e16,heavy,orx-vec-fixed-4,2966436
33,2,14,2e16,heavy,rayon-vec-16,4598314
34,2,15,2e16,heavy,rayon-veclist-16,5296331
35,2,16,2e16,heavy,orx-vec-16,2466773
36,2,17,2e16,heavy,orx-arb-vec-16,2481484
37,2,18,2e16,heavy,orx-arb-vec2-16,2387323
38,2,19,2e16,heavy,orx-vec-fixed-16,2374417
39,3,1,2e20,light,seq-vec,27731162
40,3,2,2e20,light,rayon-vec-1,47671844
41,3,3,2e20,light,rayon-veclist-1,24776703
42,3,4,2e20,light,orx-vec-1,54998986
43,3,5,2e20,light,orx-arb-vec-1,54059247
44,3,6,2e20,light,orx-arb-vec2-1,29223241
45,3,7,2e20,light,orx-vec-fixed-1,53884613
46,3,8,2e20,light,rayon-vec-4,30310589
47,3,9,2e20,light,rayon-veclist-4,3998591
48,3,10,2e20,light,orx-vec-4,30244334
49,3,11,2e20,light,orx-arb-vec-4,29677636
50,3,12,2e20,light,orx-arb-vec2-4,11852095
51,3,13,2e20,light,orx-vec-fixed-4,28531441
52,3,14,2e20,light,rayon-vec-16,35794735
53,3,15,2e20,light,rayon-veclist-16,8903481
54,3,16,2e20,light,orx-vec-16,31003426
55,3,17,2e20,light,orx-arb-vec-16,29110248
56,3,18,2e20,light,orx-arb-vec2-16,3387679
57,3,19,2e20,light,orx-vec-fixed-16,29623423
58,4,1,2e20,heavy,seq-vec,137436645
59,4,2,2e20,heavy,rayon-vec-1,151517914
60,4,3,2e20,heavy,rayon-veclist-1,137173639
61,4,4,2e20,heavy,orx-vec-1,157741780
62,4,5,2e20,heavy,orx-arb-vec-1,159517224
63,4,6,2e20,heavy,orx-arb-vec2-1,135364148
64,4,7,2e20,heavy,orx-vec-fixed-1,157215174
65,4,8,2e20,heavy,rayon-vec-4,64822625
66,4,9,2e20,heavy,rayon-veclist-4,36720900
67,4,10,2e20,heavy,orx-vec-4,63518158
68,4,11,2e20,heavy,orx-arb-vec-4,63158533
69,4,12,2e20,heavy,orx-arb-vec2-4,41163774
70,4,13,2e20,heavy,orx-vec-fixed-4,63417631
71,4,14,2e20,heavy,rayon-vec-16,53907445
72,4,15,2e20,heavy,rayon-veclist-16,23776544
73,4,16,2e20,heavy,orx-vec-16,50785496
74,4,17,2e20,heavy,orx-arb-vec-16,47363728
75,4,18,2e20,heavy,orx-arb-vec2-16,20075466
76,4,19,2e20,heavy,orx-vec-fixed-16,46277882
