t,i,a,n,task,method,time (ns)
1,1,1,2e16,light,seq-vec,33475
2,1,2,2e16,light,rayon-vec-1,119457
3,1,3,2e16,light,rayon-veclist-1,119352
4,1,4,2e16,light,orx-vec-1,94267
5,1,5,2e16,light,orx-arb-vec-1,90968
6,1,6,2e16,light,orx-arb-vec2-1,80683
7,1,7,2e16,light,orx-vec-fixed-1,103059
8,1,8,2e16,light,rayon-vec-4,348821
9,1,9,2e16,light,rayon-veclist-4,359934
10,1,10,2e16,light,orx-vec-4,277422
11,1,11,2e16,light,orx-arb-vec-4,261088
12,1,12,2e16,light,orx-arb-vec2-4,236559
13,1,13,2e16,light,orx-vec-fixed-4,245656
14,1,14,2e16,light,rayon-vec-16,5670016
15,1,15,2e16,light,rayon-veclist-16,6236700
16,1,16,2e16,light,orx-vec-16,971441
17,1,17,2e16,light,orx-arb-vec-16,830614
18,1,18,2e16,light,orx-arb-vec2-16,796783
19,1,19,2e16,light,orx-vec-fixed-16,802027
20,2,1,2e16,heavy,seq-vec,1645752
21,2,2,2e16,heavy,rayon-vec-1,1692764
22,2,3,2e16,heavy,rayon-veclist-1,1663043
23,2,4,2e16,heavy,orx-vec-1,1576051
24,2,5,2e16,heavy,orx-arb-vec-1,1564363
25,2,6,2e16,heavy,orx-arb-vec2-1,1516402
26,2,7,2e16,heavy,orx-vec-fixed-1,1544464
27,2,8,2e16,heavy,rayon-vec-4,828235
28,2,9,2e16,heavy,rayon-veclist-4,883757
29,2,10,2e16,heavy,orx-vec-4,821485
30,2,11,2e16,heavy,orx-arb-vec-4,821836
31,2,12,2e16,heavy,orx-arb-vec2-4,759951
32,2,13,2e16,heavy,orx-vec-fixed-4,797628
33,2,14,2e16,heavy,rayon-vec-16,5412558
34,2,15,2e16,heavy,rayon-veclist-16,5673162
35,2,16,2e16,heavy,orx-vec-16,1542099
36,2,17,2e16,heavy,orx-arb-vec-16,1492644
37,2,18,2e16,heavy,orx-arb-vec2-16,1476841
38,2,19,2e16,heavy,orx-vec-fixed-16,1556579
39,3,1,2e20,light,seq-vec,741123
40,3,2,2e20,light,rayon-vec-1,971907
41,3,3,2e20,light,rayon-veclist-1,977218
42,3,4,2e20,light,orx-vec-1,1798524
43,3,5,2e20,light,orx-arb-vec-1,1887479
44,3,6,2e20,light,orx-arb-vec2-1,1303999
45,3,7,2e20,light,orx-vec-fixed-1,1846254
46,3,8,2e20,light,rayon-vec-4,725684
47,3,9,2e20,light,rayon-veclist-4,718709
48,3,10,2e20,light,orx-vec-4,1433171
49,3,11,2e20,light,orx-arb-vec-4,1366387
50,3,12,2e20,light,orx-arb-vec2-4,587352
51,3,13,2e20,light,orx-vec-fixed-4,1387362
52,3,14,2e20,light,rayon-vec-16,7199037
53,3,15,2e20,light,rayon-veclist-16,6639878
54,3,16,2e20,light,orx-vec-16,2399103
55,3,17,2e20,light,orx-arb-vec-16,2171747
56,3,18,2e20,light,orx-arb-vec2-16,1410578
57,3,19,2e20,light,orx-vec-fixed-16,2435308
58,4,1,2e20,heavy,seq-vec,27003589
59,4,2,2e20,heavy,rayon-vec-1,26190742
60,4,3,2e20,heavy,rayon-veclist-1,26713283
61,4,4,2e20,heavy,orx-vec-1,26318381
62,4,5,2e20,heavy,orx-arb-vec-1,26277432
63,4,6,2e20,heavy,orx-arb-vec2-1,25027058
64,4,7,2e20,heavy,orx-vec-fixed-1,25726620
65,4,8,2e20,heavy,rayon-vec-4,7808452
66,4,9,2e20,heavy,rayon-veclist-4,7927918
67,4,10,2e20,heavy,orx-vec-4,8837339
68,4,11,2e20,heavy,orx-arb-vec-4,8807010
69,4,12,2e20,heavy,orx-arb-vec2-4,8084610
70,4,13,2e20,heavy,orx-vec-fixed-4,8698589
71,4,14,2e20,heavy,rayon-vec-16,6662937
72,4,15,2e20,heavy,rayon-veclist-16,8392932
73,4,16,2e20,heavy,orx-vec-16,5187622
74,4,17,2e20,heavy,orx-arb-vec-16,4922100
75,4,18,2e20,heavy,orx-arb-vec2-16,4368105
76,4,19,2e20,heavy,orx-vec-fixed-16,5069967
