method,num_threads,n,task,time (ns)
seq,4,2e16,heavy,4309192
seq,4,2e16,light,46265
seq,4,2e20,heavy,66813329
seq,4,2e20,light,751919
seq,16,2e16,heavy,3549823
seq,16,2e16,light,41391
seq,16,2e20,heavy,61819715
seq,16,2e20,light,1014152
rayon,4,2e16,heavy,1233842
rayon,4,2e16,light,352131
rayon,4,2e20,heavy,20609065
rayon,4,2e20,light,548115
rayon,16,2e16,heavy,5191026
rayon,16,2e16,light,5158668
rayon,16,2e20,heavy,9382901
rayon,16,2e20,light,1796589
orx-once,4,2e16,heavy,1918915
orx-once,4,2e16,light,836446
orx-once,4,2e20,heavy,25775108
orx-once,4,2e20,light,2343386
orx-once,16,2e16,heavy,3459955
orx-once,16,2e16,light,2513730
orx-once,16,2e20,heavy,13084920
orx-once,16,2e20,light,5341174
orx-basic,4,2e16,heavy,2531070
orx-basic,4,2e16,light,474390
orx-basic,4,2e20,heavy,31895701
orx-basic,4,2e20,light,2283485
orx-basic,16,2e16,heavy,1132735
orx-basic,16,2e16,light,513857
orx-basic,16,2e20,heavy,10042031
orx-basic,16,2e20,light,13957623
orx-rayon,4,2e16,heavy,1496178
orx-rayon,4,2e16,light,489291
orx-rayon,4,2e20,heavy,21393357
orx-rayon,4,2e20,light,3521531
orx-rayon,16,2e16,heavy,1558032
orx-rayon,16,2e16,light,1455101
orx-rayon,16,2e20,heavy,10941955
orx-rayon,16,2e20,light,2581178
rayon-vec2,4,2e16,heavy,2957219
rayon-vec2,4,2e16,light,481594
rayon-vec2,4,2e20,heavy,31755490
rayon-vec2,4,2e20,light,934235
rayon-vec2,16,2e16,heavy,4104684
rayon-vec2,16,2e16,light,3800104
rayon-vec2,16,2e20,heavy,11494196
rayon-vec2,16,2e20,light,8179066
orx-once-vec2,4,2e16,heavy,1623381
orx-once-vec2,4,2e16,light,715996
orx-once-vec2,4,2e20,heavy,24212347
orx-once-vec2,4,2e20,light,2189664
orx-once-vec2,16,2e16,heavy,2153587
orx-once-vec2,16,2e16,light,1216532
orx-once-vec2,16,2e20,heavy,10441286
orx-once-vec2,16,2e20,light,3482837
orx-basic-vec2,4,2e16,heavy,1283196
orx-basic-vec2,4,2e16,light,470835
orx-basic-vec2,4,2e20,heavy,32198378
orx-basic-vec2,4,2e20,light,6328024
orx-basic-vec2,16,2e16,heavy,1014336
orx-basic-vec2,16,2e16,light,664348
orx-basic-vec2,16,2e20,heavy,10706222
orx-basic-vec2,16,2e20,light,3057033
orx-rayon-vec2,4,2e16,heavy,1872708
orx-rayon-vec2,4,2e16,light,929099
orx-rayon-vec2,4,2e20,heavy,18040693
orx-rayon-vec2,4,2e20,light,3660533
orx-rayon-vec2,16,2e16,heavy,1185050
orx-rayon-vec2,16,2e16,light,791616
orx-rayon-vec2,16,2e20,heavy,7614014
orx-rayon-vec2,16,2e20,light,2329593
