t,i,a,n,task,method,time (ns)
1,1,1,2e16,light,seq-vec,161140
2,1,2,2e16,light,rayon-vec-1,268232
3,1,3,2e16,light,rayon-veclist-1,237852
4,1,4,2e16,light,orx-vec-1,175987
5,1,5,2e16,light,orx-arb-vec-1,163775
6,1,6,2e16,light,orx-arb-vec2-1,153354
7,1,7,2e16,light,orx-vec-fixed-1,168742
8,1,8,2e16,light,rayon-vec-4,446616
9,1,9,2e16,light,rayon-veclist-4,451523
10,1,10,2e16,light,orx-vec-4,262566
11,1,11,2e16,light,orx-arb-vec-4,264960
12,1,12,2e16,light,orx-arb-vec2-4,238971
13,1,13,2e16,light,orx-vec-fixed-4,292886
14,1,14,2e16,light,rayon-vec-16,6260776
15,1,15,2e16,light,rayon-veclist-16,6615497
16,1,16,2e16,light,orx-vec-16,1085338
17,1,17,2e16,light,orx-arb-vec-16,1064843
18,1,18,2e16,light,orx-arb-vec2-16,1003404
19,1,19,2e16,light,orx-vec-fixed-16,1090070
20,2,1,2e16,heavy,seq-vec,1764990
21,2,2,2e16,heavy,rayon-vec-1,1845714
22,2,3,2e16,heavy,rayon-veclist-1,1803907
23,2,4,2e16,heavy,orx-vec-1,1817572
24,2,5,2e16,heavy,orx-arb-vec-1,1742298
25,2,6,2e16,heavy,orx-arb-vec2-1,1685976
26,2,7,2e16,heavy,orx-vec-fixed-1,1687364
27,2,8,2e16,heavy,rayon-vec-4,954049
28,2,9,2e16,heavy,rayon-veclist-4,1017661
29,2,10,2e16,heavy,orx-vec-4,818609
30,2,11,2e16,heavy,orx-arb-vec-4,818041
31,2,12,2e16,heavy,orx-arb-vec2-4,785279
32,2,13,2e16,heavy,orx-vec-fixed-4,821809
33,2,14,2e16,heavy,rayon-vec-16,5643332
34,2,15,2e16,heavy,rayon-veclist-16,6371206
35,2,16,2e16,heavy,orx-vec-16,1529436
36,2,17,2e16,heavy,orx-arb-vec-16,1555853
37,2,18,2e16,heavy,orx-arb-vec2-16,1489154
38,2,19,2e16,heavy,orx-vec-fixed-16,1602211
39,3,1,2e20,light,seq-vec,2648839
40,3,2,2e20,light,rayon-vec-1,3975287
41,3,3,2e20,light,rayon-veclist-1,3024766
42,3,4,2e20,light,orx-vec-1,3268433
43,3,5,2e20,light,orx-arb-vec-1,3064105
44,3,6,2e20,light,orx-arb-vec2-1,2582569
45,3,7,2e20,light,orx-vec-fixed-1,3094212
46,3,8,2e20,light,rayon-vec-4,2072499
47,3,9,2e20,light,rayon-veclist-4,1348760
48,3,10,2e20,light,orx-vec-4,2122566
49,3,11,2e20,light,orx-arb-vec-4,1936094
50,3,12,2e20,light,orx-arb-vec2-4,1319543
51,3,13,2e20,light,orx-vec-fixed-4,1983203
52,3,14,2e20,light,rayon-vec-16,8214210
53,3,15,2e20,light,rayon-veclist-16,8326642
54,3,16,2e20,light,orx-vec-16,2342191
55,3,17,2e20,light,orx-arb-vec-16,2414906
56,3,18,2e20,light,orx-arb-vec2-16,1970180
57,3,19,2e20,light,orx-vec-fixed-16,2259802
58,4,1,2e20,heavy,seq-vec,29409487
59,4,2,2e20,heavy,rayon-vec-1,28420249
60,4,3,2e20,heavy,rayon-veclist-1,27457734
61,4,4,2e20,heavy,orx-vec-1,28341651
62,4,5,2e20,heavy,orx-arb-vec-1,28106921
63,4,6,2e20,heavy,orx-arb-vec2-1,27175458
64,4,7,2e20,heavy,orx-vec-fixed-1,27173024
65,4,8,2e20,heavy,rayon-vec-4,9003423
66,4,9,2e20,heavy,rayon-veclist-4,8625931
67,4,10,2e20,heavy,orx-vec-4,9194684
68,4,11,2e20,heavy,orx-arb-vec-4,9135912
69,4,12,2e20,heavy,orx-arb-vec2-4,8727244
70,4,13,2e20,heavy,orx-vec-fixed-4,10259668
71,4,14,2e20,heavy,rayon-vec-16,8813422
72,4,15,2e20,heavy,rayon-veclist-16,9269205
73,4,16,2e20,heavy,orx-vec-16,5514076
74,4,17,2e20,heavy,orx-arb-vec-16,5505013
75,4,18,2e20,heavy,orx-arb-vec2-16,4578961
76,4,19,2e20,heavy,orx-vec-fixed-16,5162240
