t,i,a,n,task,method,time (ns)
1,1,1,2e16,light,seq-vec,153601
2,1,2,2e16,light,rayon-vec-1,512028
3,1,3,2e16,light,rayon-veclist-1,492885
4,1,4,2e16,light,orx-vec-1,162289
5,1,5,2e16,light,orx-arb-vec-1,158023
6,1,6,2e16,light,orx-arb-vec2-1,144472
7,1,7,2e16,light,orx-vec-fixed-1,156351
8,1,8,2e16,light,rayon-vec-4,517726
9,1,9,2e16,light,rayon-veclist-4,519315
10,1,10,2e16,light,orx-vec-4,259214
11,1,11,2e16,light,orx-arb-vec-4,257815
12,1,12,2e16,light,orx-arb-vec2-4,265216
13,1,13,2e16,light,orx-vec-fixed-4,264962
14,1,14,2e16,light,rayon-vec-16,5890405
15,1,15,2e16,light,rayon-veclist-16,6178572
16,1,16,2e16,light,orx-vec-16,1028056
17,1,17,2e16,light,orx-arb-vec-16,987999
18,1,18,2e16,light,orx-arb-vec2-16,974147
19,1,19,2e16,light,orx-vec-fixed-16,1123712
20,2,1,2e16,heavy,seq-vec,3889949
21,2,2,2e16,heavy,rayon-vec-1,4038744
22,2,3,2e16,heavy,rayon-veclist-1,3873739
23,2,4,2e16,heavy,orx-vec-1,3704063
24,2,5,2e16,heavy,orx-arb-vec-1,3731419
25,2,6,2e16,heavy,orx-arb-vec2-1,3710334
26,2,7,2e16,heavy,orx-vec-fixed-1,3625522
27,2,8,2e16,heavy,rayon-vec-4,1578599
28,2,9,2e16,heavy,rayon-veclist-4,1588347
29,2,10,2e16,heavy,orx-vec-4,1422565
30,2,11,2e16,heavy,orx-arb-vec-4,1474056
31,2,12,2e16,heavy,orx-arb-vec2-4,1404654
32,2,13,2e16,heavy,orx-vec-fixed-4,1421909
33,2,14,2e16,heavy,rayon-vec-16,4135728
34,2,15,2e16,heavy,rayon-veclist-16,4008721
35,2,16,2e16,heavy,orx-vec-16,1670433
36,2,17,2e16,heavy,orx-arb-vec-16,1662487
37,2,18,2e16,heavy,orx-arb-vec2-16,1658404
38,2,19,2e16,heavy,orx-vec-fixed-16,1724590
39,3,1,2e20,light,seq-vec,2829072
40,3,2,2e20,light,rayon-vec-1,8298851
41,3,3,2e20,light,rayon-veclist-1,6745301
42,3,4,2e20,light,orx-vec-1,3152462
43,3,5,2e20,light,orx-arb-vec-1,2993217
44,3,6,2e20,light,orx-arb-vec2-1,2555077
45,3,7,2e20,light,orx-vec-fixed-1,3189440
46,3,8,2e20,light,rayon-vec-4,3313541
47,3,9,2e20,light,rayon-veclist-4,2393339
48,3,10,2e20,light,orx-vec-4,1940134
49,3,11,2e20,light,orx-arb-vec-4,1909417
50,3,12,2e20,light,orx-arb-vec2-4,1302602
51,3,13,2e20,light,orx-vec-fixed-4,1911204
52,3,14,2e20,light,rayon-vec-16,5236657
53,3,15,2e20,light,rayon-veclist-16,8450213
54,3,16,2e20,light,orx-vec-16,2250887
55,3,17,2e20,light,orx-arb-vec-16,2351218
56,3,18,2e20,light,orx-arb-vec2-16,1869682
57,3,19,2e20,light,orx-vec-fixed-16,2249753
58,4,1,2e20,heavy,seq-vec,60050973
59,4,2,2e20,heavy,rayon-vec-1,60897274
60,4,3,2e20,heavy,rayon-veclist-1,61473406
61,4,4,2e20,heavy,orx-vec-1,57815055
62,4,5,2e20,heavy,orx-arb-vec-1,59286555
63,4,6,2e20,heavy,orx-arb-vec2-1,59037747
64,4,7,2e20,heavy,orx-vec-fixed-1,56897775
65,4,8,2e20,heavy,rayon-vec-4,18773786
66,4,9,2e20,heavy,rayon-veclist-4,19024215
67,4,10,2e20,heavy,orx-vec-4,18701866
68,4,11,2e20,heavy,orx-arb-vec-4,19347878
69,4,12,2e20,heavy,orx-arb-vec2-4,18709477
70,4,13,2e20,heavy,orx-vec-fixed-4,18744452
71,4,14,2e20,heavy,rayon-vec-16,13533452
72,4,15,2e20,heavy,rayon-veclist-16,14631031
73,4,16,2e20,heavy,orx-vec-16,9363692
74,4,17,2e20,heavy,orx-arb-vec-16,10555185
75,4,18,2e20,heavy,orx-arb-vec2-16,9961684
76,4,19,2e20,heavy,orx-vec-fixed-16,9268357
