t,i,a,n,task,method,time (ns)
1,1,1,2e16,heavy,seq-vec,3991020
2,1,2,2e16,heavy,rayon-vec-1,4094610
3,1,3,2e16,heavy,rayon-veclist-1,3990860
4,1,4,2e16,heavy,orx-vec-1,3809300
5,1,5,2e16,heavy,orx-arb-vec-1,3803885
6,1,6,2e16,heavy,orx-arb-vec2-1,3786892
7,1,7,2e16,heavy,orx-vec-fixed-1,3757221
8,1,8,2e16,heavy,rayon-vec-4,1597099
9,1,9,2e16,heavy,rayon-veclist-4,1649992
10,1,10,2e16,heavy,orx-vec-4,1467651
11,1,11,2e16,heavy,orx-arb-vec-4,1490460
12,1,12,2e16,heavy,orx-arb-vec2-4,1452068
13,1,13,2e16,heavy,orx-vec-fixed-4,1465861
14,1,14,2e16,heavy,rayon-vec-16,3534833
15,1,15,2e16,heavy,rayon-veclist-16,4424612
16,1,16,2e16,heavy,orx-vec-16,1681979
17,1,17,2e16,heavy,orx-arb-vec-16,1681163
18,1,18,2e16,heavy,orx-arb-vec2-16,1661871
19,1,19,2e16,heavy,orx-vec-fixed-16,1652285
20,2,1,2e20,heavy,seq-vec,63411847
21,2,2,2e20,heavy,rayon-vec-1,65476394
22,2,3,2e20,heavy,rayon-veclist-1,64693974
23,2,4,2e20,heavy,orx-vec-1,62959919
24,2,5,2e20,heavy,orx-arb-vec-1,63000550
25,2,6,2e20,heavy,orx-arb-vec2-1,63275085
26,2,7,2e20,heavy,orx-vec-fixed-1,63131622
27,2,8,2e20,heavy,rayon-vec-4,19421249
28,2,9,2e20,heavy,rayon-veclist-4,19258638
29,2,10,2e20,heavy,orx-vec-4,19435852
30,2,11,2e20,heavy,orx-arb-vec-4,19938925
31,2,12,2e20,heavy,orx-arb-vec2-4,19516145
32,2,13,2e20,heavy,orx-vec-fixed-4,19306249
33,2,14,2e20,heavy,rayon-vec-16,12922091
34,2,15,2e20,heavy,rayon-veclist-16,14288214
35,2,16,2e20,heavy,orx-vec-16,9616864
36,2,17,2e20,heavy,orx-arb-vec-16,10723683
37,2,18,2e20,heavy,orx-arb-vec2-16,9947960
38,2,19,2e20,heavy,orx-vec-fixed-16,9481017
