t,i,a,n,dist,method,time (ns)
1,1,1,2e16,uniform,seq,7585650
2,1,2,2e16,uniform,rayon-1,7846386
3,1,3,2e16,uniform,orx-1,7190887
4,1,4,2e16,uniform,orx-fixed-1,7087494
5,1,5,2e16,uniform,rayon-4,3198312
6,1,6,2e16,uniform,orx-4,2494429
7,1,7,2e16,uniform,orx-fixed-4,2549783
8,1,8,2e16,uniform,rayon-16,7008112
9,1,9,2e16,uniform,orx-16,2058964
10,1,10,2e16,uniform,orx-fixed-16,2038607
11,2,1,2e16,skewed,seq,7656697
12,2,2,2e16,skewed,rayon-1,7877339
13,2,3,2e16,skewed,orx-1,7227234
14,2,4,2e16,skewed,orx-fixed-1,7193335
15,2,5,2e16,skewed,rayon-4,3283814
16,2,6,2e16,skewed,orx-4,2520902
17,2,7,2e16,skewed,orx-fixed-4,2536046
18,2,8,2e16,skewed,rayon-16,7146452
19,2,9,2e16,skewed,orx-16,2100408
20,2,10,2e16,skewed,orx-fixed-16,2107267
21,3,1,2e20,uniform,seq,114967948
22,3,2,2e20,uniform,rayon-1,119297370
23,3,3,2e20,uniform,orx-1,108208812
24,3,4,2e20,uniform,orx-fixed-1,106361011
25,3,5,2e20,uniform,rayon-4,34346483
26,3,6,2e20,uniform,orx-4,32050825
27,3,7,2e20,uniform,orx-fixed-4,32297481
28,3,8,2e20,uniform,rayon-16,24565841
29,3,9,2e20,uniform,orx-16,15011580
30,3,10,2e20,uniform,orx-fixed-16,14669115
31,4,1,2e20,skewed,seq,113893422
32,4,2,2e20,skewed,rayon-1,115484704
33,4,3,2e20,skewed,orx-1,106450347
34,4,4,2e20,skewed,orx-fixed-1,105595061
35,4,5,2e20,skewed,rayon-4,34271564
36,4,6,2e20,skewed,orx-4,31500097
37,4,7,2e20,skewed,orx-fixed-4,31717397
38,4,8,2e20,skewed,rayon-16,24600366
39,4,9,2e20,skewed,orx-16,15012881
40,4,10,2e20,skewed,orx-fixed-16,13812469
