method,num_threads,n,dist,time (ns)
seq,4,2e16,uniform,7799431
seq,4,2e16,skewed,7495874
seq,4,2e20,uniform,111680849
seq,4,2e20,skewed,107294168
seq,8,2e16,uniform,6685528
seq,8,2e16,skewed,6749334
seq,8,2e20,uniform,106608289
seq,8,2e20,skewed,105066899
seq,16,2e16,uniform,6694251
seq,16,2e16,skewed,6676386
seq,16,2e20,uniform,108949272
seq,16,2e20,skewed,111653317
orx-once,4,2e16,uniform,2210718
orx-once,4,2e16,skewed,2248959
orx-once,4,2e20,uniform,33968625
orx-once,4,2e20,skewed,35053935
orx-once,8,2e16,uniform,1699794
orx-once,8,2e16,skewed,1789243
orx-once,8,2e20,uniform,22887458
orx-once,8,2e20,skewed,23504491
orx-once,16,2e16,uniform,1939311
orx-once,16,2e16,skewed,1945751
orx-once,16,2e20,uniform,14348550
orx-once,16,2e20,skewed,15236974
orx-basic,4,2e16,uniform,2547460
orx-basic,4,2e16,skewed,2694777
orx-basic,4,2e20,uniform,36855085
orx-basic,4,2e20,skewed,36384312
orx-basic,8,2e16,uniform,1432008
orx-basic,8,2e16,skewed,1518547
orx-basic,8,2e20,uniform,23170536
orx-basic,8,2e20,skewed,23680410
orx-basic,16,2e16,uniform,1259366
orx-basic,16,2e16,skewed,1204439
orx-basic,16,2e20,uniform,14168598
orx-basic,16,2e20,skewed,14929937
orx-rayon,4,2e16,uniform,2772362
orx-rayon,4,2e16,skewed,2772963
orx-rayon,4,2e20,uniform,37130267
orx-rayon,4,2e20,skewed,37026462
orx-rayon,8,2e16,uniform,1663511
orx-rayon,8,2e16,skewed,1837669
orx-rayon,8,2e20,uniform,24324203
orx-rayon,8,2e20,skewed,25050126
orx-rayon,16,2e16,uniform,1640715
orx-rayon,16,2e16,skewed,1681073
orx-rayon,16,2e20,uniform,15973446
orx-rayon,16,2e20,skewed,16009766
rayon,4,2e16,uniform,3904428
rayon,4,2e16,skewed,3567844
rayon,4,2e20,uniform,41622362
rayon,4,2e20,skewed,41552396
rayon,8,2e16,uniform,5156291
rayon,8,2e16,skewed,4397887
rayon,8,2e20,uniform,31369296
rayon,8,2e20,skewed,29938623
rayon,16,2e16,uniform,8181079
rayon,16,2e16,skewed,6956799
rayon,16,2e20,uniform,26190844
rayon,16,2e20,skewed,26150428
