method,num_threads,n,pos,time (ns)
seq,4,2e14,never,1720708
seq,4,2e14,late,1772864
seq,4,2e14,mid,865931
seq,4,2e14,early,6915
seq,4,2e18,never,28154731
seq,4,2e18,late,27598217
seq,4,2e18,mid,13605942
seq,4,2e18,early,104761
seq,8,2e14,never,1657073
seq,8,2e14,late,1676018
seq,8,2e14,mid,821043
seq,8,2e14,early,6527
seq,8,2e18,never,26590530
seq,8,2e18,late,26496801
seq,8,2e18,mid,13182131
seq,8,2e18,early,95785
seq,16,2e14,never,1587183
seq,16,2e14,late,1595497
seq,16,2e14,mid,820686
seq,16,2e14,early,6539
seq,16,2e18,never,26053156
seq,16,2e18,late,26186140
seq,16,2e18,mid,13013995
seq,16,2e18,early,99331
seq,20,2e14,never,1552620
seq,20,2e14,late,1566122
seq,20,2e14,mid,792391
seq,20,2e14,early,6174
seq,20,2e18,never,25761844
seq,20,2e18,late,25797170
seq,20,2e18,mid,12914196
seq,20,2e18,early,100347
seq,24,2e14,never,1548753
seq,24,2e14,late,1542099
seq,24,2e14,mid,773282
seq,24,2e14,early,6130
seq,24,2e18,never,25527555
seq,24,2e18,late,25828169
seq,24,2e18,mid,12814587
seq,24,2e18,early,103373
seq,28,2e14,never,1531104
seq,28,2e14,late,1557057
seq,28,2e14,mid,763113
seq,28,2e14,early,6028
seq,28,2e18,never,25225146
seq,28,2e18,late,25366153
seq,28,2e18,mid,12549968
seq,28,2e18,early,99366
seq,32,2e14,never,1506025
seq,32,2e14,late,1529149
seq,32,2e14,mid,770958
seq,32,2e14,early,6074
seq,32,2e18,never,25337223
seq,32,2e18,late,25390822
seq,32,2e18,mid,12764345
seq,32,2e18,early,100502
orx-once,4,2e14,never,616634
orx-once,4,2e14,late,635628
orx-once,4,2e14,mid,393243
orx-once,4,2e14,early,163380
orx-once,4,2e18,never,8156085
orx-once,4,2e18,late,8047440
orx-once,4,2e18,mid,4082995
orx-once,4,2e18,early,197362
orx-once,8,2e14,never,538454
orx-once,8,2e14,late,482411
orx-once,8,2e14,mid,418409
orx-once,8,2e14,early,290871
orx-once,8,2e18,never,4813677
orx-once,8,2e18,late,4938060
orx-once,8,2e18,mid,2683807
orx-once,8,2e18,early,376956
