method,num_threads,n,pos,time (ns)
seq,4,2e14,never,2057735
seq,4,2e14,late,1959052
seq,4,2e14,mid,975599
seq,4,2e14,early,7730
seq,4,2e18,never,29978383
seq,4,2e18,late,28281781
seq,4,2e18,mid,13737957
seq,4,2e18,early,104846
seq,8,2e14,never,1670235
seq,8,2e14,late,1654334
seq,8,2e14,mid,840118
seq,8,2e14,early,6521
seq,8,2e18,never,26968163
seq,8,2e18,late,26840180
seq,8,2e18,mid,13302772
seq,8,2e18,early,104395
seq,16,2e14,never,1628668
seq,16,2e14,late,1653104
seq,16,2e14,mid,838787
seq,16,2e14,early,6689
seq,16,2e18,never,26917019
seq,16,2e18,late,26651228
seq,16,2e18,mid,13229594
seq,16,2e18,early,99508
seq,20,2e14,never,1703632
seq,20,2e14,late,1671414
seq,20,2e14,mid,831936
seq,20,2e14,early,6514
seq,20,2e18,never,28235400
seq,20,2e18,late,28646676
seq,20,2e18,mid,14217205
seq,20,2e18,early,106842
seq,24,2e14,never,1664982
seq,24,2e14,late,1683528
seq,24,2e14,mid,839668
seq,24,2e14,early,6836
seq,24,2e18,never,27126612
seq,24,2e18,late,26937045
seq,24,2e18,mid,13478145
seq,24,2e18,early,105479
seq,28,2e14,never,1665217
seq,28,2e14,late,1669998
seq,28,2e14,mid,843526
seq,28,2e14,early,6615
seq,28,2e18,never,28705901
seq,28,2e18,late,28496535
seq,28,2e18,mid,13906262
seq,28,2e18,early,104946
seq,32,2e14,never,1678187
seq,32,2e14,late,1692864
seq,32,2e14,mid,861788
seq,32,2e14,early,6718
seq,32,2e18,never,28597964
seq,32,2e18,late,29995630
seq,32,2e18,mid,13656854
seq,32,2e18,early,107161
orx-once,4,2e14,never,612037
orx-once,4,2e14,late,614283
orx-once,4,2e14,mid,403762
orx-once,4,2e14,early,173534
orx-once,4,2e18,never,8582846
orx-once,4,2e18,late,8790657
orx-once,4,2e18,mid,4529148
orx-once,4,2e18,early,234400
orx-once,8,2e14,never,590851
orx-once,8,2e14,late,657382
orx-once,8,2e14,mid,563288
orx-once,8,2e14,early,343357
orx-once,8,2e18,never,5888582
orx-once,8,2e18,late,6142560
orx-once,8,2e18,mid,3408230
orx-once,8,2e18,early,429204
orx-once,16,2e14,never,1234137
orx-once,16,2e14,late,1258484
orx-once,16,2e14,mid,1132307
orx-once,16,2e14,early,721581
orx-once,16,2e18,never,4705299
orx-once,16,2e18,late,5009400
orx-once,16,2e18,mid,3196219
orx-once,16,2e18,early,943240
orx-once,20,2e14,never,1612441
orx-once,20,2e14,late,1693812
orx-once,20,2e14,mid,1590738
orx-once,20,2e14,early,1015030
orx-once,20,2e18,never,4491639
orx-once,20,2e18,late,4766440
orx-once,20,2e18,mid,3302888
orx-once,20,2e18,early,1154175
orx-once,24,2e14,never,1900200
orx-once,24,2e14,late,1957675
orx-once,24,2e14,mid,1739046
orx-once,24,2e14,early,1159411
orx-once,24,2e18,never,4660990
orx-once,24,2e18,late,4933927
orx-once,24,2e18,mid,3544743
orx-once,24,2e18,early,1363181
orx-once,28,2e14,never,2148581
orx-once,28,2e14,late,2228460
orx-once,28,2e14,mid,2031476
orx-once,28,2e14,early,1310918
orx-once,28,2e18,never,5080769
orx-once,28,2e18,late,5130337
orx-once,28,2e18,mid,4016665
orx-once,28,2e18,early,1649207
orx-once,32,2e14,never,2443702
orx-once,32,2e14,late,2542083
orx-once,32,2e14,mid,2318884
orx-once,32,2e14,early,1545818
orx-once,32,2e18,never,5390413
orx-once,32,2e18,late,5592908
orx-once,32,2e18,mid,4203447
orx-once,32,2e18,early,1926285
orx-basic,4,2e14,never,612455
orx-basic,4,2e14,late,642350
orx-basic,4,2e14,mid,347615
orx-basic,4,2e14,early,50517
orx-basic,4,2e18,never,9304031
orx-basic,4,2e18,late,9506369
orx-basic,4,2e18,mid,4759024
orx-basic,4,2e18,early,128514
orx-basic,8,2e14,never,447690
orx-basic,8,2e14,late,446587
orx-basic,8,2e14,mid,284341
orx-basic,8,2e14,early,130389
orx-basic,8,2e18,never,6124001
orx-basic,8,2e18,late,6257269
orx-basic,8,2e18,mid,3196475
orx-basic,8,2e18,early,142522
orx-basic,16,2e14,never,437307
orx-basic,16,2e14,late,456177
orx-basic,16,2e14,mid,351413
orx-basic,16,2e14,early,265469
orx-basic,16,2e18,never,3520954
orx-basic,16,2e18,late,3686999
orx-basic,16,2e18,mid,2013984
orx-basic,16,2e18,early,316762
orx-basic,20,2e14,never,490376
orx-basic,20,2e14,late,526590
orx-basic,20,2e14,mid,430239
orx-basic,20,2e14,early,330374
orx-basic,20,2e18,never,3072773
orx-basic,20,2e18,late,3470860
orx-basic,20,2e18,mid,2022844
orx-basic,20,2e18,early,450307
orx-basic,24,2e14,never,594584
orx-basic,24,2e14,late,629110
orx-basic,24,2e14,mid,537402
orx-basic,24,2e14,early,420289
orx-basic,24,2e18,never,3013741
orx-basic,24,2e18,late,3228626
orx-basic,24,2e18,mid,1851010
orx-basic,24,2e18,early,529747
orx-basic,28,2e14,never,662486
orx-basic,28,2e14,late,713793
orx-basic,28,2e14,mid,624638
orx-basic,28,2e14,early,483512
orx-basic,28,2e18,never,3045965
orx-basic,28,2e18,late,3160616
orx-basic,28,2e18,mid,1907452
orx-basic,28,2e18,early,627006
orx-basic,32,2e14,never,699390
orx-basic,32,2e14,late,790621
orx-basic,32,2e14,mid,663306
orx-basic,32,2e14,early,545932
orx-basic,32,2e18,never,3228985
orx-basic,32,2e18,late,3478951
orx-basic,32,2e18,mid,1934414
orx-basic,32,2e18,early,650694
orx-rayon,4,2e14,never,722982
orx-rayon,4,2e14,late,724837
orx-rayon,4,2e14,mid,448985
orx-rayon,4,2e14,early,196640
orx-rayon,4,2e18,never,9730447
orx-rayon,4,2e18,late,9467943
