t,i,a,n,pos,method,time (ns)
1,1,1,2e14,never,seq,1743247
2,1,2,2e14,never,rayon-1,1887253
3,1,3,2e14,never,orx-1,1673133
4,1,4,2e14,never,orx-fixed-1,1743707
5,1,5,2e14,never,rayon-4,895842
6,1,6,2e14,never,orx-4,719667
7,1,7,2e14,never,orx-fixed-4,708644
8,1,8,2e14,never,rayon-16,4791696
9,1,9,2e14,never,orx-16,1299621
10,1,10,2e14,never,orx-fixed-16,1323263
11,2,1,2e14,late,seq,1852404
12,2,2,2e14,late,rayon-1,1967267
13,2,3,2e14,late,orx-1,1712519
14,2,4,2e14,late,orx-fixed-1,1675690
15,2,5,2e14,late,rayon-4,893578
16,2,6,2e14,late,orx-4,726478
17,2,7,2e14,late,orx-fixed-4,704040
18,2,8,2e14,late,rayon-16,4803844
19,2,9,2e14,late,orx-16,1291672
20,2,10,2e14,late,orx-fixed-16,1264823
21,3,1,2e14,mid,seq,906548
22,3,2,2e14,mid,rayon-1,1018057
23,3,3,2e14,mid,orx-1,871333
24,3,4,2e14,mid,orx-fixed-1,848420
25,3,5,2e14,mid,rayon-4,827501
26,3,6,2e14,mid,orx-4,454258
27,3,7,2e14,mid,orx-fixed-4,549985
28,3,8,2e14,mid,rayon-16,4364693
29,3,9,2e14,mid,orx-16,1150007
30,3,10,2e14,mid,orx-fixed-16,1276592
31,4,1,2e14,early,seq,7185
32,4,2,2e14,early,rayon-1,76701
33,4,3,2e14,early,orx-1,6947
34,4,4,2e14,early,orx-fixed-1,6862
35,4,5,2e14,early,rayon-4,288742
36,4,6,2e14,early,orx-4,152609
37,4,7,2e14,early,orx-fixed-4,137619
38,4,8,2e14,early,rayon-16,1620123
39,4,9,2e14,early,orx-16,650746
40,4,10,2e14,early,orx-fixed-16,518315
41,5,1,2e18,never,seq,28344685
42,5,2,2e18,never,rayon-1,28727586
43,5,3,2e18,never,orx-1,27112393
44,5,4,2e18,never,orx-fixed-1,26720247
45,5,5,2e18,never,rayon-4,8532378
46,5,6,2e18,never,orx-4,8546295
47,5,7,2e18,never,orx-fixed-4,8653555
48,5,8,2e18,never,rayon-16,5816711
49,5,9,2e18,never,orx-16,4076024
50,5,10,2e18,never,orx-fixed-16,3919954
51,6,1,2e18,late,seq,29952551
52,6,2,2e18,late,rayon-1,29425966
53,6,3,2e18,late,orx-1,26948942
54,6,4,2e18,late,orx-fixed-1,26811663
55,6,5,2e18,late,rayon-4,8799142
56,6,6,2e18,late,orx-4,8206962
57,6,7,2e18,late,orx-fixed-4,8180047
58,6,8,2e18,late,rayon-16,6436204
59,6,9,2e18,late,orx-16,4047444
60,6,10,2e18,late,orx-fixed-16,3903354
61,7,1,2e18,mid,seq,14353485
62,7,2,2e18,mid,rayon-1,15761614
63,7,3,2e18,mid,orx-1,13740244
64,7,4,2e18,mid,orx-fixed-1,13454268
65,7,5,2e18,mid,rayon-4,8236286
66,7,6,2e18,mid,orx-4,4347079
67,7,7,2e18,mid,orx-fixed-4,4438988
68,7,8,2e18,mid,rayon-16,4912958
69,7,9,2e18,mid,orx-16,2576011
70,7,10,2e18,mid,orx-fixed-16,2759143
71,8,1,2e18,early,seq,113633
72,8,2,2e18,early,rayon-1,192672
73,8,3,2e18,early,orx-1,107178
74,8,4,2e18,early,orx-fixed-1,106316
75,8,5,2e18,early,rayon-4,434644
76,8,6,2e18,early,orx-4,215732
77,8,7,2e18,early,orx-fixed-4,196630
78,8,8,2e18,early,rayon-16,2812564
79,8,9,2e18,early,orx-16,1011245
80,8,10,2e18,early,orx-fixed-16,672400
